                           Summary of Options: genre                            


        Emphasis:   overall = 61.90%   average = 61.89%   f1 = 61.46%   mcc = 42.34%
    Not Emphasis:   overall = 60.96%   average = 60.58%   f1 = 60.27%   mcc = 40.59%

     Vowels-Only:   overall = 58.82%   average = 58.49%   f1 = 57.95%   mcc = 37.38%
 Not Vowels-Only:   overall = 64.04%   average = 63.98%   f1 = 63.77%   mcc = 45.55%

     Percentages:   overall = 60.81%   average = 60.80%   f1 = 60.29%   mcc = 40.68%
 Not Percentages:   overall = 62.04%   average = 61.66%   f1 = 61.43%   mcc = 42.25%

             All:   overall = 50.45%   average = 50.20%   f1 = 50.17%   mcc = 25.36%
         Min-100:   overall = 60.80%   average = 60.83%   f1 = 60.31%   mcc = 40.80%
         Min-250:   overall = 64.31%   average = 64.27%   f1 = 64.24%   mcc = 46.25%
         Min-500:   overall = 64.22%   average = 63.35%   f1 = 62.90%   mcc = 44.77%
        Min-1000:   overall = 65.70%   average = 65.71%   f1 = 64.94%   mcc = 47.76%
        Min-2500:   overall = 68.45%   average = 69.13%   f1 = 69.18%   mcc = 53.15%
       No-Others:   overall = 65.09%   average = 64.90%   f1 = 63.84%   mcc = 46.03%

