option,overall,average,f1,mcc
Emphasis,0.5654312431186679,0.43349947925410726,0.36154129399577845,0.18240669522436861
Not Emphasis,0.5569509269281846,0.4173875832146602,0.3480357450246944,0.1686878111181018
Vowels-Only,0.5523718378362694,0.40351316483105604,0.3359855410688194,0.15136160465867124
Not Vowels-Only,0.5700103322105831,0.4473738976377114,0.3735914979516535,0.19973290168379923
Percentages,0.45833981002468127,0.42448678903461196,0.3160460396664497,0.1457496621247188
Not Percentages,0.6640423600221711,0.42640027343415526,0.39353099935402325,0.20534484421775168
Twofold,0.6032791012810418,0.40979460362616316,0.35823357118006655,0.16771030556113145
Not Twofold,0.5191030687658105,0.4410924588426043,0.35134346784040643,0.18338420078133902
All,0.6726493550577055,0.45550002325676986,0.31112753560233625,0.18836707106857584
Min-100,0.5804334795591533,0.42986360000171026,0.3448660302560659,0.17612671985518408
Min-250,0.5045676774335313,0.35326027715695246,0.30080042587224676,0.11068702533056794
Min-500,0.5526399491094148,0.4213512296365915,0.3409964104102506,0.1661046396668219
Min-1000,0.49785305343511455,0.4245311352100447,0.3638839173965416,0.17659414674634666
Min-2500,0.40091463414634154,0.2794574767904509,0.2699647065193313,0.05238323044831923
No-Others,0.5330459770114944,0.5350057114299994,0.540062778302443,0.3007315710917449
