                            Summary of Options: role                            


        Emphasis:   overall = 56.54%   average = 43.35%   f1 = 36.15%   mcc = 18.24%
    Not Emphasis:   overall = 55.70%   average = 41.74%   f1 = 34.80%   mcc = 16.87%

     Vowels-Only:   overall = 55.24%   average = 40.35%   f1 = 33.60%   mcc = 15.14%
 Not Vowels-Only:   overall = 57.00%   average = 44.74%   f1 = 37.36%   mcc = 19.97%

     Percentages:   overall = 45.83%   average = 42.45%   f1 = 31.60%   mcc = 14.57%
 Not Percentages:   overall = 66.40%   average = 42.64%   f1 = 39.35%   mcc = 20.53%

         Twofold:   overall = 60.33%   average = 40.98%   f1 = 35.82%   mcc = 16.77%
     Not Twofold:   overall = 51.91%   average = 44.11%   f1 = 35.13%   mcc = 18.34%

             All:   overall = 67.26%   average = 45.55%   f1 = 31.11%   mcc = 18.84%
         Min-100:   overall = 58.04%   average = 42.99%   f1 = 34.49%   mcc = 17.61%
         Min-250:   overall = 50.46%   average = 35.33%   f1 = 30.08%   mcc = 11.07%
         Min-500:   overall = 55.26%   average = 42.14%   f1 = 34.10%   mcc = 16.61%
        Min-1000:   overall = 49.79%   average = 42.45%   f1 = 36.39%   mcc = 17.66%
        Min-2500:   overall = 40.09%   average = 27.95%   f1 = 27.00%   mcc = 5.24% 
       No-Others:   overall = 53.30%   average = 53.50%   f1 = 54.01%   mcc = 30.07%

