                           Summary of Options: status                           


        Emphasis:   overall = 33.03%   average = 24.54%   f1 = 22.03%   mcc = 13.55%
    Not Emphasis:   overall = 27.86%   average = 21.24%   f1 = 18.21%   mcc = 9.72% 

     Vowels-Only:   overall = 28.89%   average = 20.76%   f1 = 18.57%   mcc = 9.81% 
 Not Vowels-Only:   overall = 32.00%   average = 25.02%   f1 = 21.68%   mcc = 13.46%

     Percentages:   overall = 27.62%   average = 22.70%   f1 = 19.40%   mcc = 11.24%
 Not Percentages:   overall = 33.27%   average = 23.08%   f1 = 20.85%   mcc = 12.03%

             All:   overall = 25.04%   average = 19.15%   f1 = 16.48%   mcc = 9.32% 
         Min-100:   overall = 27.82%   average = 23.30%   f1 = 19.45%   mcc = 11.78%
         Min-250:   overall = 31.24%   average = 21.20%   f1 = 19.61%   mcc = 9.40% 
         Min-500:   overall = 30.28%   average = 27.02%   f1 = 22.12%   mcc = 14.37%
        Min-1000:   overall = 31.01%   average = 27.05%   f1 = 21.85%   mcc = 14.36%
        Min-2500:   overall = 35.37%   average = 20.23%   f1 = 19.81%   mcc = 7.82% 
       No-Others:   overall = 39.66%   average = 25.06%   f1 = 24.15%   mcc = 15.38%

