character,actual,predicted
1H4_Falstaff,m,m
1H4_HenryV,m,m
1H4_Hotspur,m,m
1H6_Charles,m,m
1H6_HenryVI,m,m
2H4_ChiefJustice,m,f
2H4_Falstaff,m,m
2H4_HenryV,m,m
AWW_Bertram,m,f
AWW_Fool,m,f
AWW_Helen,f,f
AYL_DukeFrederick,m,m
AYL_Rosalind,f,f
Ado_Beatrice,f,f
Ado_Dogberry,m,m
Ado_DonJohn,m,f
Ant_Antony,m,m
Ant_Octavius,m,m
Cor_Coriolanus,m,m
Cor_TRIBUNES.Brutus,m,m
Cym_Cloten,m,m
Cym_Iachimo,m,m
Cym_Imogen,f,m
Err_AntipholusOfEphesus,m,m
Err_AntipholusOfSyracuse,m,m
Err_DromioOfEphesus,m,f
Err_DromioOfSyracuse,m,f
H5_Dauphin,m,m
H5_HenryV,m,m
H8_HenryVIII,m,f
H8_Wolsey,m,m
Ham_Claudius,m,m
Ham_Gravedigger,m,m
Ham_Hamlet,m,m
JC_Antony,m,m
JC_Brutus,m,m
Jn_KingJohn,m,m
Jn_KingPhilip,m,m
LLL_Costard,m,m
LLL_King,m,m
LLL_Princess,f,m
Lr_Fool,m,m
Lr_Goneril,f,f
Lr_Lear,m,m
MM_Angelo,m,m
MM_Duke,m,f
MM_Pompey,m,f
MND_Bottom,m,f
MV_LanceletGobbo,m,f
MV_Portia,f,m
MV_Shylock,m,m
Mac_Macbeth,m,m
Mac_Porter,m,m
Oth_Clown,m,f
Oth_Iago,m,f
Oth_Othello,m,m
Per_Antiochus,m,m
Per_Pericles,m,m
R2_HenryIV,m,m
R2_RichardII,m,m
R3_RichardIII,m,m
Rom_Romeo,m,m
Rom_Tybalt,m,m
Shr_Grumio,m,m
Shr_Petruchio,m,m
TGV_Lance,m,m
TGV_Proteus,m,m
TGV_Speed,m,f
TGV_Valentine,m,f
TN_Feste,m,m
TN_Malvolio,m,f
TN_Viola,f,f
TNK_Theseus,m,f
Tim_Fool,m,m
Tim_Timon,m,m
Tit_Aaron,m,m
Tit_CountryFellow,m,m
Tit_Titus,m,m
Tmp_Antonio,m,m
Tmp_Prospero,m,m
Tro_Thersites,m,m
Tro_Troilus,m,m
WT_Autolycus,m,m
WT_Leontes,m,m
WT_Polixenes,m,m
Wiv_Falstaff,m,m
Wiv_MistressPage,f,f
