character,actual,predicted
1H4_Archbishop,m,m
1H4_Bardolph,m,m
1H4_Blunt,m,m
1H4_Chamberlain,m,m
1H4_Douglas,m,m
1H4_Falstaff,m,f
1H4_Gadshill,m,m
1H4_Glendower,m,m
1H4_HenryIV,m,m
1H4_HenryV,m,m
1H4_Hotspur,m,m
1H4_LadyPercy,f,f
1H4_MistressQuickly,f,f
1H4_Mortimer,m,m
1H4_Northumberland,m,m
1H4_Poins,m,m
1H4_TRAVELERS.CARRIERS.1,m,m
1H4_TRAVELERS.CARRIERS.2,m,m
1H4_Vernon,m,m
1H4_Westmoreland,m,m
1H4_Worcester,m,m
1H6_Alanson,m,m
1H6_Basset,m,m
1H6_Bastard,m,m
1H6_Bedford,m,m
1H6_Burgundy,m,m
1H6_CardinalBeaufort,m,m
1H6_Charles,m,m
1H6_Countess,f,m
1H6_Exeter,m,m
1H6_General,m,m
1H6_Gloucester,m,m
1H6_HenryVI,m,m
1H6_JohnTalbot,m,f
1H6_Lucy,m,m
1H6_MESSENGERS.ENGLISH.1,m,m
1H6_MESSENGERS.ENGLISH.3,m,m
1H6_MESSENGERS.FRENCH.1,m,m
1H6_MasterGunner,m,m
1H6_Mayor,m,m
1H6_Mortimer,m,m
1H6_Pucelle,f,m
1H6_QueenMargaret,f,m
1H6_Reignier,m,m
1H6_Salisbury,m,m
1H6_Shepherd,m,f
1H6_Somerset,m,m
1H6_Suffolk,m,m
1H6_Talbot,m,m
1H6_Vernon,m,m
1H6_Warwick,m,m
1H6_York,m,m
2H4_Archbishop,m,m
2H4_Bardolph,m,m
2H4_Bedford,m,m
2H4_Bullcalf,m,m
2H4_ChiefJustice,m,m
2H4_Chorus,m,m
2H4_Clarence,m,m
2H4_Davy,m,m
2H4_DollTearsheet,f,m
2H4_Epilogue,m,m
2H4_Falstaff,m,m
2H4_Gloucester,m,m
2H4_Hastings,m,m
2H4_HenryIV,m,m
2H4_HenryV,m,m
2H4_LadyPercy,f,m
2H4_LordBardolph,m,m
2H4_MistressQuickly,f,f
2H4_Morton,m,m
2H4_Mowbray,m,m
2H4_Northumberland,m,m
2H4_Pistol,m,m
2H4_Poins,m,m
2H4_SERVANTS.FALSTAFF.1,m,m
2H4_Shallow,m,f
2H4_Silence,m,m
2H4_Travers,m,m
2H4_Warwick,m,m
2H4_Westmoreland,m,m
2H6_Bevis,m,m
