character,actual,predicted
1H4_Falstaff,m,m
1H4_HenryIV,m,m
1H4_HenryV,m,m
1H4_Hotspur,m,m
1H6_Talbot,m,m
2H4_Falstaff,m,m
2H6_QueenMargaret,f,m
2H6_York,m,m
3H6_EdwardIV,m,m
3H6_HenryVI,m,m
3H6_RichardIII,m,m
3H6_Warwick,m,m
AWW_Helen,f,m
AWW_King,m,m
AWW_Parolles,m,m
AYL_Rosalind,f,f
Ado_Benedick,m,f
Ado_Leonato,m,f
Ant_Antony,m,m
Ant_Cleopatra,f,m
Ant_Octavius,m,m
Cor_Coriolanus,m,m
Cor_Menenius,m,m
Cym_Belarius,m,m
Cym_Iachimo,m,m
Cym_Imogen,f,f
Cym_Posthumus,m,m
H5_Fluellen,m,f
H5_HenryV,m,m
H8_HenryVIII,m,m
H8_Katherine,f,m
H8_Wolsey,m,m
Ham_Claudius,m,m
Ham_Hamlet,m,m
Ham_Polonius,m,f
JC_Antony,m,m
JC_Brutus,m,f
JC_Cassius,m,m
Jn_Bastard,m,m
Jn_KingJohn,m,m
LLL_Berowne,m,m
Lr_Edgar,m,m
Lr_Gloucester,m,m
Lr_Kent,m,m
Lr_Lear,m,m
MM_Duke,m,f
MM_Isabella,f,f
MV_Bassanio,m,f
MV_Portia,f,m
MV_Shylock,m,f
Mac_Macbeth,m,m
Oth_Desdemona,f,f
Oth_Iago,m,m
Oth_Othello,m,m
Per_Pericles,m,m
R2_HenryIV,m,m
R2_RichardII,m,m
R3_Buckingham,m,m
R3_RichardIII,m,m
Rom_FriarLawrence,m,f
Rom_Juliet,f,f
Rom_Romeo,m,m
Shr_Petruchio,m,m
TGV_Proteus,m,m
TGV_Valentine,m,m
TN_TobyBelch,m,m
TN_Viola,f,f
TNK_Arcite,m,m
TNK_Daughter,f,f
TNK_Emilia,f,m
TNK_Palamon,m,m
Tim_Timon,m,m
Tit_Aaron,m,m
Tit_Titus,m,m
Tmp_Prospero,m,m
Tro_Pandarus,m,f
Tro_Troilus,m,m
Tro_Ulysses,m,m
WT_Leontes,m,m
Wiv_Falstaff,m,f
Wiv_MasterFord,m,m
Wiv_MistressPage,f,m
