character,actual,predicted
1H4_Archbishop,m,m
1H4_Blunt,m,m
1H4_Douglas,m,m
1H4_Falstaff,m,f
1H4_Gadshill,m,m
1H4_Glendower,m,m
1H4_HenryIV,m,m
1H4_HenryV,m,m
1H4_Hotspur,m,m
1H4_LadyPercy,f,f
1H4_MistressQuickly,f,f
1H4_Mortimer,m,m
1H4_Poins,m,m
1H4_Vernon,m,m
1H4_Westmoreland,m,m
1H4_Worcester,m,m
1H6_Alanson,m,m
1H6_Bedford,m,m
1H6_Burgundy,m,m
1H6_CardinalBeaufort,m,m
1H6_Charles,m,m
1H6_Countess,f,m
1H6_Exeter,m,m
1H6_Gloucester,m,m
1H6_HenryVI,m,m
1H6_JohnTalbot,m,f
1H6_Lucy,m,m
1H6_MESSENGERS.ENGLISH.3,m,m
1H6_Mortimer,m,m
1H6_Pucelle,f,m
1H6_QueenMargaret,f,f
1H6_Reignier,m,m
1H6_Somerset,m,f
1H6_Suffolk,m,m
1H6_Talbot,m,m
1H6_Warwick,m,m
1H6_York,m,m
2H4_Archbishop,m,m
2H4_Bardolph,m,f
2H4_Bedford,m,m
2H4_ChiefJustice,m,m
2H4_Chorus,m,m
2H4_Davy,m,m
2H4_DollTearsheet,f,f
2H4_Epilogue,m,f
2H4_Falstaff,m,m
2H4_Hastings,m,m
2H4_HenryIV,m,m
2H4_HenryV,m,f
2H4_LadyPercy,f,m
2H4_LordBardolph,m,m
2H4_MistressQuickly,f,f
2H4_Morton,m,m
2H4_Mowbray,m,m
2H4_Northumberland,m,m
2H4_Pistol,m,f
2H4_Poins,m,f
2H4_Shallow,m,f
2H4_Silence,m,f
2H4_Warwick,m,m
2H4_Westmoreland,m,m
2H6_Buckingham,m,m
2H6_Cade,m,m
2H6_CardinalBeaufort,m,m
2H6_Clifford,m,f
2H6_Dick,m,m
2H6_DuchessOfGloucester,f,f
2H6_Gloucester,m,m
2H6_HenryVI,m,m
2H6_Iden,m,f
2H6_Lieutenant,m,m
2H6_QueenMargaret,f,m
2H6_Salisbury,m,m
2H6_Saye,m,m
2H6_Suffolk,m,m
2H6_Warwick,m,m
2H6_York,m,m
2H6_YoungClifford,m,m
3H6_Clarence,m,m
3H6_Clifford,m,f
3H6_EdwardIV,m,m
3H6_HenryVI,m,f
3H6_KingLewis,m,m
3H6_Oxford,m,m
3H6_PrinceEdward,m,f
3H6_QueenElizabeth,f,f
3H6_QueenMargaret,f,m
3H6_RichardIII,m,m
3H6_Somerset,m,m
3H6_Warwick,m,m
3H6_York,m,f
AWW_Bertram,m,f
AWW_Countess,f,m
AWW_Diana,f,f
AWW_Fool,m,m
AWW_Helen,f,m
AWW_King,m,m
AWW_LORDS.DUMAINE.1,m,m
AWW_LORDS.DUMAINE.2,m,m
AWW_Lafew,m,f
AWW_Parolles,m,m
AWW_SOLDIERS.Interpreter,m,m
AWW_Steward,m,m
AWW_Widow,f,m
AYL_Adam,m,f
AYL_Celia,f,m
AYL_Charles,m,m
AYL_Corin,m,m
AYL_DukeFrederick,m,m
AYL_DukeSenior,m,m
AYL_Jaques,m,m
AYL_LORDS.FREDERICK.LeBeau,m,m
AYL_LORDS.SENIOR.0.1,m,m
AYL_LORDS.SENIOR.Amiens,m,f
AYL_Oliver,m,m
AYL_Orlando,m,f
AYL_Phoebe,f,f
AYL_Rosalind,f,f
AYL_Silvius,m,f
AYL_Touchstone,m,m
Ado_Beatrice,f,f
Ado_Benedick,m,f
Ado_Borachio,m,m
Ado_Claudio,m,f
Ado_Dogberry,m,m
Ado_DonJohn,m,f
Ado_DonPedro,m,m
Ado_FriarFrancis,m,m
Ado_Hero,f,f
Ado_Leonato,m,f
Ado_LeonatosBrother,m,m
Ado_Margaret,f,f
Ado_Ursula,f,m
Ant_Agrippa,m,m
Ant_Antony,m,f
Ant_Charmian,f,m
Ant_Cleopatra,f,f
Ant_Countryman,m,f
Ant_Dolabella,m,f
Ant_Enobarbus,m,m
Ant_Eros,m,m
Ant_Lepidus,m,m
Ant_Maecenas,m,m
Ant_Menas,m,f
Ant_Octavius,m,m
Ant_Pompey,m,m
Ant_Scarus,m,m
Cor_Aufidius,m,f
Cor_CITIZENS.ROMAN.0.1,m,m
Cor_CITIZENS.ROMAN.0.2,m,m
Cor_CITIZENS.ROMAN.3,m,m
Cor_Cominius,m,m
Cor_Coriolanus,m,f
Cor_Lartius,m,f
Cor_Menenius,m,m
Cor_SENATORS.ROMAN.0.1,m,m
Cor_SERVANTS.2,m,m
Cor_SERVANTS.3,m,m
Cor_TRIBUNES.Brutus,m,m
Cor_TRIBUNES.Sicinius,m,m
Cor_Valeria,f,m
Cor_Volumnia,f,m
Cor_WATCHMEN.1,m,f
Cym_ATTENDANTS.1,m,m
Cym_ATTENDANTS.CLOTEN.2,m,m
Cym_Arviragus,m,f
Cym_Belarius,m,m
Cym_Cloten,m,m
Cym_Cornelius,m,m
Cym_Cymbeline,m,m
Cym_Guiderius,m,m
Cym_Iachimo,m,m
Cym_Imogen,f,f
Cym_JAILERS.1,m,f
Cym_Lucius,m,m
Cym_Philario,m,m
Cym_Pisanio,m,f
Cym_Posthumus,m,f
Cym_Queen,f,m
Cym_Soothsayer,m,m
Err_Abbess,f,m
Err_Adriana,f,m
Err_Angelo,m,f
Err_AntipholusOfEphesus,m,f
Err_AntipholusOfSyracuse,m,f
Err_Courtesan,f,m
Err_DromioOfEphesus,m,f
Err_DromioOfSyracuse,m,m
Err_Duke,m,m
Err_Egeon,m,f
Err_Luciana,f,m
Err_Merchant2,m,f
H5_BishopOfCanterbury,m,m
H5_Boy,m,m
H5_Burgundy,m,m
H5_Chorus,m,m
H5_Constable,m,m
H5_Dauphin,m,m
H5_Exeter,m,m
H5_Fluellen,m,m
H5_Gower,m,m
H5_HenryV,m,m
H5_Katherine,f,f
H5_KingOfFrance,m,m
H5_MistressQuickly,f,f
H5_Montjoy,m,m
H5_Nym,m,f
H5_Orleans,m,m
H5_Pistol,m,f
H5_SOLDIERS.ENGLISH.Williams,m,f
H8_Anne,f,f
H8_Buckingham,m,m
H8_Campeius,m,m
H8_Chamberlain,m,m
H8_Cranmer,m,m
H8_Cromwell,m,m
H8_GENTLEMEN.1,m,m
H8_GENTLEMEN.2,m,m
H8_GENTLEMEN.3,m,m
H8_Gardiner,m,m
H8_Griffith,m,m
H8_HenryVIII,m,m
H8_Katherine,f,f
H8_Lovell,m,m
H8_Norfolk,m,m
H8_OldLady,f,f
H8_Porter,m,m
H8_Prologue,m,m
H8_SERVANTS.PORTER.1,m,f
H8_Sands,m,f
H8_Suffolk,m,m
H8_Surrey,m,m
H8_Surveyor,m,m
H8_Wolsey,m,m
Ham_Claudius,m,m
Ham_Gertrude,f,f
Ham_Ghost,m,m
Ham_Gravedigger,m,m
Ham_Guildenstern,m,f
Ham_Hamlet,m,m
Ham_Horatio,m,m
Ham_Laertes,m,m
Ham_Marcellus,m,f
Ham_Ophelia,f,f
Ham_Osric,m,m
Ham_PLAYERS.1,m,m
Ham_PLAYERS.King,m,m
Ham_Polonius,m,f
Ham_Rosencrantz,m,m
JC_Antony,m,m
JC_Brutus,m,f
JC_Caesar,m,m
JC_Casca,m,f
JC_Cassius,m,m
JC_Decius,m,m
JC_Octavius,m,m
JC_Portia,f,f
JC_SOLDIERS.BRUTUS.Messala,m,f
Jn_Arthur,m,f
Jn_Bastard,m,m
Jn_Blanche,f,f
Jn_CITIZENS.0.1,m,m
Jn_Chatillion,m,m
Jn_Constance,f,f
Jn_Dauphin,m,m
Jn_Hubert,m,f
Jn_KingJohn,m,m
Jn_KingPhilip,m,m
Jn_Melun,m,m
Jn_Pandulph,m,m
Jn_Pembroke,m,m
Jn_QueenEleanor,f,m
Jn_Salisbury,m,m
LLL_Armado,m,m
LLL_Berowne,m,f
LLL_Boy,m,m
LLL_Boyet,m,m
LLL_Costard,m,m
LLL_Dumaine,m,f
LLL_Holofernes,m,m
LLL_Katherine,f,f
LLL_King,m,m
LLL_Longaville,m,f
LLL_Maria,f,m
LLL_Nathaniel,m,m
LLL_Princess,f,m
LLL_Rosaline,f,m
Lr_Albany,m,m
Lr_Cordelia,f,f
Lr_Cornwall,m,m
Lr_Edgar,m,f
Lr_Edmund,m,m
Lr_Fool,m,f
Lr_Gloucester,m,m
Lr_Goneril,f,m
Lr_Kent,m,f
Lr_Lear,m,f
Lr_Oswald,m,f
Lr_Regan,f,m
MM_Angelo,m,f
MM_Claudio,m,m
MM_Duke,m,m
MM_Elbow,m,m
MM_Escalus,m,m
MM_FriarPeter,m,m
MM_Isabella,f,m
MM_Lucio,m,f
MM_Mariana,f,f
MM_Pompey,m,m
MM_Provost,m,m
MND_Bottom,m,f
MND_Demetrius,m,f
MND_Egeus,m,m
MND_Flute,m,f
MND_Helena,f,f
MND_Hermia,f,f
MND_Hippolyta,f,m
MND_Lysander,m,f
MND_Oberon,m,m
MND_Quince,m,m
MND_RobinGoodfellow,m,f
MND_Theseus,m,m
MND_Titania,f,m
MV_Antonio,m,f
MV_Arragon,m,m
MV_Bassanio,m,f
MV_Duke,m,m
MV_Gratiano,m,f
MV_Jessica,f,f
MV_LanceletGobbo,m,f
MV_Lorenzo,m,m
MV_Morocco,m,m
MV_Nerissa,f,m
MV_OldGobbo,m,f
MV_Portia,f,m
MV_Salarino,m,m
MV_Shylock,m,f
MV_Solanio,m,m
Mac_Banquo,m,f
Mac_Doctor2,m,f
Mac_Duncan,m,m
Mac_Hecate,f,m
Mac_LadyMacbeth,f,m
Mac_LadyMacduff,f,m
Mac_Lennox,m,m
Mac_Macbeth,m,m
Mac_Macduff,m,m
Mac_Malcolm,m,m
Mac_Porter,m,m
Mac_Ross,m,m
Mac_WITCHES.1,f,m
Oth_Bianca,f,f
Oth_Brabantio,m,m
Oth_Cassio,m,f
Oth_Desdemona,f,f
Oth_Duke,m,m
Oth_Emilia,f,f
Oth_Iago,m,f
Oth_Lodovico,m,m
Oth_Montano,m,m
Oth_Othello,m,f
Oth_Roderigo,m,f
Per_Antiochus,m,m
Per_Bawd,f,m
Per_Bolt,m,m
Per_Cerimon,m,m
Per_Cleon,m,m
Per_Dionyza,f,f
Per_FISHERMEN.1,m,f
Per_Gower,m,m
Per_Helicanus,m,m
Per_Lysimachus,m,m
Per_Marina,f,f
Per_Pericles,m,f
Per_Simonides,m,m
Per_Thaisa,f,f
R2_Aumerle,m,f
R2_BishopOfCarlisle,m,m
R2_Bushy,m,m
R2_DuchessOfGloucester,f,m
R2_DuchessOfYork,m,f
R2_Gardener,m,m
R2_Gaunt,m,m
R2_HenryIV,m,m
R2_Hotspur,m,m
R2_Mowbray,m,f
R2_Northumberland,m,m
R2_Queen,f,f
R2_RichardII,m,m
R2_Scroop,m,m
R2_York,m,f
R3_Buckingham,m,m
R3_Catesby,m,f
R3_Clarence,m,f
R3_DuchessOfYork,m,f
R3_EdwardIV,m,f
R3_EdwardV,m,m
R3_Hastings,m,f
