name,overall,average
1H4,0.8831521739130435,0.8696705426356589
Oth,0.7716666666666666,0.8493120608899297
WT,0.7586633663366337,0.7982991014120667
Ham,0.8197368421052632,0.7720883534136547
Per,0.802570093457944,0.7716432416267942
Shr,0.6471354166666666,0.7611631016042781
H8,0.8495934959349594,0.7548076923076923
2H4,0.7868217054263565,0.7491296419098143
Lr,0.7898351648351648,0.74375
AYL,0.7630813953488372,0.742953431372549
Rom,0.6720430107526881,0.6998275162337662
TGV,0.5057692307692307,0.6956845238095238
TN,0.6176470588235294,0.6936274509803921
JC,0.6988095238095238,0.6837121212121212
Tro,0.78375,0.6835212201591512
3H6,0.8344907407407407,0.6506377551020408
AWW,0.6741071428571429,0.6417705278592376
Cym,0.7261363636363637,0.6344298245614035
Ant,0.7528625954198473,0.629769536019536
MM,0.6426056338028169,0.6214962121212122
Tmp,0.7045454545454546,0.6136363636363636
Ado,0.5632716049382716,0.6075367647058824
Cor,0.7336538461538461,0.6018430099312452
2H6,0.8442028985507246,0.580109126984127
LLL,0.7256493506493507,0.5790040834845736
TNK,0.6580882352941176,0.5728764478764479
Jn,0.7456896551724138,0.557237525987526
MND,0.5542763157894737,0.5571120689655172
H5,0.7898706896551724,0.5567216981132075
Tim,0.6449579831932774,0.5448369565217391
R2,0.7659574468085106,0.5319767441860466
Wiv,0.4953125,0.5195750647109577
1H6,0.8414855072463768,0.5142716535433071
MV,0.5679012345679012,0.503030303030303
Mac,0.725,0.500450937950938
Tit,0.7033333333333334,0.4639423076923077
Err,0.4458955223880597,0.44191176470588234
R3,0.6669921875,0.4213169642857143
