             Overall Accuracy:              

  Play   Overall  Average  F1 Score   MCC   
  1H4     88.32%   86.97%   71.11%   49.42% 
   H8     84.96%   75.48%   69.19%   40.88% 
  2H6     84.42%   58.01%   56.93%   14.20% 
  1H6     84.15%   51.43%   51.23%   2.59%  
  3H6     83.45%   65.06%   61.40%   24.35% 
  Ham     81.97%   77.21%   69.42%   42.77% 
  Per     80.26%   77.16%   71.89%   46.40% 
   H5     78.99%   55.67%   53.18%   8.45%  
   Lr     78.98%   74.38%   69.01%   40.84% 
  2H4     78.68%   74.91%   63.47%   34.46% 
  Tro     78.38%   68.35%   63.27%   29.39% 
  Oth     77.17%   84.93%   72.60%   55.45% 
   R2     76.60%   53.20%   50.90%   4.54%  
  AYL     76.31%   74.30%   69.72%   42.23% 
   WT     75.87%   79.83%   70.25%   48.10% 
  Ant     75.29%   62.98%   57.04%   18.74% 
   Jn     74.57%   55.72%   55.00%   10.38% 
  Cor     73.37%   60.18%   52.96%   12.98% 
  Cym     72.61%   63.44%   58.18%   20.64% 
  LLL     72.56%   57.90%   58.45%   18.12% 
  Mac     72.50%   50.05%   49.81%   0.10%  
  Tmp     70.45%   61.36%   57.94%   18.71% 
  Tit     70.33%   46.39%   46.60%   -6.13% 
   JC     69.59%   68.22%   50.70%   18.16% 
  AWW     67.41%   64.18%   62.13%   25.90% 
  Rom     67.20%   69.98%   60.31%   30.65% 
   R3     66.70%   42.13%   43.16%  -12.34% 
  TNK     65.81%   57.29%   57.26%   14.52% 
  Shr     64.71%   76.12%   56.30%   33.47% 
  Tim     64.50%   54.48%   42.84%   3.39%  
   MM     64.44%   62.25%   54.82%   18.23% 
   TN     61.76%   69.36%   60.26%   33.74% 
   MV     56.79%   50.30%   47.55%   0.48%  
  Ado     56.33%   60.75%   52.72%   17.52% 
  MND     55.43%   55.71%   51.40%   9.72%  
  TGV     50.58%   69.57%   47.55%   27.86% 
  Wiv     49.53%   51.96%   46.80%   3.34%  
  Err     44.59%   44.19%   41.61%  -10.12% 


             Average Accuracy:              

  Play   Overall  Average  F1 Score   MCC   
  1H4     88.32%   86.97%   71.11%   49.42% 
  Oth     77.17%   84.93%   72.60%   55.45% 
   WT     75.87%   79.83%   70.25%   48.10% 
  Ham     81.97%   77.21%   69.42%   42.77% 
  Per     80.26%   77.16%   71.89%   46.40% 
  Shr     64.71%   76.12%   56.30%   33.47% 
   H8     84.96%   75.48%   69.19%   40.88% 
  2H4     78.68%   74.91%   63.47%   34.46% 
   Lr     78.98%   74.38%   69.01%   40.84% 
  AYL     76.31%   74.30%   69.72%   42.23% 
  Rom     67.20%   69.98%   60.31%   30.65% 
  TGV     50.58%   69.57%   47.55%   27.86% 
   TN     61.76%   69.36%   60.26%   33.74% 
  Tro     78.38%   68.35%   63.27%   29.39% 
   JC     69.59%   68.22%   50.70%   18.16% 
  3H6     83.45%   65.06%   61.40%   24.35% 
  AWW     67.41%   64.18%   62.13%   25.90% 
  Cym     72.61%   63.44%   58.18%   20.64% 
  Ant     75.29%   62.98%   57.04%   18.74% 
   MM     64.44%   62.25%   54.82%   18.23% 
  Tmp     70.45%   61.36%   57.94%   18.71% 
  Ado     56.33%   60.75%   52.72%   17.52% 
  Cor     73.37%   60.18%   52.96%   12.98% 
  2H6     84.42%   58.01%   56.93%   14.20% 
  LLL     72.56%   57.90%   58.45%   18.12% 
  TNK     65.81%   57.29%   57.26%   14.52% 
   Jn     74.57%   55.72%   55.00%   10.38% 
  MND     55.43%   55.71%   51.40%   9.72%  
   H5     78.99%   55.67%   53.18%   8.45%  
  Tim     64.50%   54.48%   42.84%   3.39%  
