name,overall,average
2H4,1.0,1.0
Tim,1.0,1.0
3H6,1.0,1.0
Shr,1.0,1.0
Tro,1.0,1.0
Ant,1.0,1.0
JC,1.0,1.0
Rom,1.0,1.0
Oth,1.0,1.0
Tmp,1.0,1.0
1H4,1.0,1.0
Lr,1.0,1.0
Wiv,1.0,1.0
Cym,1.0,1.0
WT,1.0,1.0
2H6,1.0,1.0
Cor,1.0,1.0
MND,1.0,1.0
LLL,1.0,1.0
AWW,1.0,1.0
TN,1.0,1.0
MM,1.0,1.0
Ado,1.0,1.0
R3,1.0,1.0
R2,1.0,1.0
AYL,1.0,1.0
MV,1.0,1.0
TNK,1.0,1.0
Jn,1.0,1.0
Err,1.0,1.0
Tit,1.0,1.0
Mac,1.0,1.0
Ham,1.0,1.0
1H6,1.0,1.0
H8,1.0,1.0
TGV,1.0,1.0
H5,1.0,1.0
Per,1.0,1.0
