             Overall Accuracy:              

  Play   Overall  Average  F1 Score   MCC   
  Oth    100.00%  100.00%  100.00%  100.00% 
   R3    100.00%  100.00%  100.00%  100.00% 
  2H6    100.00%  100.00%  100.00%  100.00% 
  TNK    100.00%  100.00%  100.00%  100.00% 
  Ham    100.00%  100.00%  100.00%  100.00% 
  Tro    100.00%  100.00%  100.00%  100.00% 
   H5    100.00%  100.00%  100.00%  100.00% 
  Wiv    100.00%  100.00%  100.00%  100.00% 
  AWW    100.00%  100.00%  100.00%  100.00% 
  Cor    100.00%  100.00%  100.00%  100.00% 
  1H6    100.00%  100.00%  100.00%  100.00% 
  Per    100.00%  100.00%  100.00%  100.00% 
  Tim    100.00%  100.00%  100.00%  100.00% 
   WT    100.00%  100.00%  100.00%  100.00% 
  Tmp    100.00%  100.00%  100.00%  100.00% 
  LLL    100.00%  100.00%  100.00%  100.00% 
   Lr    100.00%  100.00%  100.00%  100.00% 
  Cym    100.00%  100.00%  100.00%  100.00% 
   R2    100.00%  100.00%  100.00%  100.00% 
  Tit    100.00%  100.00%  100.00%  100.00% 
   MM    100.00%  100.00%  100.00%  100.00% 
   JC    100.00%  100.00%  100.00%  100.00% 
  1H4    100.00%  100.00%  100.00%  100.00% 
  Mac    100.00%  100.00%  100.00%  100.00% 
   H8    100.00%  100.00%  100.00%  100.00% 
  3H6    100.00%  100.00%  100.00%  100.00% 
  Shr    100.00%  100.00%  100.00%  100.00% 
  Ado    100.00%  100.00%  100.00%  100.00% 
   MV    100.00%  100.00%  100.00%  100.00% 
  Rom    100.00%  100.00%  100.00%  100.00% 
   Jn    100.00%  100.00%  100.00%  100.00% 
  TGV    100.00%  100.00%  100.00%  100.00% 
   TN    100.00%  100.00%  100.00%  100.00% 
  2H4    100.00%  100.00%  100.00%  100.00% 
  Ant    100.00%  100.00%  100.00%  100.00% 
  AYL    100.00%  100.00%  100.00%  100.00% 
  MND    100.00%  100.00%  100.00%  100.00% 
  Err    100.00%  100.00%  100.00%  100.00% 


             Average Accuracy:              

  Play   Overall  Average  F1 Score   MCC   
  Oth    100.00%  100.00%  100.00%  100.00% 
   R3    100.00%  100.00%  100.00%  100.00% 
  2H6    100.00%  100.00%  100.00%  100.00% 
  TNK    100.00%  100.00%  100.00%  100.00% 
  Ham    100.00%  100.00%  100.00%  100.00% 
  Tro    100.00%  100.00%  100.00%  100.00% 
   H5    100.00%  100.00%  100.00%  100.00% 
  Wiv    100.00%  100.00%  100.00%  100.00% 
  AWW    100.00%  100.00%  100.00%  100.00% 
  Cor    100.00%  100.00%  100.00%  100.00% 
  1H6    100.00%  100.00%  100.00%  100.00% 
  Per    100.00%  100.00%  100.00%  100.00% 
  Tim    100.00%  100.00%  100.00%  100.00% 
   WT    100.00%  100.00%  100.00%  100.00% 
  Tmp    100.00%  100.00%  100.00%  100.00% 
  LLL    100.00%  100.00%  100.00%  100.00% 
   Lr    100.00%  100.00%  100.00%  100.00% 
  Cym    100.00%  100.00%  100.00%  100.00% 
   R2    100.00%  100.00%  100.00%  100.00% 
  Tit    100.00%  100.00%  100.00%  100.00% 
   MM    100.00%  100.00%  100.00%  100.00% 
   JC    100.00%  100.00%  100.00%  100.00% 
  1H4    100.00%  100.00%  100.00%  100.00% 
  Mac    100.00%  100.00%  100.00%  100.00% 
   H8    100.00%  100.00%  100.00%  100.00% 
  3H6    100.00%  100.00%  100.00%  100.00% 
  Shr    100.00%  100.00%  100.00%  100.00% 
  Ado    100.00%  100.00%  100.00%  100.00% 
   MV    100.00%  100.00%  100.00%  100.00% 
  Rom    100.00%  100.00%  100.00%  100.00% 
   Jn    100.00%  100.00%  100.00%  100.00% 
  TGV    100.00%  100.00%  100.00%  100.00% 
   TN    100.00%  100.00%  100.00%  100.00% 
  2H4    100.00%  100.00%  100.00%  100.00% 
  Ant    100.00%  100.00%  100.00%  100.00% 
  AYL    100.00%  100.00%  100.00%  100.00% 
  MND    100.00%  100.00%  100.00%  100.00% 
  Err    100.00%  100.00%  100.00%  100.00% 


              Average F1 Score              

  Play   Overall  Average  F1 Score   MCC   
  Oth    100.00%  100.00%  100.00%  100.00% 
   R3    100.00%  100.00%  100.00%  100.00% 
  2H6    100.00%  100.00%  100.00%  100.00% 
  TNK    100.00%  100.00%  100.00%  100.00% 
  Ham    100.00%  100.00%  100.00%  100.00% 
  Tro    100.00%  100.00%  100.00%  100.00% 
   H5    100.00%  100.00%  100.00%  100.00% 
  Wiv    100.00%  100.00%  100.00%  100.00% 
  AWW    100.00%  100.00%  100.00%  100.00% 
  Cor    100.00%  100.00%  100.00%  100.00% 
  1H6    100.00%  100.00%  100.00%  100.00% 
  Per    100.00%  100.00%  100.00%  100.00% 
  Tim    100.00%  100.00%  100.00%  100.00% 
   WT    100.00%  100.00%  100.00%  100.00% 
  Tmp    100.00%  100.00%  100.00%  100.00% 
  LLL    100.00%  100.00%  100.00%  100.00% 
   Lr    100.00%  100.00%  100.00%  100.00% 
  Cym    100.00%  100.00%  100.00%  100.00% 
   R2    100.00%  100.00%  100.00%  100.00% 
  Tit    100.00%  100.00%  100.00%  100.00% 
   MM    100.00%  100.00%  100.00%  100.00% 
   JC    100.00%  100.00%  100.00%  100.00% 
  1H4    100.00%  100.00%  100.00%  100.00% 
  Mac    100.00%  100.00%  100.00%  100.00% 
   H8    100.00%  100.00%  100.00%  100.00% 
  3H6    100.00%  100.00%  100.00%  100.00% 
  Shr    100.00%  100.00%  100.00%  100.00% 
  Ado    100.00%  100.00%  100.00%  100.00% 
   MV    100.00%  100.00%  100.00%  100.00% 
  Rom    100.00%  100.00%  100.00%  100.00% 
   Jn    100.00%  100.00%  100.00%  100.00% 
  TGV    100.00%  100.00%  100.00%  100.00% 
   TN    100.00%  100.00%  100.00%  100.00% 
  2H4    100.00%  100.00%  100.00%  100.00% 
  Ant    100.00%  100.00%  100.00%  100.00% 
  AYL    100.00%  100.00%  100.00%  100.00% 
  MND    100.00%  100.00%  100.00%  100.00% 
  Err    100.00%  100.00%  100.00%  100.00% 


  Average Matthews Correlation Coefficient  

  Play   Overall  Average  F1 Score   MCC   
  Oth    100.00%  100.00%  100.00%  100.00% 
   R3    100.00%  100.00%  100.00%  100.00% 
  2H6    100.00%  100.00%  100.00%  100.00% 
  TNK    100.00%  100.00%  100.00%  100.00% 
  Ham    100.00%  100.00%  100.00%  100.00% 
  Tro    100.00%  100.00%  100.00%  100.00% 
   H5    100.00%  100.00%  100.00%  100.00% 
  Wiv    100.00%  100.00%  100.00%  100.00% 
  AWW    100.00%  100.00%  100.00%  100.00% 
  Cor    100.00%  100.00%  100.00%  100.00% 
  1H6    100.00%  100.00%  100.00%  100.00% 
  Per    100.00%  100.00%  100.00%  100.00% 
  Tim    100.00%  100.00%  100.00%  100.00% 
   WT    100.00%  100.00%  100.00%  100.00% 
  Tmp    100.00%  100.00%  100.00%  100.00% 
  LLL    100.00%  100.00%  100.00%  100.00% 
   Lr    100.00%  100.00%  100.00%  100.00% 
  Cym    100.00%  100.00%  100.00%  100.00% 
   R2    100.00%  100.00%  100.00%  100.00% 
  Tit    100.00%  100.00%  100.00%  100.00% 
   MM    100.00%  100.00%  100.00%  100.00% 
   JC    100.00%  100.00%  100.00%  100.00% 
  1H4    100.00%  100.00%  100.00%  100.00% 
  Mac    100.00%  100.00%  100.00%  100.00% 
   H8    100.00%  100.00%  100.00%  100.00% 
  3H6    100.00%  100.00%  100.00%  100.00% 
  Shr    100.00%  100.00%  100.00%  100.00% 
  Ado    100.00%  100.00%  100.00%  100.00% 
   MV    100.00%  100.00%  100.00%  100.00% 
  Rom    100.00%  100.00%  100.00%  100.00% 
   Jn    100.00%  100.00%  100.00%  100.00% 
  TGV    100.00%  100.00%  100.00%  100.00% 
   TN    100.00%  100.00%  100.00%  100.00% 
  2H4    100.00%  100.00%  100.00%  100.00% 
  Ant    100.00%  100.00%  100.00%  100.00% 
  AYL    100.00%  100.00%  100.00%  100.00% 
  MND    100.00%  100.00%  100.00%  100.00% 
  Err    100.00%  100.00%  100.00%  100.00% 
