name,overall,average
3H6,1.0,1.0
2H6,1.0,1.0
MND,0.8931398416886543,0.8096127415312475
R3,0.8254564983888292,0.6769834959384535
Ant,0.8219321148825065,0.7660372842217904
Cor,0.7955020920502092,0.6825326961770624
Mac,0.7919655667144907,0.5453720328759636
Per,0.7843915343915344,0.698495865412033
H8,0.7612101566720691,0.34963927181198234
TNK,0.7463933181473045,0.38700787401574804
Tim,0.7432972047917855,0.6125256856964174
Tit,0.7016666666666667,0.5182804802955665
Err,0.7005597014925373,0.6246669089147286
1H6,0.6967957914873266,0.28871555204493593
Rom,0.6893995552260934,0.6232247442559729
Tro,0.6847826086956522,0.4786951909476662
H5,0.6789625360230548,0.4072084374903559
R2,0.6785714285714286,0.505026455026455
JC,0.6773809523809524,0.5376454654895666
Oth,0.6575,0.5997921798029557
Ham,0.6453947368421052,0.3283247180451128
2H4,0.6288759689922481,0.42552083333333335
Shr,0.6275911365260901,0.566479499020431
1H4,0.625,0.4398893360160966
Ado,0.6087962962962963,0.3433919270833333
Jn,0.5983483483483484,0.4884376941761283
LLL,0.5965909090909091,0.5385328389830508
WT,0.5965346534653465,0.49222379500580715
Lr,0.5913461538461539,0.5018291170634921
AYL,0.5885714285714285,0.26642479956830095
Cym,0.5840909090909091,0.3361855158730158
Wiv,0.5817091454272864,0.23950617283950618
MV,0.5717592592592593,0.4496670081967213
MM,0.5625,0.34635416666666663
Tmp,0.5602605863192183,0.5071064946562954
AWW,0.5089285714285714,0.4288175366300367
TGV,0.4913461538461538,0.5556032509157509
TN,0.43933823529411764,0.4179953231292517
