             Overall Accuracy:              

  Play   Overall  Average  F1 Score   MCC   
  3H6    100.00%  100.00%  100.00%  100.00% 
  2H6    100.00%  100.00%  100.00%  100.00% 
  MND     91.21%   82.06%   80.64%   61.39% 
   R3     82.36%   67.60%   57.39%   21.36% 
  Ant     82.21%   76.61%   61.33%   45.88% 
  Mac     79.43%   56.13%   48.27%   27.37% 
  Cor     79.14%   68.09%   54.57%   35.41% 
  Per     78.26%   70.28%   56.53%   39.73% 
   H8     76.49%   35.12%   35.08%   11.92% 
   JC     76.42%   68.50%   55.87%   37.40% 
  TNK     74.89%   38.82%   42.82%  -10.05% 
  Tim     74.64%   58.28%   42.17%   27.13% 
  Tit     70.08%   51.80%   46.88%   32.68% 
  Err     69.96%   62.43%   52.74%   43.96% 
  1H6     69.80%   28.91%   30.32%   6.38%  
  Rom     68.67%   62.22%   47.07%   30.69% 
  Tro     68.06%   47.71%   38.27%   15.65% 
   H5     67.95%   40.74%   39.07%   10.78% 
   R2     67.82%   50.49%   38.56%   16.39% 
  Oth     66.17%   60.11%   49.70%   35.50% 
  Ham     64.21%   31.56%   30.14%   10.88% 
  Shr     63.23%   56.83%   44.06%   23.66% 
  2H4     62.45%   42.42%   34.52%   17.80% 
  1H4     62.30%   43.92%   33.82%   19.70% 
  Ado     60.88%   34.58%   29.13%   11.72% 
  LLL     59.66%   53.85%   44.91%   28.39% 
   Jn     59.58%   48.74%   39.54%   13.18% 
   WT     59.53%   48.22%   39.70%   24.16% 
   Lr     59.07%   50.16%   38.19%   25.64% 
  AYL     58.67%   26.55%   27.98%   4.34%  
  Cym     58.64%   34.66%   28.65%   11.32% 
  Wiv     57.82%   23.89%   26.08%   -2.91% 
   MV     57.25%   44.99%   40.24%   24.03% 
   MM     56.25%   34.64%   33.11%   14.36% 
  Tmp     56.13%   50.75%   37.55%   20.95% 
  AWW     50.74%   43.07%   33.71%   15.30% 
  TGV     49.04%   55.52%   45.39%   32.84% 
   TN     44.30%   41.93%   31.23%   18.47% 


             Average Accuracy:              

  Play   Overall  Average  F1 Score   MCC   
