character,actual,predicted
1H4_Archbishop,other,other
1H4_Bardolph,other,other
1H4_Bedford,other,other
1H4_Blunt,other,antag
1H4_Chamberlain,other,fool
1H4_DRAWERS.Francis,other,other
1H4_Douglas,other,protag
1H4_Falstaff,fool,protag
1H4_Gadshill,other,fool
1H4_Glendower,other,protag
1H4_HenryIV,other,antag
1H4_HenryV,protag,protag
1H4_Hotspur,antag,protag
1H4_LadyPercy,other,protag
1H4_MESSENGERS.1,other,other
1H4_MESSENGERS.2,other,other
1H4_MESSENGERS.X,other,other
1H4_MistressQuickly,other,other
1H4_Mortimer,other,antag
1H4_Northumberland,other,antag
1H4_Ostler,other,other
1H4_Peto,other,protag
1H4_Poins,other,antag
1H4_SERVANTS.HOTSPUR.1,other,other
1H4_Sheriff,other,other
1H4_SirMichael,other,other
1H4_TRAVELERS.CARRIERS,other,other
1H4_TRAVELERS.CARRIERS.1,other,fool
1H4_TRAVELERS.CARRIERS.2,other,other
1H4_TRAVELERS.CARRIERS.X,other,fool
1H4_TRAVELERS.GENTLEMEN,other,protag
1H4_TRAVELERS.GENTLEMEN.0.1,other,other
1H4_Vernon,other,other
1H4_Vintner,other,antag
1H4_Westmoreland,other,protag
1H4_Worcester,other,antag
1H6_Alanson,other,other
1H6_Basset,other,antag
1H6_Bastard,other,other
1H6_Bedford,other,other
1H6_Boy,other,fool
1H6_Burgundy,other,protag
1H6_CardinalBeaufort,other,antag
1H6_Charles,antag,protag
1H6_Countess,other,protag
1H6_Exeter,other,antag
1H6_Fastolf,other,fool
1H6_Gargrave,other,other
1H6_General,other,protag
1H6_Glansdale,other,protag
1H6_Gloucester,other,antag
1H6_HenryVI,protag,antag
1H6_JAILERS.0.1,other,other
1H6_JohnTalbot,other,fool
1H6_Lawyer,other,other
1H6_Legate,other,antag
1H6_Lucy,other,other
1H6_MESSENGERS.ENGLISH.1,other,other
1H6_MESSENGERS.ENGLISH.2,other,antag
1H6_MESSENGERS.ENGLISH.3,other,antag
1H6_MESSENGERS.ENGLISH.X.1,other,other
1H6_MESSENGERS.ENGLISH.X.2,other,protag
1H6_MESSENGERS.FRENCH.1,other,other
1H6_MasterGunner,other,antag
1H6_Mayor,other,antag
1H6_Mortimer,other,protag
1H6_OFFICERS.0.1,other,other
1H6_Porter,other,fool
1H6_Pucelle,other,protag
1H6_QueenMargaret,other,protag
1H6_Reignier,other,protag
1H6_SERVANTS.1,other,antag
1H6_SERVANTS.2,other,other
1H6_SERVANTS.3,other,protag
1H6_SERVANTS.GLOUCESTER,other,other
1H6_SERVANTS.GLOUCESTER.0.1,other,other
1H6_SERVANTS.GLOUCESTER.0.2,other,other
1H6_SERVANTS.TALBOT.1,other,other
1H6_SERVANTS.WINCHESTER.0.1,other,protag
1H6_SOLDIERS.ENGLISH.0.1,other,other
1H6_SOLDIERS.ENGLISH.1,other,fool
1H6_SOLDIERS.ENGLISH.Captain,other,other
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,other,other
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,other,other
1H6_SOLDIERS.FRENCH.Scout,other,antag
1H6_SOLDIERS.FRENCH.Sergeant,other,other
1H6_Salisbury,other,protag
1H6_Shepherd,other,protag
1H6_Somerset,other,other
1H6_Suffolk,other,antag
1H6_Talbot,other,protag
1H6_Vernon,other,fool
1H6_WARDERS.1,other,fool
1H6_WARDERS.2,other,fool
1H6_WATCHMEN.1,other,other
1H6_Warwick,other,antag
1H6_Watchman,other,fool
1H6_Woodville,other,protag
1H6_York,other,antag
2H4_Archbishop,other,protag
2H4_BEADLES.0.1,other,antag
2H4_Bardolph,other,fool
2H4_Bedford,other,protag
2H4_Bullcalf,other,fool
2H4_ChiefJustice,antag,other
2H4_Chorus,other,protag
2H4_Clarence,other,other
2H4_Colevile,other,fool
2H4_DRAWERS.1,other,antag
2H4_DRAWERS.Francis,other,protag
2H4_DRAWERS.Will,other,other
2H4_DRAWERS.X,other,fool
2H4_Davy,other,fool
2H4_DollTearsheet,other,fool
2H4_Epilogue,other,antag
2H4_Falstaff,fool,antag
2H4_Feeble,other,fool
2H4_GROOMS.1,other,protag
2H4_GROOMS.2,other,antag
2H4_Gloucester,other,other
2H4_Harcourt,other,protag
2H4_Hastings,other,antag
2H4_HenryIV,other,protag
2H4_HenryV,protag,protag
2H4_LadyNorthumberland,other,other
2H4_LadyPercy,other,antag
2H4_LordBardolph,other,antag
2H4_MESSENGERS.1,other,other
2H4_MESSENGERS.Gower,other,other
2H4_MistressQuickly,other,fool
2H4_Morton,other,other
2H4_Mouldy,other,fool
2H4_Mowbray,other,antag
2H4_Northumberland,other,protag
2H4_OFFICERS.Fang,other,fool
2H4_OFFICERS.Snare,other,other
2H4_Peto,other,antag
2H4_Pistol,other,other
2H4_Poins,other,fool
2H4_Porter,other,fool
