character,actual,predicted
1H4_Archbishop,other,other
1H4_Blunt,other,antag
1H4_Douglas,other,protag
1H4_Falstaff,fool,protag
1H4_Gadshill,other,fool
1H4_Glendower,other,other
1H4_HenryIV,other,antag
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_LadyPercy,other,protag
1H4_MistressQuickly,other,other
1H4_Mortimer,other,antag
1H4_Poins,other,antag
1H4_Vernon,other,other
1H4_Westmoreland,other,other
1H4_Worcester,other,antag
1H6_Alanson,other,other
1H6_Bedford,other,other
1H6_Burgundy,other,protag
1H6_CardinalBeaufort,other,antag
1H6_Charles,antag,protag
1H6_Countess,other,protag
1H6_Exeter,other,other
1H6_Gloucester,other,other
1H6_HenryVI,protag,antag
1H6_JohnTalbot,other,fool
1H6_Lucy,other,other
1H6_MESSENGERS.ENGLISH.3,other,other
1H6_Mortimer,other,protag
1H6_Pucelle,other,protag
1H6_QueenMargaret,other,protag
1H6_Reignier,other,other
1H6_Somerset,other,antag
1H6_Suffolk,other,other
1H6_Talbot,other,protag
1H6_Warwick,other,antag
1H6_York,other,other
2H4_Archbishop,other,other
2H4_Bardolph,other,fool
2H4_Bedford,other,other
2H4_ChiefJustice,antag,other
2H4_Chorus,other,other
2H4_Davy,other,fool
2H4_DollTearsheet,other,protag
2H4_Epilogue,other,antag
2H4_Falstaff,fool,other
2H4_Hastings,other,other
2H4_HenryIV,other,protag
2H4_HenryV,protag,protag
2H4_LadyPercy,other,other
2H4_LordBardolph,other,other
2H4_MistressQuickly,other,fool
2H4_Morton,other,other
2H4_Mowbray,other,antag
2H4_Northumberland,other,protag
2H4_Pistol,other,other
2H4_Poins,other,fool
2H4_Shallow,other,other
2H4_Silence,other,other
2H4_Warwick,other,other
2H4_Westmoreland,other,antag
2H6_Buckingham,other,other
2H6_Cade,other,protag
2H6_CardinalBeaufort,other,other
2H6_Clifford,other,other
2H6_Dick,other,fool
2H6_DuchessOfGloucester,other,protag
2H6_Gloucester,other,protag
2H6_HenryVI,other,other
2H6_Iden,other,protag
2H6_Lieutenant,other,other
2H6_QueenMargaret,other,other
2H6_Salisbury,other,other
2H6_Saye,other,other
2H6_Suffolk,other,other
2H6_Warwick,other,protag
2H6_York,other,other
2H6_YoungClifford,other,protag
3H6_Clarence,other,antag
3H6_Clifford,other,protag
3H6_EdwardIV,other,protag
3H6_HenryVI,other,protag
3H6_KingLewis,other,antag
3H6_Oxford,other,other
3H6_PrinceEdward,other,antag
3H6_QueenElizabeth,other,protag
3H6_QueenMargaret,other,protag
3H6_RichardIII,other,protag
3H6_Somerset,other,other
3H6_Warwick,other,other
3H6_York,other,protag
AWW_Bertram,antag,other
AWW_Countess,other,other
AWW_Diana,other,other
AWW_Fool,fool,fool
AWW_Helen,protag,other
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,antag
AWW_LORDS.DUMAINE.2,other,fool
AWW_Lafew,other,other
AWW_Parolles,other,antag
AWW_SOLDIERS.Interpreter,other,antag
AWW_Steward,other,protag
AWW_Widow,other,other
AYL_Adam,other,other
AYL_Celia,other,antag
AYL_Charles,other,fool
AYL_Corin,other,antag
AYL_DukeFrederick,antag,protag
AYL_DukeSenior,other,antag
AYL_Jaques,other,other
AYL_LORDS.FREDERICK.LeBeau,other,other
AYL_LORDS.SENIOR.0.1,other,other
AYL_LORDS.SENIOR.Amiens,other,other
AYL_Oliver,other,antag
AYL_Orlando,other,protag
AYL_Phoebe,other,protag
AYL_Rosalind,protag,protag
AYL_Silvius,other,protag
AYL_Touchstone,other,protag
Ado_Beatrice,protag,other
Ado_Benedick,other,other
Ado_Borachio,other,other
Ado_Claudio,other,other
Ado_Dogberry,fool,fool
Ado_DonJohn,antag,fool
Ado_DonPedro,other,other
Ado_FriarFrancis,other,other
Ado_Hero,other,protag
Ado_Leonato,other,protag
Ado_LeonatosBrother,other,antag
Ado_Margaret,other,other
Ado_Ursula,other,other
Ant_Agrippa,other,other
Ant_Antony,protag,protag
Ant_Charmian,other,other
Ant_Cleopatra,other,other
Ant_Countryman,other,fool
Ant_Dolabella,other,other
Ant_Enobarbus,other,other
Ant_Eros,other,other
Ant_Lepidus,other,other
Ant_Maecenas,other,other
Ant_Menas,other,protag
Ant_Octavius,antag,other
Ant_Pompey,other,antag
Ant_Scarus,other,other
Cor_Aufidius,other,other
Cor_CITIZENS.ROMAN.0.1,other,other
Cor_CITIZENS.ROMAN.0.2,other,other
Cor_CITIZENS.ROMAN.3,other,antag
Cor_Cominius,other,other
Cor_Coriolanus,protag,protag
Cor_Lartius,other,other
Cor_Menenius,other,other
Cor_SENATORS.ROMAN.0.1,other,other
Cor_SERVANTS.2,other,fool
Cor_SERVANTS.3,other,other
Cor_TRIBUNES.Brutus,antag,other
Cor_TRIBUNES.Sicinius,other,antag
Cor_Valeria,other,other
Cor_Volumnia,other,protag
Cor_WATCHMEN.1,other,fool
Cym_ATTENDANTS.1,other,other
Cym_ATTENDANTS.CLOTEN.2,other,antag
Cym_Arviragus,other,protag
Cym_Belarius,other,other
Cym_Cloten,fool,antag
Cym_Cornelius,other,antag
Cym_Cymbeline,other,antag
Cym_Guiderius,other,fool
Cym_Iachimo,antag,other
Cym_Imogen,protag,fool
Cym_JAILERS.1,other,fool
Cym_Lucius,other,other
Cym_Philario,other,antag
Cym_Pisanio,other,other
Cym_Posthumus,other,other
Cym_Queen,other,antag
Cym_Soothsayer,other,antag
Err_Abbess,other,other
Err_Adriana,other,other
Err_Angelo,other,antag
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_Courtesan,other,fool
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
Err_Duke,other,protag
Err_Egeon,other,protag
Err_Luciana,other,other
Err_Merchant2,other,protag
H5_BishopOfCanterbury,other,other
H5_Boy,other,other
H5_Burgundy,other,other
H5_Chorus,other,other
H5_Constable,other,antag
H5_Dauphin,antag,other
H5_Exeter,other,other
H5_Fluellen,other,other
H5_Gower,other,antag
H5_HenryV,protag,protag
H5_Katherine,other,antag
H5_KingOfFrance,other,antag
H5_MistressQuickly,other,other
H5_Montjoy,other,other
H5_Nym,other,fool
H5_Orleans,other,antag
H5_Pistol,other,protag
H5_SOLDIERS.ENGLISH.Williams,other,protag
H8_Anne,other,other
H8_Buckingham,other,other
H8_Campeius,other,other
H8_Chamberlain,other,other
H8_Cranmer,other,other
H8_Cromwell,other,fool
H8_GENTLEMEN.1,other,other
H8_GENTLEMEN.2,other,fool
H8_GENTLEMEN.3,other,other
H8_Gardiner,other,antag
H8_Griffith,other,other
H8_HenryVIII,protag,antag
H8_Katherine,other,other
H8_Lovell,other,other
H8_Norfolk,other,antag
H8_OldLady,other,other
H8_Porter,other,other
H8_Prologue,other,other
H8_SERVANTS.PORTER.1,other,fool
H8_Sands,other,fool
H8_Suffolk,other,other
H8_Surrey,other,antag
H8_Surveyor,other,other
H8_Wolsey,antag,other
Ham_Claudius,antag,other
