character,actual,predicted
1H4_Falstaff,fool,protag
1H4_HenryIV,other,antag
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_Worcester,other,antag
1H6_Charles,antag,antag
1H6_Gloucester,other,protag
1H6_HenryVI,protag,antag
1H6_Pucelle,other,protag
1H6_Suffolk,other,antag
1H6_Talbot,other,other
1H6_York,other,protag
2H4_Archbishop,other,antag
2H4_ChiefJustice,antag,antag
2H4_Falstaff,fool,other
2H4_HenryIV,other,protag
2H4_HenryV,protag,other
2H4_MistressQuickly,other,fool
2H4_Shallow,other,fool
2H6_Cade,other,protag
2H6_Gloucester,other,protag
2H6_HenryVI,other,protag
2H6_QueenMargaret,other,other
2H6_Suffolk,other,other
2H6_Warwick,other,protag
2H6_York,other,antag
3H6_Clifford,other,other
3H6_EdwardIV,other,protag
3H6_HenryVI,other,protag
3H6_QueenMargaret,other,protag
3H6_RichardIII,other,protag
3H6_Warwick,other,protag
3H6_York,other,protag
AWW_Bertram,antag,other
AWW_Countess,other,other
AWW_Diana,other,other
AWW_Fool,fool,fool
AWW_Helen,protag,other
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,antag
AWW_Lafew,other,fool
AWW_Parolles,other,antag
AYL_Celia,other,antag
AYL_Jaques,other,antag
AYL_Oliver,other,antag
AYL_Orlando,other,other
AYL_Rosalind,protag,antag
AYL_Touchstone,other,other
Ado_Beatrice,protag,other
Ado_Benedick,other,other
Ado_Claudio,other,other
Ado_Dogberry,fool,fool
Ado_DonPedro,other,other
Ado_Leonato,other,other
Ant_Antony,protag,protag
Ant_Cleopatra,other,other
Ant_Enobarbus,other,other
Ant_Octavius,antag,other
Cor_Aufidius,other,other
Cor_Cominius,other,antag
Cor_Coriolanus,protag,other
Cor_Menenius,other,antag
Cor_TRIBUNES.Brutus,antag,antag
Cor_TRIBUNES.Sicinius,other,antag
Cor_Volumnia,other,antag
Cym_Belarius,other,other
Cym_Cloten,fool,other
Cym_Cymbeline,other,protag
Cym_Guiderius,other,fool
Cym_Iachimo,antag,other
Cym_Imogen,protag,fool
Cym_Pisanio,other,other
Cym_Posthumus,other,antag
Cym_Queen,other,protag
Err_Adriana,other,other
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
Err_Egeon,other,protag
H5_BishopOfCanterbury,other,antag
H5_Chorus,other,antag
H5_Fluellen,other,antag
H5_HenryV,protag,antag
H5_Pistol,other,other
H8_Buckingham,other,other
H8_Chamberlain,other,other
H8_Cranmer,other,other
H8_HenryVIII,protag,antag
H8_Katherine,other,other
H8_Norfolk,other,antag
H8_Wolsey,antag,other
Ham_Claudius,antag,antag
Ham_Gertrude,other,other
Ham_Hamlet,protag,antag
Ham_Horatio,other,other
Ham_Laertes,other,other
Ham_Ophelia,other,other
Ham_Polonius,other,antag
JC_Antony,antag,antag
JC_Brutus,protag,protag
JC_Caesar,other,protag
JC_Casca,other,other
JC_Cassius,other,other
Jn_Bastard,other,other
Jn_Constance,other,protag
Jn_Dauphin,other,protag
Jn_Hubert,other,protag
Jn_KingJohn,protag,protag
Jn_KingPhilip,antag,other
Jn_Pandulph,other,protag
Jn_Salisbury,other,antag
LLL_Armado,other,other
LLL_Berowne,other,other
LLL_Boy,other,antag
LLL_Boyet,other,antag
LLL_Costard,fool,fool
LLL_Holofernes,other,antag
LLL_King,protag,antag
LLL_Princess,antag,antag
LLL_Rosaline,other,fool
Lr_Albany,other,antag
Lr_Edgar,other,other
Lr_Edmund,other,other
Lr_Fool,fool,protag
Lr_Gloucester,other,other
Lr_Goneril,antag,antag
Lr_Kent,other,other
Lr_Lear,protag,protag
Lr_Regan,other,other
MM_Angelo,antag,other
MM_Duke,protag,other
MM_Escalus,other,antag
MM_Isabella,other,other
MM_Lucio,other,other
MM_Pompey,fool,fool
MM_Provost,other,other
MND_Bottom,fool,fool
MND_Demetrius,other,protag
MND_Helena,other,antag
MND_Hermia,other,protag
MND_Lysander,other,protag
MND_Oberon,other,protag
MND_RobinGoodfellow,other,protag
MND_Theseus,other,antag
MND_Titania,other,protag
MV_Antonio,other,other
MV_Bassanio,other,other
MV_Gratiano,other,protag
MV_LanceletGobbo,fool,fool
MV_Lorenzo,other,antag
MV_Portia,protag,other
MV_Shylock,antag,protag
Mac_LadyMacbeth,other,antag
Mac_Macbeth,protag,protag
Mac_Macduff,other,other
Mac_Malcolm,other,other
Oth_Brabantio,other,antag
Oth_Cassio,other,protag
Oth_Desdemona,other,other
Oth_Emilia,other,fool
Oth_Iago,antag,other
Oth_Othello,protag,protag
Per_Gower,other,antag
Per_Marina,other,fool
Per_Pericles,protag,protag
Per_Simonides,other,antag
R2_Gaunt,other,protag
R2_HenryIV,antag,protag
R2_Mowbray,other,protag
R2_Northumberland,other,other
R2_RichardII,protag,protag
R2_York,other,other
R3_Buckingham,other,antag
R3_Clarence,other,other
R3_DuchessOfYork,other,protag
R3_Hastings,other,other
R3_HenryVII,other,antag
R3_LadyAnne,other,other
R3_QueenElizabeth,other,protag
R3_QueenMargaret,other,protag
R3_RichardIII,protag,protag
Rom_Benvolio,other,other
Rom_Capulet,other,protag
Rom_FriarLawrence,other,other
Rom_Juliet,other,protag
Rom_Mercutio,other,protag
Rom_Nurse,other,other
Rom_Romeo,protag,protag
Shr_Baptista,other,other
Shr_Gremio,other,fool
Shr_Grumio,fool,fool
Shr_Hortensio,other,antag
Shr_Katherine,other,other
Shr_Lord,other,other
Shr_Lucentio,other,protag
Shr_Petruchio,protag,other
Shr_Tranio,other,fool
TGV_Duke,other,protag
TGV_Julia,other,protag
TGV_Lance,fool,fool
TGV_Proteus,antag,protag
TGV_Speed,fool,fool
TGV_Sylvia,other,fool
TGV_Valentine,protag,protag
TN_AndrewAguecheek,other,fool
TN_Feste,fool,fool
TN_Malvolio,antag,protag
TN_Maria,other,fool
TN_Olivia,other,protag
TN_Orsino,other,protag
TN_Sebastian,other,protag
TN_TobyBelch,other,other
TN_Viola,protag,fool
TNK_Arcite,other,protag
TNK_Daughter,other,protag
TNK_Emilia,other,other
TNK_Palamon,other,protag
TNK_Theseus,protag,antag
Tim_Alcibiades,other,other
Tim_Apemantus,other,protag
Tim_Flavius,other,other
Tim_Timon,protag,protag
Tit_Aaron,antag,other
Tit_Lucius,other,other
Tit_Marcus,other,other
Tit_Saturninus,other,other
Tit_Tamora,other,other
Tit_Titus,protag,protag
Tmp_Ariel,other,protag
Tmp_Caliban,other,protag
Tmp_Gonzalo,other,antag
Tmp_Miranda,other,fool
Tmp_Prospero,protag,protag
Tmp_Stephano,other,protag
Tro_Achilles,other,protag
Tro_Aeneas,other,antag
Tro_Agamemnon,other,antag
Tro_Cressida,other,protag
Tro_Hector,other,protag
Tro_Nestor,other,antag
Tro_Pandarus,other,antag
Tro_Thersites,fool,antag
Tro_Troilus,protag,protag
Tro_Ulysses,other,antag
WT_Autolycus,fool,fool
WT_Camillo,other,antag
WT_Florizell,other,protag
WT_Hermione,other,protag
WT_Leontes,protag,other
WT_Paulina,other,antag
WT_Polixenes,antag,protag
WT_Shepherd,other,other
WT_ShepherdsSon,other,protag
Wiv_Falstaff,antag,protag
Wiv_HughEvans,other,antag
Wiv_MasterFord,other,fool
Wiv_MasterPage,other,fool
Wiv_MistressFord,other,other
Wiv_MistressPage,protag,antag
Wiv_MistressQuickly,other,fool
Wiv_Slender,other,fool
