character,actual,predicted
1H4_Archbishop,other,other
1H4_Bardolph,other,other
1H4_Blunt,other,other
1H4_Chamberlain,other,other
1H4_Douglas,other,other
1H4_Falstaff,fool,protag
1H4_Gadshill,other,other
1H4_Glendower,other,other
1H4_HenryIV,other,other
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_LadyPercy,other,other
1H4_MistressQuickly,other,other
1H4_Mortimer,other,other
1H4_Northumberland,other,other
1H4_Poins,other,other
1H4_TRAVELERS.CARRIERS.1,other,other
1H4_TRAVELERS.CARRIERS.2,other,other
1H4_Vernon,other,other
1H4_Westmoreland,other,other
1H4_Worcester,other,other
1H6_Alanson,other,other
1H6_Basset,other,other
1H6_Bastard,other,other
1H6_Bedford,other,other
1H6_Burgundy,other,other
1H6_CardinalBeaufort,other,other
1H6_Charles,antag,protag
1H6_Countess,other,other
1H6_Exeter,other,other
1H6_General,other,other
1H6_Gloucester,other,other
1H6_HenryVI,protag,other
1H6_JohnTalbot,other,fool
1H6_Lucy,other,other
1H6_MESSENGERS.ENGLISH.1,other,other
1H6_MESSENGERS.ENGLISH.3,other,other
1H6_MESSENGERS.FRENCH.1,other,other
1H6_MasterGunner,other,other
1H6_Mayor,other,other
1H6_Mortimer,other,other
1H6_Pucelle,other,other
1H6_QueenMargaret,other,other
1H6_Reignier,other,other
1H6_Salisbury,other,other
1H6_Shepherd,other,other
1H6_Somerset,other,other
1H6_Suffolk,other,other
1H6_Talbot,other,other
1H6_Vernon,other,other
1H6_Warwick,other,other
1H6_York,other,other
2H4_Archbishop,other,other
2H4_Bardolph,other,other
2H4_Bedford,other,other
2H4_Bullcalf,other,other
2H4_ChiefJustice,antag,other
2H4_Chorus,other,other
2H4_Clarence,other,other
2H4_Davy,other,other
2H4_DollTearsheet,other,protag
2H4_Epilogue,other,other
2H4_Falstaff,fool,antag
2H4_Gloucester,other,other
2H4_Hastings,other,other
2H4_HenryIV,other,other
2H4_HenryV,protag,protag
2H4_LadyPercy,other,other
2H4_LordBardolph,other,other
2H4_MistressQuickly,other,other
2H4_Morton,other,other
2H4_Mowbray,other,other
2H4_Northumberland,other,other
2H4_Pistol,other,other
2H4_Poins,other,other
2H4_SERVANTS.FALSTAFF.1,other,other
2H4_Shallow,other,other
2H4_Silence,other,other
2H4_Travers,other,other
2H4_Warwick,other,other
2H4_Westmoreland,other,other
2H6_Bevis,other,other
2H6_Bolingbroke,other,other
2H6_Buckingham,other,other
2H6_Cade,other,protag
2H6_CardinalBeaufort,other,other
2H6_Clifford,other,other
2H6_Dick,other,other
2H6_DuchessOfGloucester,other,protag
2H6_Gloucester,other,other
2H6_HenryVI,other,other
2H6_Holland,other,other
2H6_Horner,other,other
2H6_Hume,other,other
2H6_Iden,other,protag
2H6_Lieutenant,other,other
2H6_QueenMargaret,other,other
2H6_RichardIII,other,other
2H6_Salisbury,other,other
2H6_Saye,other,other
2H6_Simpcox,other,other
2H6_Smith,other,other
2H6_Somerset,other,other
2H6_Stafford,other,other
2H6_Suffolk,other,other
2H6_Thump,other,other
2H6_Warwick,other,other
2H6_Whitmore,other,other
2H6_York,other,other
2H6_YoungClifford,other,other
3H6_Clarence,other,other
3H6_Clifford,other,other
3H6_EdwardIV,other,other
3H6_Exeter,other,other
3H6_Father,other,other
3H6_GAMEKEEPERS.1,other,other
3H6_GAMEKEEPERS.2,other,other
3H6_Hastings,other,other
3H6_HenryVI,other,protag
3H6_KingLewis,other,other
3H6_MESSENGERS.Post,other,other
3H6_MESSENGERS.X.2,other,other
3H6_Montague,other,other
3H6_Montgomery,other,other
3H6_Northumberland,other,other
3H6_Oxford,other,other
3H6_PrinceEdward,other,other
3H6_QueenElizabeth,other,other
3H6_QueenMargaret,other,other
3H6_RichardIII,other,other
3H6_Rutland,other,other
3H6_Somerset,other,other
3H6_Son,other,other
3H6_Warwick,other,other
3H6_York,other,protag
AWW_Bertram,antag,other
AWW_Countess,other,other
AWW_Diana,other,other
AWW_Duke,other,other
AWW_Fool,fool,other
AWW_GENTLEMEN.3,other,other
AWW_Helen,protag,other
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,other
AWW_LORDS.DUMAINE.2,other,other
AWW_Lafew,other,fool
AWW_Mariana,other,other
AWW_Parolles,other,other
AWW_SOLDIERS.Interpreter,other,other
AWW_Steward,other,other
AWW_Widow,other,other
AYL_Adam,other,other
AYL_Audrey,other,other
AYL_Celia,other,other
AYL_Charles,other,other
AYL_Corin,other,other
AYL_DukeFrederick,antag,other
AYL_DukeSenior,other,other
AYL_Hymen,other,other
AYL_Jaques,other,other
AYL_LORDS.FREDERICK.LeBeau,other,other
AYL_LORDS.SENIOR.0.1,other,other
AYL_LORDS.SENIOR.Amiens,other,other
AYL_Oliver,other,other
AYL_Orlando,other,protag
AYL_Phoebe,other,protag
AYL_Rosalind,protag,fool
