character,actual,predicted
1H4_Archbishop,other,protag
1H4_Bardolph,other,protag
1H4_Blunt,other,antag
1H4_Chamberlain,other,fool
1H4_Douglas,other,protag
1H4_Falstaff,fool,protag
1H4_Gadshill,other,fool
1H4_Glendower,other,antag
1H4_HenryIV,other,other
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_LadyPercy,other,protag
1H4_MistressQuickly,other,other
1H4_Mortimer,other,antag
1H4_Northumberland,other,other
1H4_Poins,other,other
1H4_TRAVELERS.CARRIERS.1,other,fool
1H4_TRAVELERS.CARRIERS.2,other,other
1H4_Vernon,other,other
1H4_Westmoreland,other,other
1H4_Worcester,other,antag
1H6_Alanson,other,other
1H6_Basset,other,antag
1H6_Bastard,other,other
1H6_Bedford,other,other
1H6_Burgundy,other,other
1H6_CardinalBeaufort,other,antag
1H6_Charles,antag,protag
1H6_Countess,other,protag
1H6_Exeter,other,other
1H6_General,other,protag
1H6_Gloucester,other,antag
1H6_HenryVI,protag,antag
1H6_JohnTalbot,other,fool
1H6_Lucy,other,other
1H6_MESSENGERS.ENGLISH.1,other,other
1H6_MESSENGERS.ENGLISH.3,other,other
1H6_MESSENGERS.FRENCH.1,other,other
1H6_MasterGunner,other,protag
1H6_Mayor,other,antag
1H6_Mortimer,other,protag
1H6_Pucelle,other,protag
1H6_QueenMargaret,other,fool
1H6_Reignier,other,other
1H6_Salisbury,other,protag
1H6_Shepherd,other,protag
1H6_Somerset,other,protag
1H6_Suffolk,other,other
1H6_Talbot,other,protag
1H6_Vernon,other,fool
1H6_Warwick,other,antag
1H6_York,other,other
2H4_Archbishop,other,other
2H4_Bardolph,other,fool
2H4_Bedford,other,other
2H4_Bullcalf,other,fool
2H4_ChiefJustice,antag,antag
2H4_Chorus,other,other
2H4_Clarence,other,other
2H4_Davy,other,antag
2H4_DollTearsheet,other,fool
2H4_Epilogue,other,protag
2H4_Falstaff,fool,fool
2H4_Gloucester,other,other
2H4_Hastings,other,other
2H4_HenryIV,other,protag
2H4_HenryV,protag,protag
2H4_LadyPercy,other,other
2H4_LordBardolph,other,other
2H4_MistressQuickly,other,fool
2H4_Morton,other,other
2H4_Mowbray,other,antag
2H4_Northumberland,other,protag
2H4_Pistol,other,other
2H4_Poins,other,fool
2H4_SERVANTS.FALSTAFF.1,other,other
2H4_Shallow,other,other
2H4_Silence,other,other
2H4_Travers,other,other
2H4_Warwick,other,other
2H4_Westmoreland,other,other
2H6_Bevis,other,other
2H6_Bolingbroke,other,antag
2H6_Buckingham,other,other
2H6_Cade,other,protag
2H6_CardinalBeaufort,other,other
2H6_Clifford,other,other
2H6_Dick,other,other
2H6_DuchessOfGloucester,other,protag
2H6_Gloucester,other,protag
2H6_HenryVI,other,other
2H6_Holland,other,other
2H6_Horner,other,fool
2H6_Hume,other,other
2H6_Iden,other,protag
2H6_Lieutenant,other,other
2H6_QueenMargaret,other,other
2H6_RichardIII,other,other
2H6_Salisbury,other,other
2H6_Saye,other,other
2H6_Simpcox,other,fool
2H6_Smith,other,other
2H6_Somerset,other,other
2H6_Stafford,other,other
2H6_Suffolk,other,other
2H6_Thump,other,fool
2H6_Warwick,other,protag
2H6_Whitmore,other,protag
2H6_York,other,other
2H6_YoungClifford,other,protag
3H6_Clarence,other,antag
3H6_Clifford,other,protag
3H6_EdwardIV,other,protag
3H6_Exeter,other,other
3H6_Father,other,protag
3H6_GAMEKEEPERS.1,other,other
3H6_GAMEKEEPERS.2,other,other
3H6_Hastings,other,other
3H6_HenryVI,other,protag
3H6_KingLewis,other,antag
3H6_MESSENGERS.Post,other,other
3H6_MESSENGERS.X.2,other,other
3H6_Montague,other,protag
3H6_Montgomery,other,protag
3H6_Northumberland,other,other
3H6_Oxford,other,other
3H6_PrinceEdward,other,protag
3H6_QueenElizabeth,other,protag
3H6_QueenMargaret,other,protag
3H6_RichardIII,other,protag
3H6_Rutland,other,other
3H6_Somerset,other,other
3H6_Son,other,fool
3H6_Warwick,other,other
3H6_York,other,protag
AWW_Bertram,antag,fool
AWW_Countess,other,antag
AWW_Diana,other,fool
AWW_Duke,other,antag
AWW_Fool,fool,fool
AWW_GENTLEMEN.3,other,fool
AWW_Helen,protag,antag
AWW_King,other,antag
AWW_LORDS.DUMAINE.1,other,other
AWW_LORDS.DUMAINE.2,other,fool
AWW_Lafew,other,fool
AWW_Mariana,other,other
AWW_Parolles,other,antag
AWW_SOLDIERS.Interpreter,other,antag
AWW_Steward,other,fool
AWW_Widow,other,fool
AYL_Adam,other,fool
AYL_Audrey,other,other
AYL_Celia,other,other
AYL_Charles,other,fool
AYL_Corin,other,fool
AYL_DukeFrederick,antag,protag
AYL_DukeSenior,other,antag
AYL_Hymen,other,other
AYL_Jaques,other,other
AYL_LORDS.FREDERICK.LeBeau,other,other
AYL_LORDS.SENIOR.0.1,other,other
AYL_LORDS.SENIOR.Amiens,other,fool
AYL_Oliver,other,antag
AYL_Orlando,other,protag
AYL_Phoebe,other,protag
AYL_Rosalind,protag,fool
AYL_SERVANTS.1,other,other
AYL_SERVANTS.2,other,other
AYL_SecondBrother,other,other
AYL_Silvius,other,protag
AYL_Touchstone,other,protag
Ado_Balthasar,other,fool
Ado_Beatrice,protag,fool
Ado_Benedick,other,fool
Ado_Borachio,other,other
Ado_Claudio,other,other
Ado_Conrade,other,fool
Ado_Dogberry,fool,antag
Ado_DonJohn,antag,fool
Ado_DonPedro,other,other
Ado_FriarFrancis,other,antag
Ado_Hero,other,protag
Ado_Leonato,other,protag
Ado_LeonatosBrother,other,antag
Ado_MESSENGERS.LEONATO.1,other,other
Ado_Margaret,other,fool
Ado_Sexton,other,fool
Ado_Ursula,other,other
Ado_Verges,other,fool
Ado_WATCHMEN.1,other,other
Ado_WATCHMEN.Seacoal,other,other
Ant_Agrippa,other,other
Ant_Alexas,other,other
Ant_Ambassador,other,other
Ant_Antony,protag,protag
Ant_Canidius,other,other
Ant_Charmian,other,other
Ant_Cleopatra,other,protag
Ant_Countryman,other,fool
Ant_Diomedes,other,other
Ant_Dolabella,other,fool
Ant_Enobarbus,other,other
Ant_Eros,other,other
Ant_GUARDS.Dercetus,other,other
Ant_Iras,other,other
Ant_Lepidus,other,antag
Ant_MESSENGERS.X.2,other,fool
Ant_Maecenas,other,other
Ant_Mardian,other,antag
Ant_Menas,other,protag
Ant_Octavia,other,other
Ant_Octavius,antag,antag
Ant_Philo,other,antag
Ant_Pompey,other,antag
Ant_Proculeius,other,other
Ant_Scarus,other,other
Ant_Soothsayer,other,antag
Ant_Thidias,other,fool
Ant_Ventidius,other,other
Cor_Adrian,other,antag
Cor_Aufidius,other,protag
Cor_CITIZENS.ROMAN,other,other
Cor_CITIZENS.ROMAN.0.1,other,other
Cor_CITIZENS.ROMAN.0.2,other,other
Cor_CITIZENS.ROMAN.0.3,other,other
Cor_CITIZENS.ROMAN.2,other,antag
Cor_CITIZENS.ROMAN.3,other,other
Cor_Cominius,other,other
Cor_Coriolanus,protag,protag
Cor_LORDS.VOLSCIAN.0.1,other,other
Cor_Lartius,other,other
Cor_MESSENGERS.TRIBUNES.1,other,other
Cor_MESSENGERS.TRIBUNES.2,other,other
Cor_Menenius,other,other
Cor_Nicanor,other,fool
Cor_OFFICERS.1,other,other
Cor_OFFICERS.2,other,other
Cor_SENATORS.ROMAN.0.1,other,other
Cor_SENATORS.VOLSCIAN.0.1,other,protag
Cor_SERVANTS.1,other,fool
Cor_SERVANTS.2,other,fool
Cor_SERVANTS.3,other,other
Cor_TRIBUNES.Brutus,antag,other
Cor_TRIBUNES.Sicinius,other,other
Cor_Valeria,other,other
Cor_Virgilia,other,fool
Cor_Volumnia,other,protag
Cor_WATCHMEN.1,other,fool
Cym_ATTENDANTS.0.2,other,other
Cym_ATTENDANTS.1,other,other
Cym_ATTENDANTS.CLOTEN.1,other,fool
Cym_ATTENDANTS.CLOTEN.2,other,antag
Cym_Arviragus,other,protag
Cym_Belarius,other,other
Cym_Cloten,fool,fool
Cym_Cornelius,other,antag
Cym_Cymbeline,other,antag
Cym_Frenchman,other,protag
Cym_GHOSTS.Father,other,other
Cym_Guiderius,other,other
Cym_Iachimo,antag,antag
Cym_Imogen,protag,fool
Cym_JAILERS.1,other,fool
Cym_Jupiter,other,other
Cym_Lucius,other,other
Cym_Philario,other,antag
Cym_Pisanio,other,fool
Cym_Posthumus,other,protag
Cym_Queen,other,antag
Cym_SENATORS.1,other,antag
Cym_Soothsayer,other,antag
Err_Abbess,other,other
Err_Adriana,other,other
Err_Angelo,other,antag
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_Balthasar,other,antag
Err_Courtesan,other,other
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
Err_Duke,other,protag
Err_Egeon,other,protag
Err_Luciana,other,other
Err_Merchant1,other,protag
Err_Merchant2,other,antag
Err_Messenger,other,other
Err_Pinch,other,other
H5_AMBASSADORS.0.1,other,antag
H5_Alice,other,other
H5_Bardolph,other,other
H5_BishopOfCanterbury,other,other
H5_BishopOfEly,other,other
H5_Boy,other,other
H5_Burgundy,other,other
H5_Cambridge,other,antag
H5_Chorus,other,other
H5_Constable,other,antag
H5_Dauphin,antag,other
H5_Exeter,other,other
H5_Fluellen,other,fool
H5_Gower,other,antag
H5_Grandpre,other,other
H5_HenryV,protag,antag
H5_Katherine,other,other
H5_KingOfFrance,other,antag
H5_MacMorris,other,antag
H5_MistressQuickly,other,other
H5_Montjoy,other,other
H5_Nym,other,fool
H5_Orleans,other,antag
H5_Pistol,other,protag
H5_QueenOfFrance,other,antag
H5_SOLDIERS.ENGLISH.Bates,other,other
H5_SOLDIERS.ENGLISH.Williams,other,fool
H5_Westmoreland,other,other
H8_Abergavenny,other,antag
H8_Anne,other,other
H8_Buckingham,other,other
H8_Campeius,other,other
H8_Chamberlain,other,other
H8_Chancellor,other,antag
H8_Cranmer,other,antag
H8_Cromwell,other,other
H8_Epilogue,other,other
H8_GENTLEMEN.1,other,other
H8_GENTLEMEN.2,other,other
H8_GENTLEMEN.3,other,other
H8_Gardiner,other,antag
H8_Griffith,other,other
H8_HenryVIII,protag,antag
H8_Katherine,other,antag
H8_Lovell,other,other
H8_Norfolk,other,antag
H8_OldLady,other,antag
H8_Porter,other,other
H8_Prologue,other,other
H8_SERVANTS.PORTER.1,other,other
H8_Sands,other,fool
H8_Suffolk,other,other
H8_Surrey,other,antag
H8_Surveyor,other,other
H8_Wolsey,antag,other
Ham_Barnardo,other,fool
Ham_Claudius,antag,antag
Ham_Fortinbras,other,antag
Ham_Gertrude,other,other
Ham_Ghost,other,antag
Ham_Gravedigger,fool,other
Ham_Guildenstern,other,other
Ham_Hamlet,protag,antag
Ham_Horatio,other,other
Ham_Laertes,other,protag
Ham_Marcellus,other,antag
Ham_Ophelia,other,other
Ham_Osric,other,other
Ham_PLAYERS.1,other,other
Ham_PLAYERS.King,other,protag
Ham_PLAYERS.Queen,other,protag
Ham_Polonius,other,other
Ham_Rosencrantz,other,antag
Ham_Voltemand,other,other
JC_Antony,antag,other
JC_Artemidorus,other,protag
JC_Brutus,protag,protag
JC_COMMONERS.Cobbler,other,fool
JC_Caesar,other,other
JC_Calphurnia,other,other
JC_Casca,other,other
