character,actual,predicted
1H4_Falstaff,fool,other
1H4_HenryIV,other,other
1H4_HenryV,protag,other
1H4_Hotspur,antag,other
1H4_Worcester,other,other
1H6_Charles,antag,protag
1H6_Gloucester,other,other
1H6_HenryVI,protag,antag
1H6_Pucelle,other,other
1H6_Suffolk,other,other
1H6_Talbot,other,other
1H6_York,other,other
2H4_Archbishop,other,other
2H4_ChiefJustice,antag,antag
2H4_Falstaff,fool,antag
2H4_HenryIV,other,other
2H4_HenryV,protag,protag
2H4_MistressQuickly,other,fool
2H4_Shallow,other,other
2H6_Cade,other,protag
2H6_Gloucester,other,other
2H6_HenryVI,other,other
2H6_QueenMargaret,other,other
2H6_Suffolk,other,other
2H6_Warwick,other,other
2H6_York,other,other
3H6_Clifford,other,other
3H6_EdwardIV,other,other
3H6_HenryVI,other,other
3H6_QueenMargaret,other,other
3H6_RichardIII,other,other
3H6_Warwick,other,other
3H6_York,other,protag
AWW_Bertram,antag,fool
AWW_Countess,other,antag
AWW_Diana,other,other
AWW_Fool,fool,other
AWW_Helen,protag,other
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,other
AWW_Lafew,other,fool
AWW_Parolles,other,other
AYL_Celia,other,antag
AYL_Jaques,other,other
AYL_Oliver,other,other
AYL_Orlando,other,protag
AYL_Rosalind,protag,fool
AYL_Touchstone,other,protag
Ado_Beatrice,protag,other
Ado_Benedick,other,fool
Ado_Claudio,other,other
Ado_Dogberry,fool,antag
Ado_DonPedro,other,other
Ado_Leonato,other,fool
Ant_Antony,protag,other
Ant_Cleopatra,other,other
Ant_Enobarbus,other,other
Ant_Octavius,antag,antag
Cor_Aufidius,other,other
Cor_Cominius,other,other
Cor_Coriolanus,protag,protag
Cor_Menenius,other,antag
Cor_TRIBUNES.Brutus,antag,other
Cor_TRIBUNES.Sicinius,other,other
Cor_Volumnia,other,protag
Cym_Belarius,other,other
Cym_Cloten,fool,fool
Cym_Cymbeline,other,protag
Cym_Guiderius,other,other
Cym_Iachimo,antag,antag
Cym_Imogen,protag,other
Cym_Pisanio,other,other
Cym_Posthumus,other,protag
Cym_Queen,other,antag
Err_Adriana,other,other
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
Err_Egeon,other,other
H5_BishopOfCanterbury,other,other
H5_Chorus,other,other
H5_Fluellen,other,antag
H5_HenryV,protag,other
H5_Pistol,other,other
H8_Buckingham,other,other
H8_Chamberlain,other,other
H8_Cranmer,other,antag
H8_HenryVIII,protag,antag
H8_Katherine,other,other
H8_Norfolk,other,other
H8_Wolsey,antag,other
Ham_Claudius,antag,other
Ham_Gertrude,other,other
Ham_Hamlet,protag,antag
Ham_Horatio,other,other
Ham_Laertes,other,other
Ham_Ophelia,other,other
Ham_Polonius,other,other
JC_Antony,antag,other
JC_Brutus,protag,protag
JC_Caesar,other,other
JC_Casca,other,other
JC_Cassius,other,protag
Jn_Bastard,other,other
Jn_Constance,other,other
Jn_Dauphin,other,other
Jn_Hubert,other,other
Jn_KingJohn,protag,other
Jn_KingPhilip,antag,other
Jn_Pandulph,other,antag
Jn_Salisbury,other,other
LLL_Armado,other,antag
LLL_Berowne,other,other
LLL_Boy,other,antag
LLL_Boyet,other,other
LLL_Costard,fool,fool
LLL_Holofernes,other,antag
LLL_King,protag,protag
LLL_Princess,antag,other
LLL_Rosaline,other,fool
Lr_Albany,other,antag
Lr_Edgar,other,other
Lr_Edmund,other,protag
Lr_Fool,fool,other
Lr_Gloucester,other,other
Lr_Goneril,antag,fool
Lr_Kent,other,antag
Lr_Lear,protag,protag
Lr_Regan,other,antag
MM_Angelo,antag,antag
MM_Duke,protag,antag
MM_Escalus,other,antag
MM_Isabella,other,other
MM_Lucio,other,other
MM_Pompey,fool,antag
MM_Provost,other,other
MND_Bottom,fool,fool
MND_Demetrius,other,protag
MND_Helena,other,antag
MND_Hermia,other,fool
MND_Lysander,other,other
MND_Oberon,other,other
MND_RobinGoodfellow,other,other
MND_Theseus,other,other
MND_Titania,other,other
MV_Antonio,other,other
MV_Bassanio,other,protag
MV_Gratiano,other,other
MV_LanceletGobbo,fool,fool
MV_Lorenzo,other,other
MV_Portia,protag,other
MV_Shylock,antag,other
Mac_LadyMacbeth,other,other
Mac_Macbeth,protag,other
Mac_Macduff,other,other
Mac_Malcolm,other,other
Oth_Brabantio,other,antag
Oth_Cassio,other,antag
Oth_Desdemona,other,other
Oth_Emilia,other,other
Oth_Iago,antag,antag
Oth_Othello,protag,protag
Per_Gower,other,other
Per_Marina,other,fool
Per_Pericles,protag,protag
Per_Simonides,other,antag
R2_Gaunt,other,other
R2_HenryIV,antag,other
R2_Mowbray,other,other
R2_Northumberland,other,other
R2_RichardII,protag,other
R2_York,other,other
R3_Buckingham,other,other
R3_Clarence,other,other
R3_DuchessOfYork,other,other
