character,actual,predicted
1H4_Falstaff,fool,protag
1H4_HenryV,protag,protag
1H4_Hotspur,antag,protag
1H6_Charles,antag,protag
1H6_HenryVI,protag,antag
2H4_ChiefJustice,antag,antag
2H4_Falstaff,fool,antag
2H4_HenryV,protag,protag
AWW_Bertram,antag,antag
AWW_Fool,fool,fool
AWW_Helen,protag,antag
AYL_DukeFrederick,antag,protag
AYL_Rosalind,protag,fool
Ado_Beatrice,protag,fool
Ado_Dogberry,fool,antag
Ado_DonJohn,antag,fool
Ant_Antony,protag,protag
Ant_Octavius,antag,antag
Cor_Coriolanus,protag,protag
Cor_TRIBUNES.Brutus,antag,antag
Cym_Cloten,fool,fool
Cym_Iachimo,antag,antag
Cym_Imogen,protag,fool
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
H5_Dauphin,antag,antag
H5_HenryV,protag,protag
H8_HenryVIII,protag,antag
H8_Wolsey,antag,antag
Ham_Claudius,antag,antag
Ham_Gravedigger,fool,fool
Ham_Hamlet,protag,antag
JC_Antony,antag,antag
JC_Brutus,protag,protag
JC_PLEBEIANS,fool,antag
Jn_KingJohn,protag,protag
Jn_KingPhilip,antag,antag
LLL_Costard,fool,fool
LLL_King,protag,protag
LLL_Princess,antag,protag
Lr_Fool,fool,protag
Lr_Goneril,antag,antag
Lr_Lear,protag,protag
MM_Angelo,antag,antag
MM_Duke,protag,antag
MM_Pompey,fool,antag
MND_Bottom,fool,fool
MV_LanceletGobbo,fool,fool
MV_Portia,protag,antag
MV_Shylock,antag,protag
Mac_Macbeth,protag,protag
Mac_Porter,fool,antag
Oth_Clown,fool,antag
Oth_Iago,antag,antag
Oth_Othello,protag,protag
Per_Antiochus,antag,antag
Per_Pericles,protag,protag
R2_HenryIV,antag,protag
R2_RichardII,protag,protag
R3_RichardIII,protag,protag
Rom_Romeo,protag,protag
Rom_Tybalt,antag,protag
Shr_Grumio,fool,fool
Shr_Petruchio,protag,fool
TGV_Lance,fool,fool
TGV_Proteus,antag,antag
TGV_Speed,fool,fool
TGV_Valentine,protag,protag
TN_Feste,fool,fool
TN_Malvolio,antag,antag
TN_Viola,protag,antag
TNK_Theseus,protag,antag
Tim_Fool,fool,protag
Tim_Timon,protag,protag
Tit_Aaron,antag,protag
Tit_CountryFellow,fool,fool
Tit_Titus,protag,protag
Tmp_Antonio,antag,protag
Tmp_Prospero,protag,protag
Tro_Thersites,fool,protag
Tro_Troilus,protag,protag
WT_Autolycus,fool,antag
WT_Leontes,protag,protag
WT_Polixenes,antag,protag
Wiv_Falstaff,antag,fool
Wiv_MistressPage,protag,fool
