character,actual,predicted
1H4_Archbishop,other,other
1H4_Bardolph,other,other
1H4_Bedford,other,other
1H4_Blunt,other,other
1H4_Chamberlain,other,other
1H4_DRAWERS.Francis,other,other
1H4_Douglas,other,other
1H4_Falstaff,fool,protag
1H4_Gadshill,other,other
1H4_Glendower,other,other
1H4_HenryIV,other,other
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_LadyPercy,other,other
1H4_MESSENGERS.1,other,other
1H4_MESSENGERS.2,other,other
1H4_MESSENGERS.X,other,other
1H4_MistressQuickly,other,other
1H4_Mortimer,other,other
1H4_Northumberland,other,other
1H4_Ostler,other,other
1H4_Peto,other,other
1H4_Poins,other,other
1H4_SERVANTS.HOTSPUR.1,other,other
1H4_Sheriff,other,other
1H4_SirMichael,other,other
1H4_TRAVELERS.CARRIERS,other,other
1H4_TRAVELERS.CARRIERS.1,other,other
1H4_TRAVELERS.CARRIERS.2,other,other
1H4_TRAVELERS.CARRIERS.X,other,other
1H4_TRAVELERS.GENTLEMEN,other,other
1H4_TRAVELERS.GENTLEMEN.0.1,other,other
1H4_Vernon,other,other
1H4_Vintner,other,other
1H4_Westmoreland,other,other
1H4_Worcester,other,other
1H6_Alanson,other,other
1H6_Basset,other,other
1H6_Bastard,other,other
1H6_Bedford,other,other
1H6_Boy,other,other
1H6_Burgundy,other,other
1H6_CardinalBeaufort,other,other
1H6_Charles,antag,other
1H6_Countess,other,other
1H6_Exeter,other,other
1H6_Fastolf,other,other
1H6_Gargrave,other,other
1H6_General,other,other
1H6_Glansdale,other,other
1H6_Gloucester,other,other
1H6_HenryVI,protag,other
1H6_JAILERS.0.1,other,other
1H6_JohnTalbot,other,other
1H6_Lawyer,other,other
1H6_Legate,other,other
1H6_Lucy,other,other
1H6_MESSENGERS.ENGLISH.1,other,other
1H6_MESSENGERS.ENGLISH.2,other,other
1H6_MESSENGERS.ENGLISH.3,other,other
1H6_MESSENGERS.ENGLISH.X.1,other,other
1H6_MESSENGERS.ENGLISH.X.2,other,other
1H6_MESSENGERS.FRENCH.1,other,other
1H6_MasterGunner,other,other
1H6_Mayor,other,other
1H6_Mortimer,other,other
1H6_OFFICERS.0.1,other,other
1H6_Porter,other,other
1H6_Pucelle,other,other
1H6_QueenMargaret,other,other
1H6_Reignier,other,other
1H6_SERVANTS.1,other,other
1H6_SERVANTS.2,other,other
1H6_SERVANTS.3,other,other
1H6_SERVANTS.GLOUCESTER,other,other
1H6_SERVANTS.GLOUCESTER.0.1,other,other
1H6_SERVANTS.GLOUCESTER.0.2,other,other
1H6_SERVANTS.TALBOT.1,other,other
1H6_SERVANTS.WINCHESTER.0.1,other,other
1H6_SOLDIERS.ENGLISH.0.1,other,other
1H6_SOLDIERS.ENGLISH.1,other,other
1H6_SOLDIERS.ENGLISH.Captain,other,other
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,other,other
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,other,other
1H6_SOLDIERS.FRENCH.Scout,other,other
1H6_SOLDIERS.FRENCH.Sergeant,other,other
1H6_Salisbury,other,other
1H6_Shepherd,other,other
1H6_Somerset,other,other
1H6_Suffolk,other,other
1H6_Talbot,other,protag
1H6_Vernon,other,other
1H6_WARDERS.1,other,other
1H6_WARDERS.2,other,other
1H6_WATCHMEN.1,other,other
1H6_Warwick,other,other
1H6_Watchman,other,other
1H6_Woodville,other,other
1H6_York,other,other
2H4_Archbishop,other,other
2H4_BEADLES.0.1,other,other
2H4_Bardolph,other,other
2H4_Bedford,other,other
2H4_Bullcalf,other,other
2H4_ChiefJustice,antag,other
2H4_Chorus,other,other
2H4_Clarence,other,other
2H4_Colevile,other,other
2H4_DRAWERS.1,other,other
2H4_DRAWERS.Francis,other,other
2H4_DRAWERS.Will,other,other
2H4_DRAWERS.X,other,other
2H4_Davy,other,other
2H4_DollTearsheet,other,other
2H4_Epilogue,other,other
2H4_Falstaff,fool,antag
2H4_Feeble,other,other
2H4_GROOMS.1,other,other
2H4_GROOMS.2,other,other
2H4_Gloucester,other,other
2H4_Harcourt,other,other
2H4_Hastings,other,other
2H4_HenryIV,other,protag
2H4_HenryV,protag,other
2H4_LadyNorthumberland,other,other
2H4_LadyPercy,other,other
2H4_LordBardolph,other,other
2H4_MESSENGERS.1,other,other
2H4_MESSENGERS.Gower,other,other
2H4_MistressQuickly,other,fool
2H4_Morton,other,other
2H4_Mouldy,other,other
2H4_Mowbray,other,other
2H4_Northumberland,other,other
2H4_OFFICERS.Fang,other,other
2H4_OFFICERS.Snare,other,other
2H4_Peto,other,other
2H4_Pistol,other,other
2H4_Poins,other,fool
2H4_Porter,other,other
2H4_SERVANTS.CHIEFJUSTICE.1,other,other
2H4_SERVANTS.FALSTAFF.1,other,other
2H4_Shadow,other,other
2H4_Shallow,other,other
2H4_Silence,other,other
