character,actual,predicted
1H4_Archbishop,other,antag
1H4_Bardolph,other,protag
1H4_Bedford,other,other
1H4_Blunt,other,antag
1H4_Chamberlain,other,other
1H4_DRAWERS.Francis,other,fool
1H4_Douglas,other,antag
1H4_Falstaff,fool,protag
1H4_Gadshill,other,other
1H4_Glendower,other,other
1H4_HenryIV,other,antag
1H4_HenryV,protag,protag
1H4_Hotspur,antag,antag
1H4_LadyPercy,other,protag
1H4_MESSENGERS.1,other,other
1H4_MESSENGERS.2,other,other
1H4_MESSENGERS.X,other,other
1H4_MistressQuickly,other,protag
1H4_Mortimer,other,antag
1H4_Northumberland,other,antag
1H4_Ostler,other,other
1H4_Peto,other,fool
1H4_Poins,other,protag
1H4_SERVANTS.HOTSPUR.1,other,other
1H4_Sheriff,other,protag
1H4_SirMichael,other,other
1H4_TRAVELERS.CARRIERS,other,other
1H4_TRAVELERS.CARRIERS.1,other,fool
1H4_TRAVELERS.CARRIERS.2,other,other
1H4_TRAVELERS.CARRIERS.X,other,fool
1H4_TRAVELERS.GENTLEMEN,other,other
1H4_TRAVELERS.GENTLEMEN.0.1,other,other
1H4_Vernon,other,other
1H4_Vintner,other,antag
1H4_Westmoreland,other,other
1H4_Worcester,other,other
1H6_Alanson,other,other
1H6_Basset,other,other
1H6_Bastard,other,other
1H6_Bedford,other,other
1H6_Boy,other,fool
1H6_Burgundy,other,other
1H6_CardinalBeaufort,other,antag
1H6_Charles,antag,other
1H6_Countess,other,protag
1H6_Exeter,other,other
1H6_Fastolf,other,fool
1H6_Gargrave,other,other
1H6_General,other,protag
1H6_Glansdale,other,fool
1H6_Gloucester,other,protag
1H6_HenryVI,protag,other
1H6_JAILERS.0.1,other,antag
1H6_JohnTalbot,other,fool
1H6_Lawyer,other,protag
1H6_Legate,other,other
1H6_Lucy,other,other
1H6_MESSENGERS.ENGLISH.1,other,other
1H6_MESSENGERS.ENGLISH.2,other,antag
1H6_MESSENGERS.ENGLISH.3,other,antag
1H6_MESSENGERS.ENGLISH.X.1,other,other
1H6_MESSENGERS.ENGLISH.X.2,other,other
1H6_MESSENGERS.FRENCH.1,other,other
1H6_MasterGunner,other,protag
1H6_Mayor,other,other
1H6_Mortimer,other,antag
1H6_OFFICERS.0.1,other,other
1H6_Porter,other,fool
1H6_Pucelle,other,protag
1H6_QueenMargaret,other,fool
1H6_Reignier,other,other
1H6_SERVANTS.1,other,protag
1H6_SERVANTS.2,other,protag
1H6_SERVANTS.3,other,other
1H6_SERVANTS.GLOUCESTER,other,other
1H6_SERVANTS.GLOUCESTER.0.1,other,other
1H6_SERVANTS.GLOUCESTER.0.2,other,other
1H6_SERVANTS.TALBOT.1,other,other
1H6_SERVANTS.WINCHESTER.0.1,other,other
1H6_SOLDIERS.ENGLISH.0.1,other,other
1H6_SOLDIERS.ENGLISH.1,other,other
1H6_SOLDIERS.ENGLISH.Captain,other,other
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,other,other
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,other,other
1H6_SOLDIERS.FRENCH.Scout,other,antag
1H6_SOLDIERS.FRENCH.Sergeant,other,other
1H6_Salisbury,other,protag
1H6_Shepherd,other,protag
1H6_Somerset,other,other
1H6_Suffolk,other,antag
1H6_Talbot,other,protag
1H6_Vernon,other,fool
1H6_WARDERS.1,other,other
1H6_WARDERS.2,other,other
1H6_WATCHMEN.1,other,other
1H6_Warwick,other,antag
1H6_Watchman,other,other
1H6_Woodville,other,antag
1H6_York,other,protag
2H4_Archbishop,other,other
2H4_BEADLES.0.1,other,antag
2H4_Bardolph,other,other
2H4_Bedford,other,antag
2H4_Bullcalf,other,other
2H4_ChiefJustice,antag,other
2H4_Chorus,other,antag
2H4_Clarence,other,other
2H4_Colevile,other,fool
2H4_DRAWERS.1,other,antag
2H4_DRAWERS.Francis,other,protag
2H4_DRAWERS.Will,other,other
2H4_DRAWERS.X,other,other
2H4_Davy,other,other
2H4_DollTearsheet,other,protag
2H4_Epilogue,other,protag
2H4_Falstaff,fool,antag
2H4_Feeble,other,fool
2H4_GROOMS.1,other,other
2H4_GROOMS.2,other,protag
2H4_Gloucester,other,other
2H4_Harcourt,other,other
2H4_Hastings,other,other
2H4_HenryIV,other,protag
2H4_HenryV,protag,protag
2H4_LadyNorthumberland,other,other
2H4_LadyPercy,other,other
2H4_LordBardolph,other,other
2H4_MESSENGERS.1,other,other
2H4_MESSENGERS.Gower,other,fool
2H4_MistressQuickly,other,fool
2H4_Morton,other,other
2H4_Mouldy,other,fool
2H4_Mowbray,other,antag
2H4_Northumberland,other,protag
2H4_OFFICERS.Fang,other,fool
2H4_OFFICERS.Snare,other,antag
2H4_Peto,other,other
2H4_Pistol,other,protag
2H4_Poins,other,fool
2H4_Porter,other,other
2H4_SERVANTS.CHIEFJUSTICE.1,other,fool
2H4_SERVANTS.FALSTAFF.1,other,other
2H4_Shadow,other,fool
2H4_Shallow,other,other
2H4_Silence,other,other
2H4_Travers,other,other
2H4_Wart,other,other
2H4_Warwick,other,other
2H4_Westmoreland,other,other
2H6_Beadle,other,other
2H6_Bevis,other,other
2H6_Bolingbroke,other,antag
2H6_Buckingham,other,other
2H6_CITIZENS,other,other
2H6_CITIZENS.LONDON.0.1,other,other
2H6_CITIZENS.STALBANS.0.1,other,antag
2H6_Cade,other,protag
2H6_CardinalBeaufort,other,other
2H6_Clerk,other,fool
2H6_Clifford,other,protag
2H6_Dick,other,other
2H6_DuchessOfGloucester,other,protag
2H6_EdwardIV,other,other
2H6_FOLLOWERS.CADE,other,other
2H6_FOLLOWERS.CADE.0,other,other
2H6_GENTLEMEN.1,other,antag
2H6_GENTLEMEN.2,other,other
2H6_George,other,other
2H6_Gloucester,other,protag
2H6_HERALDS.X.1,other,other
2H6_HenryVI,other,other
2H6_Holland,other,other
2H6_Horner,other,fool
2H6_Hume,other,other
2H6_Iden,other,protag
2H6_Jourdain,other,fool
2H6_Lieutenant,other,other
2H6_MESSENGERS.1,other,other
2H6_MESSENGERS.2,other,other
2H6_MESSENGERS.Post,other,other
2H6_MESSENGERS.X.1,other,fool
2H6_MESSENGERS.X.2,other,antag
2H6_MESSENGERS.X.3,other,other
2H6_MURDERERS.0.1,other,other
2H6_MURDERERS.0.2,other,fool
2H6_Master,other,other
2H6_Mate,other,other
2H6_MayorOfStAlbans,other,other
2H6_Michael,other,other
2H6_NEIGHBORS.1,other,fool
2H6_NEIGHBORS.2,other,other
2H6_NEIGHBORS.3,other,antag
2H6_PETITIONERS,other,other
2H6_PETITIONERS.0.1,other,other
2H6_PETITIONERS.0.2,other,antag
2H6_PRENTICES.1,other,other
2H6_PRENTICES.2,other,other
2H6_QueenMargaret,other,other
2H6_RichardIII,other,antag
2H6_SERVANTS.GLOUCESTER.0.1,other,other
2H6_SOLDIERS.1,other,fool
2H6_Salisbury,other,other
2H6_Sawyer,other,other
2H6_Saye,other,other
2H6_Scales,other,protag
2H6_Sheriff,other,antag
2H6_Simpcox,other,fool
2H6_SimpcoxWife,other,other
2H6_Smith,other,other
2H6_Somerset,other,other
2H6_Spirit,other,fool
2H6_Stafford,other,other
2H6_Stanley,other,other
2H6_Suffolk,other,protag
2H6_Thump,other,fool
2H6_Vaux,other,antag
2H6_Warwick,other,antag
2H6_Whitmore,other,protag
2H6_WilliamStafford,other,other
2H6_York,other,antag
2H6_YoungClifford,other,protag
3H6_ALDERMEN,other,other
3H6_ATTENDANTS.EDWARD.1,other,other
3H6_Clarence,other,other
3H6_Clifford,other,protag
3H6_EdwardIV,other,other
3H6_Exeter,other,other
3H6_Father,other,protag
3H6_GAMEKEEPERS.1,other,other
3H6_GAMEKEEPERS.2,other,antag
3H6_Hastings,other,antag
3H6_HenryVI,other,protag
3H6_Huntsman,other,other
3H6_JohnMortimer,other,other
3H6_KingLewis,other,antag
3H6_LadyBona,other,protag
3H6_Lieutenant,other,other
3H6_MESSENGERS.1,other,antag
3H6_MESSENGERS.2,other,fool
3H6_MESSENGERS.Post,other,other
3H6_MESSENGERS.X.1,other,other
3H6_MESSENGERS.X.2,other,other
3H6_MESSENGERS.X.3,other,other
3H6_MESSENGERS.X.4,other,other
3H6_MESSENGERS.X.5,other,other
3H6_MayorOfYork,other,other
3H6_Montague,other,protag
3H6_Montgomery,other,protag
3H6_Norfolk,other,other
3H6_Northumberland,other,antag
3H6_Oxford,other,antag
3H6_PrinceEdward,other,protag
3H6_QueenElizabeth,other,fool
3H6_QueenMargaret,other,protag
3H6_RichardIII,other,protag
3H6_Rivers,other,antag
3H6_Rutland,other,protag
3H6_SOLDIERS.MONTGOMERY,other,other
3H6_SOLDIERS.YORK,other,other
3H6_SOLDIERS.YORK.0.1,other,other
3H6_Somerset,other,other
3H6_Somerville,other,antag
3H6_Son,other,fool
3H6_Tutor,other,antag
3H6_WATCHMEN.1,other,antag
3H6_WATCHMEN.2,other,other
3H6_WATCHMEN.3,other,antag
3H6_Warwick,other,antag
3H6_Westmorland,other,fool
3H6_York,other,protag
AWW_ATTENDANTS.KING.0.1,other,other
AWW_ATTENDANTS.KING.0.2,other,fool
AWW_Bertram,antag,fool
AWW_Countess,other,fool
AWW_Diana,other,fool
AWW_Duke,other,other
AWW_Epilogue,other,other
AWW_Fool,fool,fool
AWW_GENTLEMEN.1,other,fool
AWW_GENTLEMEN.2,other,other
AWW_GENTLEMEN.3,other,fool
AWW_Helen,protag,protag
AWW_King,other,protag
