character,actual,predicted
1H4_Falstaff,fool,protag
1H4_Glendower,other,antag
1H4_HenryIV,other,antag
1H4_HenryV,protag,protag
1H4_Hotspur,antag,antag
1H4_Poins,other,fool
1H4_Worcester,other,antag
1H6_Bedford,other,protag
1H6_CardinalBeaufort,other,antag
1H6_Charles,antag,protag
1H6_Gloucester,other,protag
1H6_HenryVI,protag,antag
1H6_Lucy,other,antag
1H6_Mortimer,other,protag
1H6_Pucelle,other,protag
1H6_Somerset,other,protag
1H6_Suffolk,other,antag
1H6_Talbot,other,protag
1H6_Warwick,other,antag
1H6_York,other,protag
2H4_Archbishop,other,antag
2H4_Bedford,other,antag
2H4_ChiefJustice,antag,antag
2H4_DollTearsheet,other,protag
2H4_Falstaff,fool,antag
2H4_HenryIV,other,protag
2H4_HenryV,protag,protag
2H4_LordBardolph,other,antag
2H4_MistressQuickly,other,fool
2H4_Morton,other,antag
2H4_Northumberland,other,protag
2H4_Pistol,other,protag
2H4_Shallow,other,fool
2H4_Warwick,other,other
2H4_Westmoreland,other,antag
2H6_Buckingham,other,antag
2H6_Cade,other,protag
2H6_CardinalBeaufort,other,other
2H6_DuchessOfGloucester,other,protag
2H6_Gloucester,other,protag
2H6_HenryVI,other,protag
2H6_QueenMargaret,other,other
2H6_Salisbury,other,other
2H6_Suffolk,other,protag
2H6_Warwick,other,antag
2H6_York,other,antag
3H6_Clarence,other,antag
3H6_Clifford,other,protag
3H6_EdwardIV,other,protag
3H6_HenryVI,other,protag
3H6_KingLewis,other,protag
3H6_QueenElizabeth,other,protag
3H6_QueenMargaret,other,protag
3H6_RichardIII,other,protag
3H6_Warwick,other,protag
3H6_York,other,protag
AWW_Bertram,antag,other
AWW_Countess,other,other
AWW_Diana,other,fool
AWW_Fool,fool,fool
AWW_Helen,protag,other
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,antag
AWW_LORDS.DUMAINE.2,other,antag
AWW_Lafew,other,fool
AWW_Parolles,other,antag
AWW_SOLDIERS.Interpreter,other,antag
AYL_Adam,other,fool
AYL_Celia,other,antag
AYL_Corin,other,fool
AYL_DukeFrederick,antag,protag
AYL_DukeSenior,other,antag
AYL_Jaques,other,antag
AYL_Oliver,other,antag
AYL_Orlando,other,protag
AYL_Phoebe,other,protag
AYL_Rosalind,protag,fool
AYL_Silvius,other,fool
AYL_Touchstone,other,antag
Ado_Beatrice,protag,antag
Ado_Benedick,other,fool
Ado_Borachio,other,other
Ado_Claudio,other,other
Ado_Dogberry,fool,fool
Ado_DonJohn,antag,fool
Ado_DonPedro,other,other
Ado_FriarFrancis,other,other
Ado_Hero,other,protag
Ado_Leonato,other,fool
Ado_Margaret,other,other
Ant_Antony,protag,protag
Ant_Charmian,other,other
Ant_Cleopatra,other,protag
Ant_Enobarbus,other,fool
Ant_Octavius,antag,antag
Ant_Pompey,other,fool
Cor_Aufidius,other,protag
Cor_Cominius,other,other
Cor_Coriolanus,protag,protag
Cor_Menenius,other,antag
Cor_TRIBUNES.Brutus,antag,antag
Cor_TRIBUNES.Sicinius,other,antag
Cor_Volumnia,other,protag
Cym_ATTENDANTS.1,other,antag
Cym_Arviragus,other,fool
Cym_Belarius,other,other
Cym_Cloten,fool,antag
Cym_Cornelius,other,other
Cym_Cymbeline,other,protag
Cym_Guiderius,other,fool
Cym_Iachimo,antag,other
Cym_Imogen,protag,fool
Cym_Lucius,other,other
Cym_Pisanio,other,fool
Cym_Posthumus,other,fool
Cym_Queen,other,fool
Err_Abbess,other,antag
Err_Adriana,other,other
Err_Angelo,other,other
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
Err_Duke,other,protag
Err_Egeon,other,protag
Err_Luciana,other,other
H5_BishopOfCanterbury,other,antag
H5_Boy,other,antag
H5_Burgundy,other,antag
H5_Chorus,other,antag
H5_Constable,other,antag
H5_Dauphin,antag,antag
H5_Exeter,other,antag
H5_Fluellen,other,antag
H5_Gower,other,antag
H5_HenryV,protag,antag
H5_KingOfFrance,other,antag
H5_Pistol,other,protag
H5_SOLDIERS.ENGLISH.Williams,other,protag
H8_Buckingham,other,antag
H8_Chamberlain,other,antag
H8_Cranmer,other,fool
H8_GENTLEMEN.1,other,antag
H8_GENTLEMEN.2,other,fool
H8_Gardiner,other,antag
H8_HenryVIII,protag,antag
H8_Katherine,other,other
H8_Norfolk,other,antag
H8_Suffolk,other,antag
H8_Surrey,other,antag
H8_Wolsey,antag,other
Ham_Claudius,antag,antag
Ham_Gertrude,other,other
Ham_Ghost,other,antag
Ham_Gravedigger,fool,antag
Ham_Hamlet,protag,antag
Ham_Horatio,other,antag
Ham_Laertes,other,other
Ham_Ophelia,other,other
Ham_Polonius,other,antag
Ham_Rosencrantz,other,antag
JC_Antony,antag,other
JC_Brutus,protag,protag
JC_Caesar,other,other
JC_Casca,other,other
JC_Cassius,other,antag
JC_Portia,other,other
Jn_Arthur,other,fool
Jn_Bastard,other,protag
Jn_CITIZENS.0.1,other,antag
Jn_Constance,other,protag
Jn_Dauphin,other,protag
Jn_Hubert,other,protag
Jn_KingJohn,protag,protag
Jn_KingPhilip,antag,antag
Jn_Pandulph,other,antag
Jn_Pembroke,other,antag
Jn_Salisbury,other,antag
LLL_Armado,other,antag
LLL_Berowne,other,other
LLL_Boy,other,antag
LLL_Boyet,other,antag
LLL_Costard,fool,fool
LLL_Dumaine,other,fool
LLL_Holofernes,other,antag
LLL_King,protag,antag
LLL_Longaville,other,protag
LLL_Nathaniel,other,fool
LLL_Princess,antag,other
LLL_Rosaline,other,fool
Lr_Albany,other,antag
Lr_Cordelia,other,fool
Lr_Cornwall,other,antag
Lr_Edgar,other,protag
Lr_Edmund,other,antag
Lr_Fool,fool,protag
Lr_Gloucester,other,other
Lr_Goneril,antag,fool
Lr_Kent,other,antag
Lr_Lear,protag,protag
Lr_Regan,other,fool
MM_Angelo,antag,other
MM_Claudio,other,antag
MM_Duke,protag,antag
MM_Elbow,other,antag
MM_Escalus,other,antag
MM_Isabella,other,fool
MM_Lucio,other,other
MM_Pompey,fool,fool
MM_Provost,other,antag
MND_Bottom,fool,other
MND_Demetrius,other,protag
MND_Helena,other,other
MND_Hermia,other,fool
MND_Lysander,other,protag
MND_Oberon,other,protag
MND_Quince,other,antag
MND_RobinGoodfellow,other,protag
MND_Theseus,other,antag
MND_Titania,other,protag
MV_Antonio,other,other
MV_Bassanio,other,other
MV_Duke,other,antag
MV_Gratiano,other,protag
MV_Jessica,other,other
MV_LanceletGobbo,fool,fool
MV_Lorenzo,other,antag
MV_Morocco,other,antag
MV_Nerissa,other,antag
MV_Portia,protag,antag
MV_Salarino,other,fool
MV_Shylock,antag,protag
MV_Solanio,other,other
Mac_Banquo,other,protag
Mac_LadyMacbeth,other,antag
Mac_Lennox,other,fool
Mac_Macbeth,protag,protag
Mac_Macduff,other,other
Mac_Malcolm,other,other
Mac_Ross,other,antag
Oth_Brabantio,other,antag
Oth_Cassio,other,protag
Oth_Desdemona,other,protag
Oth_Emilia,other,fool
Oth_Iago,antag,other
Oth_Lodovico,other,antag
Oth_Othello,protag,protag
Oth_Roderigo,other,other
Per_Bawd,other,fool
Per_Bolt,other,fool
Per_Cerimon,other,antag
Per_Cleon,other,antag
Per_Dionyza,other,antag
Per_Gower,other,antag
Per_Helicanus,other,antag
Per_Lysimachus,other,other
Per_Marina,other,fool
Per_Pericles,protag,protag
Per_Simonides,other,antag
Per_Thaisa,other,protag
R2_Aumerle,other,protag
R2_DuchessOfYork,other,protag
R2_Gaunt,other,protag
R2_HenryIV,antag,other
R2_Mowbray,other,protag
R2_Northumberland,other,other
R2_Queen,other,antag
R2_RichardII,protag,protag
R2_York,other,protag
R3_Buckingham,other,antag
R3_Clarence,other,other
R3_DuchessOfYork,other,protag
R3_EdwardIV,other,antag
R3_Hastings,other,protag
R3_HenryVII,other,antag
R3_LadyAnne,other,protag
R3_QueenElizabeth,other,protag
R3_QueenMargaret,other,protag
R3_RichardIII,protag,protag
R3_Stanley,other,other
Rom_Benvolio,other,other
Rom_Capulet,other,protag
Rom_FriarLawrence,other,protag
Rom_Juliet,other,protag
Rom_LadyCapulet,other,protag
Rom_Mercutio,other,antag
Rom_Nurse,other,other
Rom_Paris,other,other
Rom_PrinceEscalus,other,antag
Rom_Romeo,protag,protag
Shr_Baptista,other,protag
Shr_Bianca,other,protag
Shr_Biondello,other,fool
Shr_Gremio,other,fool
Shr_Grumio,fool,fool
Shr_Hortensio,other,fool
Shr_Katherine,other,other
Shr_Lord,other,antag
Shr_Lucentio,other,protag
Shr_Petruchio,protag,protag
Shr_Sly,other,protag
Shr_Tranio,other,fool
TGV_Duke,other,protag
TGV_Julia,other,fool
TGV_Lance,fool,fool
TGV_Lucetta,other,fool
TGV_Proteus,antag,protag
TGV_Speed,fool,fool
TGV_Sylvia,other,fool
TGV_Valentine,protag,protag
TN_AndrewAguecheek,other,fool
TN_Antonio,other,other
TN_Fabian,other,antag
TN_Feste,fool,fool
TN_Malvolio,antag,other
TN_Maria,other,other
TN_Olivia,other,protag
TN_Orsino,other,protag
TN_Sebastian,other,fool
TN_TobyBelch,other,protag
TN_Viola,protag,fool
TNK_Arcite,other,protag
TNK_Daughter,other,protag
TNK_Doctor,other,antag
TNK_Emilia,other,other
TNK_Hippolyta,other,other
TNK_Jailer,other,other
TNK_Palamon,other,protag
TNK_Pirithous,other,fool
TNK_QUEENS.1,other,antag
TNK_Schoolmaster,other,other
TNK_Theseus,protag,antag
TNK_Wooer,other,protag
Tim_Alcibiades,other,protag
Tim_Apemantus,other,protag
Tim_Flavius,other,other
Tim_Poet,other,antag
Tim_Timon,protag,protag
Tit_Aaron,antag,protag
Tit_Demetrius,other,other
Tit_Lucius,other,protag
Tit_Marcus,other,other
Tit_Saturninus,other,protag
Tit_Tamora,other,other
Tit_Titus,protag,protag
Tmp_Alonso,other,protag
Tmp_Antonio,antag,fool
Tmp_Ariel,other,protag
Tmp_Caliban,other,protag
Tmp_Ferdinand,other,protag
Tmp_Gonzalo,other,antag
Tmp_Miranda,other,fool
Tmp_Prospero,protag,protag
Tmp_Sebastian,other,other
Tmp_Stephano,other,protag
Tmp_Trinculo,other,protag
Tro_Achilles,other,protag
Tro_Aeneas,other,other
Tro_Agamemnon,other,antag
Tro_Ajax,other,protag
Tro_Cressida,other,protag
Tro_Diomedes,other,protag
Tro_Hector,other,protag
Tro_Nestor,other,antag
Tro_Pandarus,other,other
Tro_Paris,other,antag
Tro_Thersites,fool,antag
Tro_Troilus,protag,protag
Tro_Ulysses,other,antag
WT_ATTENDANTS.3,other,antag
WT_Antigonus,other,other
WT_Autolycus,fool,antag
WT_Camillo,other,other
WT_Florizell,other,fool
WT_Hermione,other,other
WT_Leontes,protag,protag
WT_Paulina,other,other
WT_Perdita,other,other
WT_Polixenes,antag,antag
WT_Shepherd,other,other
WT_ShepherdsSon,other,protag
Wiv_DoctorCaius,other,fool
