             Overall Accuracy:              

  Play   Overall  Average  F1 Score   MCC   
   R2     51.93%   31.97%   26.62%   17.17% 
  Mac     40.59%   26.82%   26.66%   16.39% 
  Tit     38.21%   15.66%   15.28%   -2.01% 
   R3     38.12%   27.52%   20.67%   11.71% 
  3H6     37.20%   34.74%   31.00%   19.75% 
  1H4     35.42%   25.77%   22.51%   11.99% 
  2H6     33.84%   19.79%   19.14%   10.26% 
  2H4     32.98%   32.30%   22.36%   14.08% 
  Cor     32.65%   27.43%   26.67%   14.17% 
   MV     32.39%   19.26%   18.67%   9.11%  
   H5     31.97%   27.28%   24.39%   15.81% 
  TGV     31.58%   27.25%   26.20%   13.29% 
   JC     30.99%   22.46%   22.93%   12.81% 
   WT     30.03%   23.79%   25.40%   13.84% 
   Lr     29.93%   18.53%   16.76%   4.66%  
  TNK     27.85%   23.11%   23.11%   11.56% 
   Jn     27.30%   26.49%   17.66%   7.29%  
  Rom     26.95%   23.35%   16.63%   7.48%  
  Wiv     26.73%   36.87%   24.02%   12.15% 
  LLL     26.71%   25.09%   20.13%   12.00% 
  Oth     26.34%   17.16%   11.25%   2.07%  
  Tim     26.03%   21.97%   19.73%   6.32%  
   MM     25.94%   20.99%   21.37%   9.06%  
  AYL     25.65%   26.10%   23.56%   14.48% 
  Err     25.07%   26.56%   19.88%   7.89%  
   TN     25.00%   15.61%   16.14%   6.02%  
  Tmp     24.69%   17.79%   15.39%   4.93%  
  1H6     23.68%   19.99%   14.10%   5.63%  
  Ham     23.32%   23.40%   20.12%   11.16% 
  Per     23.16%   22.53%   17.56%   8.46%  
  Ado     23.11%   17.68%   14.46%   3.95%  
  MND     22.49%   22.13%   15.67%   7.12%  
  Cym     22.02%   20.57%   15.91%   7.96%  
  Shr     19.75%   21.02%   14.04%   7.03%  
  Tro     19.16%   17.09%   14.61%   4.22%  
   H8     19.01%   18.65%   15.05%   4.48%  
  AWW     18.48%   29.01%   21.55%   11.25% 
  Ant     16.30%   12.42%   11.85%   1.75%  


             Average Accuracy:              

  Play   Overall  Average  F1 Score   MCC   
  Wiv     26.73%   36.87%   24.02%   12.15% 
  3H6     37.20%   34.74%   31.00%   19.75% 
  2H4     32.98%   32.30%   22.36%   14.08% 
   R2     51.93%   31.97%   26.62%   17.17% 
  AWW     18.48%   29.01%   21.55%   11.25% 
   R3     38.12%   27.52%   20.67%   11.71% 
  Cor     32.65%   27.43%   26.67%   14.17% 
   H5     31.97%   27.28%   24.39%   15.81% 
  TGV     31.58%   27.25%   26.20%   13.29% 
  Mac     40.59%   26.82%   26.66%   16.39% 
  Err     25.07%   26.56%   19.88%   7.89%  
   Jn     27.30%   26.49%   17.66%   7.29%  
  AYL     25.65%   26.10%   23.56%   14.48% 
  1H4     35.42%   25.77%   22.51%   11.99% 
  LLL     26.71%   25.09%   20.13%   12.00% 
   WT     30.03%   23.79%   25.40%   13.84% 
  Ham     23.32%   23.40%   20.12%   11.16% 
  Rom     26.95%   23.35%   16.63%   7.48%  
  TNK     27.85%   23.11%   23.11%   11.56% 
  Per     23.16%   22.53%   17.56%   8.46%  
   JC     30.99%   22.46%   22.93%   12.81% 
  MND     22.49%   22.13%   15.67%   7.12%  
  Tim     26.03%   21.97%   19.73%   6.32%  
  Shr     19.75%   21.02%   14.04%   7.03%  
   MM     25.94%   20.99%   21.37%   9.06%  
  Cym     22.02%   20.57%   15.91%   7.96%  
  1H6     23.68%   19.99%   14.10%   5.63%  
  2H6     33.84%   19.79%   19.14%   10.26% 
   MV     32.39%   19.26%   18.67%   9.11%  
   H8     19.01%   18.65%   15.05%   4.48%  
   Lr     29.93%   18.53%   16.76%   4.66%  
  Tmp     24.69%   17.79%   15.39%   4.93%  
  Ado     23.11%   17.68%   14.46%   3.95%  
  Oth     26.34%   17.16%   11.25%   2.07%  
  Tro     19.16%   17.09%   14.61%   4.22%  
  Tit     38.21%   15.66%   15.28%   -2.01% 
   TN     25.00%   15.61%   16.14%   6.02%  
  Ant     16.30%   12.42%   11.85%   1.75%  


              Average F1 Score              

  Play   Overall  Average  F1 Score   MCC   
  3H6     37.20%   34.74%   31.00%   19.75% 
  Cor     32.65%   27.43%   26.67%   14.17% 
  Mac     40.59%   26.82%   26.66%   16.39% 
   R2     51.93%   31.97%   26.62%   17.17% 
  TGV     31.58%   27.25%   26.20%   13.29% 
   WT     30.03%   23.79%   25.40%   13.84% 
   H5     31.97%   27.28%   24.39%   15.81% 
  Wiv     26.73%   36.87%   24.02%   12.15% 
  AYL     25.65%   26.10%   23.56%   14.48% 
  TNK     27.85%   23.11%   23.11%   11.56% 
   JC     30.99%   22.46%   22.93%   12.81% 
  1H4     35.42%   25.77%   22.51%   11.99% 
  2H4     32.98%   32.30%   22.36%   14.08% 
  AWW     18.48%   29.01%   21.55%   11.25% 
   MM     25.94%   20.99%   21.37%   9.06%  
   R3     38.12%   27.52%   20.67%   11.71% 
  LLL     26.71%   25.09%   20.13%   12.00% 
  Ham     23.32%   23.40%   20.12%   11.16% 
  Err     25.07%   26.56%   19.88%   7.89%  
  Tim     26.03%   21.97%   19.73%   6.32%  
  2H6     33.84%   19.79%   19.14%   10.26% 
   MV     32.39%   19.26%   18.67%   9.11%  
   Jn     27.30%   26.49%   17.66%   7.29%  
  Per     23.16%   22.53%   17.56%   8.46%  
   Lr     29.93%   18.53%   16.76%   4.66%  
  Rom     26.95%   23.35%   16.63%   7.48%  
   TN     25.00%   15.61%   16.14%   6.02%  
  Cym     22.02%   20.57%   15.91%   7.96%  
  MND     22.49%   22.13%   15.67%   7.12%  
  Tmp     24.69%   17.79%   15.39%   4.93%  
  Tit     38.21%   15.66%   15.28%   -2.01% 
   H8     19.01%   18.65%   15.05%   4.48%  
  Tro     19.16%   17.09%   14.61%   4.22%  
  Ado     23.11%   17.68%   14.46%   3.95%  
  1H6     23.68%   19.99%   14.10%   5.63%  
  Shr     19.75%   21.02%   14.04%   7.03%  
  Ant     16.30%   12.42%   11.85%   1.75%  
  Oth     26.34%   17.16%   11.25%   2.07%  


  Average Matthews Correlation Coefficient  

  Play   Overall  Average  F1 Score   MCC   
  3H6     37.20%   34.74%   31.00%   19.75% 
   R2     51.93%   31.97%   26.62%   17.17% 
  Mac     40.59%   26.82%   26.66%   16.39% 
   H5     31.97%   27.28%   24.39%   15.81% 
  AYL     25.65%   26.10%   23.56%   14.48% 
  Cor     32.65%   27.43%   26.67%   14.17% 
  2H4     32.98%   32.30%   22.36%   14.08% 
   WT     30.03%   23.79%   25.40%   13.84% 
  TGV     31.58%   27.25%   26.20%   13.29% 
   JC     30.99%   22.46%   22.93%   12.81% 
  Wiv     26.73%   36.87%   24.02%   12.15% 
  LLL     26.71%   25.09%   20.13%   12.00% 
  1H4     35.42%   25.77%   22.51%   11.99% 
   R3     38.12%   27.52%   20.67%   11.71% 
  TNK     27.85%   23.11%   23.11%   11.56% 
  AWW     18.48%   29.01%   21.55%   11.25% 
  Ham     23.32%   23.40%   20.12%   11.16% 
  2H6     33.84%   19.79%   19.14%   10.26% 
   MV     32.39%   19.26%   18.67%   9.11%  
   MM     25.94%   20.99%   21.37%   9.06%  
  Per     23.16%   22.53%   17.56%   8.46%  
  Cym     22.02%   20.57%   15.91%   7.96%  
  Err     25.07%   26.56%   19.88%   7.89%  
  Rom     26.95%   23.35%   16.63%   7.48%  
   Jn     27.30%   26.49%   17.66%   7.29%  
  MND     22.49%   22.13%   15.67%   7.12%  
  Shr     19.75%   21.02%   14.04%   7.03%  
  Tim     26.03%   21.97%   19.73%   6.32%  
   TN     25.00%   15.61%   16.14%   6.02%  
  1H6     23.68%   19.99%   14.10%   5.63%  
  Tmp     24.69%   17.79%   15.39%   4.93%  
   Lr     29.93%   18.53%   16.76%   4.66%  
   H8     19.01%   18.65%   15.05%   4.48%  
  Tro     19.16%   17.09%   14.61%   4.22%  
  Ado     23.11%   17.68%   14.46%   3.95%  
  Oth     26.34%   17.16%   11.25%   2.07%  
  Ant     16.30%   12.42%   11.85%   1.75%  
  Tit     38.21%   15.66%   15.28%   -2.01% 
