character,actual,predicted
1H4_Falstaff,2,3
1H4_HenryV,1,0
1H4_Hotspur,1,0
1H6_Charles,0,0
1H6_HenryVI,0,0
2H4_ChiefJustice,1,4
2H4_Falstaff,2,1
2H4_HenryV,1,1
AWW_Bertram,1,p
AWW_Fool,p,6
AWW_Helen,p,2
AYL_DukeFrederick,0,0
AYL_Rosalind,1,5
Ado_Beatrice,1,p
Ado_Dogberry,4,5
Ado_DonJohn,1,p
Ant_Antony,0,3
Ant_Octavius,0,1
Cor_Coriolanus,1,p
Cor_TRIBUNES.Brutus,4,4
Cym_Cloten,1,1
Cym_Iachimo,2,1
Cym_Imogen,1,2
Err_AntipholusOfEphesus,2,3
Err_AntipholusOfSyracuse,2,3
Err_DromioOfEphesus,6,p
Err_DromioOfSyracuse,6,p
H5_Dauphin,1,0
H5_HenryV,0,0
H8_HenryVIII,0,1
H8_Wolsey,1,1
Ham_Claudius,0,0
Ham_Gravedigger,5,4
Ham_Hamlet,1,1
JC_Antony,1,1
JC_Brutus,1,3
Jn_KingJohn,0,0
Jn_KingPhilip,0,0
LLL_Costard,p,6
LLL_King,0,1
LLL_Princess,0,0
Lr_Fool,p,2
Lr_Goneril,1,p
Lr_Lear,0,3
MM_Angelo,1,p
MM_Duke,0,1
MM_Pompey,6,5
MND_Bottom,5,2
MV_LanceletGobbo,5,p
MV_Portia,1,1
MV_Shylock,3,2
Mac_Macbeth,0,0
Mac_Porter,6,4
Oth_Clown,p,6
Oth_Iago,2,1
Oth_Othello,1,3
Per_Antiochus,0,0
Per_Pericles,0,2
R2_HenryIV,1,1
R2_RichardII,0,0
R3_RichardIII,1,1
Rom_Romeo,1,2
Rom_Tybalt,1,0
Shr_Grumio,3,5
Shr_Petruchio,2,2
TGV_Lance,5,3
TGV_Proteus,2,p
TGV_Speed,5,3
TGV_Valentine,2,2
TN_Feste,p,6
TN_Malvolio,2,p
TN_Viola,2,p
TNK_Theseus,0,0
Tim_Fool,6,3
Tim_Timon,p,0
Tit_Aaron,2,1
Tit_CountryFellow,6,p
Tit_Titus,1,1
Tmp_Antonio,1,5
Tmp_Prospero,0,0
Tro_Thersites,5,0
Tro_Troilus,1,0
WT_Autolycus,p,1
WT_Leontes,0,1
WT_Polixenes,0,0
Wiv_Falstaff,2,2
Wiv_MistressPage,3,1
