option,overall,average
Emphasis,0.5654202127311188,0.43353489710606663
Not Emphasis,0.5543948032522492,0.41310629373167895
Vowels-Only,0.551674092192864,0.4019593887164735
Not Vowels-Only,0.5681409237905038,0.44468180212127206
Percentages,0.4563585016006801,0.42105070411549056
Not Percentages,0.6634565143826876,0.425590486722255
Twofold,0.6019894627615682,0.4076607434988125
Not Twofold,0.5178255532217997,0.4389804473389331
All,0.6697216564833673,0.44916906192017453
Min-100,0.5804334795591533,0.42986360000171026
Min-250,0.5045676774335313,0.35326027715695246
Min-500,0.5526399491094148,0.4213512296365915
Min-1000,0.49785305343511455,0.4245311352100447
Min-2500,0.40091463414634154,0.2794574767904509
No-Others,0.5269886363636364,0.5264761220580186
