                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     0-1-23456   59.34%     47.90%     42.55%     19.46%  
                     01234-5-6   58.76%     38.42%     38.00%     11.14%  
                     0-12345-6   55.03%     45.15%     39.53%     12.22%  
                     0123-4-56   53.88%     41.82%     40.26%     13.26%  
                     012-3-456   51.36%     40.75%     40.47%     13.37%  
                     01-2-3456   51.08%     44.30%     43.73%     17.78%  
                     0-1234-56   50.72%     46.55%     41.11%     14.32%  
                     0123-45-6   49.86%     39.95%     38.68%     11.86%  
                     0-12-3456   49.50%     47.60%     41.37%     16.81%  
                     012-34-56   47.34%     42.74%     41.48%     15.22%  
                     0-123-456   47.20%     46.25%     40.39%     13.49%  
                     01-2345-6   46.77%     44.85%     44.20%     18.11%  
                     012-345-6   45.83%     42.67%     40.88%     15.38%  
                     01-23-456   45.55%     44.27%     44.09%     16.60%  
                     01-234-56   45.11%     45.31%     45.08%     18.11%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     0-1-23456   59.34%     47.90%     42.55%     19.46%  
                     0-12-3456   49.50%     47.60%     41.37%     16.81%  
                     0-1234-56   50.72%     46.55%     41.11%     14.32%  
                     0-123-456   47.20%     46.25%     40.39%     13.49%  
                     01-234-56   45.11%     45.31%     45.08%     18.11%  
                     0-12345-6   55.03%     45.15%     39.53%     12.22%  
                     01-2345-6   46.77%     44.85%     44.20%     18.11%  
                     01-2-3456   51.08%     44.30%     43.73%     17.78%  
                     01-23-456   45.55%     44.27%     44.09%     16.60%  
                     012-34-56   47.34%     42.74%     41.48%     15.22%  
                     012-345-6   45.83%     42.67%     40.88%     15.38%  
                     0123-4-56   53.88%     41.82%     40.26%     13.26%  
                     012-3-456   51.36%     40.75%     40.47%     13.37%  
                     0123-45-6   49.86%     39.95%     38.68%     11.86%  
                     01234-5-6   58.76%     38.42%     38.00%     11.14%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-234-56   45.11%     45.31%     45.08%     18.11%  
                     01-2345-6   46.77%     44.85%     44.20%     18.11%  
                     01-23-456   45.55%     44.27%     44.09%     16.60%  
                     01-2-3456   51.08%     44.30%     43.73%     17.78%  
                     0-1-23456   59.34%     47.90%     42.55%     19.46%  
                     012-34-56   47.34%     42.74%     41.48%     15.22%  
                     0-12-3456   49.50%     47.60%     41.37%     16.81%  
                     0-1234-56   50.72%     46.55%     41.11%     14.32%  
                     012-345-6   45.83%     42.67%     40.88%     15.38%  
                     012-3-456   51.36%     40.75%     40.47%     13.37%  
                     0-123-456   47.20%     46.25%     40.39%     13.49%  
                     0123-4-56   53.88%     41.82%     40.26%     13.26%  
                     0-12345-6   55.03%     45.15%     39.53%     12.22%  
                     0123-45-6   49.86%     39.95%     38.68%     11.86%  
                     01234-5-6   58.76%     38.42%     38.00%     11.14%  


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                     0-1-23456   59.34%     47.90%     42.55%     19.46%  
                     01-234-56   45.11%     45.31%     45.08%     18.11%  
                     01-2345-6   46.77%     44.85%     44.20%     18.11%  
                     01-2-3456   51.08%     44.30%     43.73%     17.78%  
                     0-12-3456   49.50%     47.60%     41.37%     16.81%  
                     01-23-456   45.55%     44.27%     44.09%     16.60%  
                     012-345-6   45.83%     42.67%     40.88%     15.38%  
                     012-34-56   47.34%     42.74%     41.48%     15.22%  
                     0-1234-56   50.72%     46.55%     41.11%     14.32%  
                     0-123-456   47.20%     46.25%     40.39%     13.49%  
                     012-3-456   51.36%     40.75%     40.47%     13.37%  
                     0123-4-56   53.88%     41.82%     40.26%     13.26%  
                     0-12345-6   55.03%     45.15%     39.53%     12.22%  
                     0123-45-6   49.86%     39.95%     38.68%     11.86%  
                     01234-5-6   58.76%     38.42%     38.00%     11.14%  
