name,overall,average,f1,mcc
016-2-3-4-5,0.44129554655870445,0.30572390572390573,0.25039993090726137,0.09521607338325369
0-126-3-4-5,0.4331983805668016,0.34608150470219434,0.2733277138935637,0.12903969172021942
0-136-2-4-5,0.3441295546558704,0.30218855218855223,0.25560148723268655,0.0844799607155757
0-146-2-3-5,0.32793522267206476,0.27393271133729147,0.2377672223440685,0.06536160758906807
02-16-3-4-5,0.3157894736842105,0.2900757575757576,0.2257912096611049,0.055351851525618403
0-16-23-4-5,0.3157894736842105,0.31166666666666665,0.25726762709599604,0.09569089101500619
0-156-2-3-4,0.3076923076923077,0.35086279461279457,0.273785831468952,0.11300256537341158
0-16-24-3-5,0.30364372469635625,0.2824358974358974,0.23975122560094025,0.07538752982358393
0-16-25-3-4,0.30364372469635625,0.36064027370478985,0.281361056488729,0.12769043894674914
04-16-2-3-5,0.29554655870445345,0.2694584206848357,0.2223623153611305,0.06158170091261994
0-16-2-35-4,0.2874493927125506,0.35294612794612795,0.2741888589204402,0.12038756291425275
03-16-2-4-5,0.2834008097165992,0.27664983164983165,0.22334103621530538,0.05818105828627279
05-16-2-3-4,0.2834008097165992,0.3356127946127946,0.25793875942761363,0.10078649727709477
0-16-2-34-5,0.2834008097165992,0.2863848631239936,0.2348834031258054,0.07597977115009244
0-16-2-3-45,0.27125506072874495,0.3013352826510721,0.24514973254107097,0.0842190901483867
