                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   016-2-3-4-5   44.13%     30.57%     25.04%     9.52%   
                   0-126-3-4-5   43.32%     34.61%     27.33%     12.90%  
                   0-136-2-4-5   34.41%     30.22%     25.56%     8.45%   
                   0-146-2-3-5   32.79%     27.39%     23.78%     6.54%   
                   02-16-3-4-5   31.58%     29.01%     22.58%     5.54%   
                   0-16-23-4-5   31.58%     31.17%     25.73%     9.57%   
                   0-156-2-3-4   30.77%     35.09%     27.38%     11.30%  
                   0-16-24-3-5   30.36%     28.24%     23.98%     7.54%   
                   0-16-25-3-4   30.36%     36.06%     28.14%     12.77%  
                   04-16-2-3-5   29.55%     26.95%     22.24%     6.16%   
                   0-16-2-35-4   28.74%     35.29%     27.42%     12.04%  
                   03-16-2-4-5   28.34%     27.66%     22.33%     5.82%   
                   05-16-2-3-4   28.34%     33.56%     25.79%     10.08%  
                   0-16-2-34-5   28.34%     28.64%     23.49%     7.60%   
                   0-16-2-3-45   27.13%     30.13%     24.51%     8.42%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-16-25-3-4   30.36%     36.06%     28.14%     12.77%  
                   0-16-2-35-4   28.74%     35.29%     27.42%     12.04%  
                   0-156-2-3-4   30.77%     35.09%     27.38%     11.30%  
                   0-126-3-4-5   43.32%     34.61%     27.33%     12.90%  
                   05-16-2-3-4   28.34%     33.56%     25.79%     10.08%  
                   0-16-23-4-5   31.58%     31.17%     25.73%     9.57%   
                   016-2-3-4-5   44.13%     30.57%     25.04%     9.52%   
                   0-136-2-4-5   34.41%     30.22%     25.56%     8.45%   
                   0-16-2-3-45   27.13%     30.13%     24.51%     8.42%   
                   02-16-3-4-5   31.58%     29.01%     22.58%     5.54%   
                   0-16-2-34-5   28.34%     28.64%     23.49%     7.60%   
                   0-16-24-3-5   30.36%     28.24%     23.98%     7.54%   
                   03-16-2-4-5   28.34%     27.66%     22.33%     5.82%   
                   0-146-2-3-5   32.79%     27.39%     23.78%     6.54%   
                   04-16-2-3-5   29.55%     26.95%     22.24%     6.16%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-16-25-3-4   30.36%     36.06%     28.14%     12.77%  
                   0-16-2-35-4   28.74%     35.29%     27.42%     12.04%  
                   0-156-2-3-4   30.77%     35.09%     27.38%     11.30%  
                   0-126-3-4-5   43.32%     34.61%     27.33%     12.90%  
                   05-16-2-3-4   28.34%     33.56%     25.79%     10.08%  
                   0-16-23-4-5   31.58%     31.17%     25.73%     9.57%   
                   0-136-2-4-5   34.41%     30.22%     25.56%     8.45%   
                   016-2-3-4-5   44.13%     30.57%     25.04%     9.52%   
                   0-16-2-3-45   27.13%     30.13%     24.51%     8.42%   
                   0-16-24-3-5   30.36%     28.24%     23.98%     7.54%   
                   0-146-2-3-5   32.79%     27.39%     23.78%     6.54%   
                   0-16-2-34-5   28.34%     28.64%     23.49%     7.60%   
                   02-16-3-4-5   31.58%     29.01%     22.58%     5.54%   
                   03-16-2-4-5   28.34%     27.66%     22.33%     5.82%   
                   04-16-2-3-5   29.55%     26.95%     22.24%     6.16%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-126-3-4-5   43.32%     34.61%     27.33%     12.90%  
                   0-16-25-3-4   30.36%     36.06%     28.14%     12.77%  
                   0-16-2-35-4   28.74%     35.29%     27.42%     12.04%  
                   0-156-2-3-4   30.77%     35.09%     27.38%     11.30%  
                   05-16-2-3-4   28.34%     33.56%     25.79%     10.08%  
                   0-16-23-4-5   31.58%     31.17%     25.73%     9.57%   
                   016-2-3-4-5   44.13%     30.57%     25.04%     9.52%   
                   0-136-2-4-5   34.41%     30.22%     25.56%     8.45%   
                   0-16-2-3-45   27.13%     30.13%     24.51%     8.42%   
                   0-16-2-34-5   28.34%     28.64%     23.49%     7.60%   
                   0-16-24-3-5   30.36%     28.24%     23.98%     7.54%   
                   0-146-2-3-5   32.79%     27.39%     23.78%     6.54%   
                   04-16-2-3-5   29.55%     26.95%     22.24%     6.16%   
                   03-16-2-4-5   28.34%     27.66%     22.33%     5.82%   
                   02-16-3-4-5   31.58%     29.01%     22.58%     5.54%   
