name,overall,average,f1,mcc
0-1-2-3-456,0.38095238095238093,0.3675392341494036,0.32159467994771546,0.187570546382264
0-12-3-4-56,0.47619047619047616,0.3286218776916451,0.2764893617021277,0.13974409113900046
0-1-23-4-56,0.42063492063492064,0.327122567482737,0.30586956521739134,0.1683045460134701
01-2-3-4-56,0.5396825396825397,0.32689922480620154,0.28583780880773363,0.1616144645703883
0-1-2-34-56,0.38095238095238093,0.3264281230382925,0.3002326727792567,0.16311899439946947
0-1-2-345-6,0.3888888888888889,0.32087256748273696,0.29745489500147887,0.15974292358240358
0-12-3-45-6,0.47619047619047616,0.3071933062630737,0.26577507598784195,0.12648059303138318
0-1-23-45-6,0.42063492063492064,0.30569399605416553,0.2951552795031056,0.15504104790585282
01-2-3-45-6,0.5396825396825397,0.3054706533776301,0.2751235230934479,0.14835096646277102
0-1-234-5-6,0.4523809523809524,0.2930947897049592,0.285848252344416,0.14625904176275933
0-12-34-5-6,0.48412698412698413,0.287510766580534,0.2559338061465721,0.11675965345019798
01-23-4-5-6,0.5873015873015873,0.2864825581395349,0.2709191456903127,0.1438155784955865
01-2-34-5-6,0.5476190476190477,0.28578811369509044,0.2652822532521781,0.13863002688158585
012-3-4-5-6,0.6825396825396826,0.2769026548672566,0.23017412935323384,0.08981109352298916
0-123-4-5-6,0.5714285714285714,0.2737688237688237,0.25576604554865423,0.11341262521859918
