                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-36-4-5   55.56%     38.02%     31.54%     19.85%  
                   0-12-36-4-5   49.21%     38.20%     30.61%     17.66%  
                   0-136-2-4-5   43.65%     31.14%     29.64%     14.66%  
                   0-1-236-4-5   43.65%     33.60%     31.29%     17.86%  
                   02-1-36-4-5   42.86%     35.79%     28.93%     14.96%  
                   04-1-2-36-5   42.86%     39.72%     33.87%     21.30%  
                   0-14-2-36-5   42.06%     38.20%     32.97%     18.66%  
                   0-15-2-36-4   42.06%     43.02%     35.47%     22.05%  
                   0-1-25-36-4   42.06%     44.09%     36.21%     23.69%  
                   05-1-2-36-4   41.27%     43.12%     35.26%     22.72%  
                   0-1-24-36-5   41.27%     38.81%     33.19%     19.90%  
                   0-1-2-346-5   40.48%     37.75%     32.76%     20.01%  
                   0-1-2-356-4   39.68%     39.87%     33.79%     21.02%  
                   036-1-2-4-5   38.89%     29.43%     27.60%     13.03%  
                   0-1-2-36-45   38.89%     39.94%     33.96%     20.97%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-25-36-4   42.06%     44.09%     36.21%     23.69%  
                   05-1-2-36-4   41.27%     43.12%     35.26%     22.72%  
                   0-15-2-36-4   42.06%     43.02%     35.47%     22.05%  
                   0-1-2-36-45   38.89%     39.94%     33.96%     20.97%  
                   0-1-2-356-4   39.68%     39.87%     33.79%     21.02%  
                   04-1-2-36-5   42.86%     39.72%     33.87%     21.30%  
                   0-1-24-36-5   41.27%     38.81%     33.19%     19.90%  
                   0-14-2-36-5   42.06%     38.20%     32.97%     18.66%  
                   0-12-36-4-5   49.21%     38.20%     30.61%     17.66%  
                   01-2-36-4-5   55.56%     38.02%     31.54%     19.85%  
                   0-1-2-346-5   40.48%     37.75%     32.76%     20.01%  
                   02-1-36-4-5   42.86%     35.79%     28.93%     14.96%  
                   0-1-236-4-5   43.65%     33.60%     31.29%     17.86%  
                   0-136-2-4-5   43.65%     31.14%     29.64%     14.66%  
                   036-1-2-4-5   38.89%     29.43%     27.60%     13.03%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-25-36-4   42.06%     44.09%     36.21%     23.69%  
                   0-15-2-36-4   42.06%     43.02%     35.47%     22.05%  
                   05-1-2-36-4   41.27%     43.12%     35.26%     22.72%  
                   0-1-2-36-45   38.89%     39.94%     33.96%     20.97%  
                   04-1-2-36-5   42.86%     39.72%     33.87%     21.30%  
                   0-1-2-356-4   39.68%     39.87%     33.79%     21.02%  
                   0-1-24-36-5   41.27%     38.81%     33.19%     19.90%  
                   0-14-2-36-5   42.06%     38.20%     32.97%     18.66%  
                   0-1-2-346-5   40.48%     37.75%     32.76%     20.01%  
                   01-2-36-4-5   55.56%     38.02%     31.54%     19.85%  
                   0-1-236-4-5   43.65%     33.60%     31.29%     17.86%  
                   0-12-36-4-5   49.21%     38.20%     30.61%     17.66%  
                   0-136-2-4-5   43.65%     31.14%     29.64%     14.66%  
                   02-1-36-4-5   42.86%     35.79%     28.93%     14.96%  
                   036-1-2-4-5   38.89%     29.43%     27.60%     13.03%  


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-25-36-4   42.06%     44.09%     36.21%     23.69%  
                   05-1-2-36-4   41.27%     43.12%     35.26%     22.72%  
                   0-15-2-36-4   42.06%     43.02%     35.47%     22.05%  
                   04-1-2-36-5   42.86%     39.72%     33.87%     21.30%  
                   0-1-2-356-4   39.68%     39.87%     33.79%     21.02%  
                   0-1-2-36-45   38.89%     39.94%     33.96%     20.97%  
                   0-1-2-346-5   40.48%     37.75%     32.76%     20.01%  
                   0-1-24-36-5   41.27%     38.81%     33.19%     19.90%  
                   01-2-36-4-5   55.56%     38.02%     31.54%     19.85%  
                   0-14-2-36-5   42.06%     38.20%     32.97%     18.66%  
                   0-1-236-4-5   43.65%     33.60%     31.29%     17.86%  
                   0-12-36-4-5   49.21%     38.20%     30.61%     17.66%  
                   02-1-36-4-5   42.86%     35.79%     28.93%     14.96%  
                   0-136-2-4-5   43.65%     31.14%     29.64%     14.66%  
                   036-1-2-4-5   38.89%     29.43%     27.60%     13.03%  
