                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                  01-2-3-4-5-6   53.97%     27.24%     23.82%     13.49%  
                  0-12-3-4-5-6   47.62%     27.39%     23.04%     11.67%  
                  0-13-2-4-5-6   42.06%     25.56%     24.36%     11.73%  
                  0-1-23-4-5-6   42.06%     27.26%     25.49%     14.05%  
                  02-1-3-4-5-6   41.27%     25.38%     21.64%     9.41%   
                  04-1-2-3-5-6   41.27%     28.65%     25.76%     14.70%  
                  0-14-2-3-5-6   40.48%     27.39%     25.01%     12.50%  
                  0-15-2-3-4-6   40.48%     31.40%     27.09%     15.32%  
                  0-1-25-3-4-6   40.48%     32.29%     27.71%     16.69%  
                  05-1-2-3-4-6   39.68%     31.49%     26.92%     15.88%  
                  0-1-24-3-5-6   39.68%     27.90%     25.19%     13.53%  
                  0-1-2-36-4-5   38.89%     35.07%     29.20%     18.60%  
                  0-1-2-34-5-6   38.10%     27.20%     25.02%     13.62%  
                  0-1-2-35-4-6   38.10%     30.21%     26.52%     15.37%  
                  0-1-2-3-46-5   38.10%     33.13%     28.16%     17.27%  
                  03-1-2-4-5-6   37.30%     23.75%     22.43%     10.02%  
                  06-1-2-3-4-5   37.30%     30.34%     26.39%     15.10%  
                  0-16-2-3-4-5   37.30%     30.52%     26.48%     14.95%  
                  0-1-26-3-4-5   37.30%     30.43%     26.38%     15.07%  
                  0-1-2-3-45-6   37.30%     28.84%     25.84%     14.43%  
                  0-1-2-3-4-56   37.30%     30.63%     26.73%     15.53%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                  0-1-2-36-4-5   38.89%     35.07%     29.20%     18.60%  
                  0-1-2-3-46-5   38.10%     33.13%     28.16%     17.27%  
                  0-1-25-3-4-6   40.48%     32.29%     27.71%     16.69%  
                  05-1-2-3-4-6   39.68%     31.49%     26.92%     15.88%  
                  0-15-2-3-4-6   40.48%     31.40%     27.09%     15.32%  
                  0-1-2-3-4-56   37.30%     30.63%     26.73%     15.53%  
                  0-16-2-3-4-5   37.30%     30.52%     26.48%     14.95%  
                  0-1-26-3-4-5   37.30%     30.43%     26.38%     15.07%  
                  06-1-2-3-4-5   37.30%     30.34%     26.39%     15.10%  
                  0-1-2-35-4-6   38.10%     30.21%     26.52%     15.37%  
                  0-1-2-3-45-6   37.30%     28.84%     25.84%     14.43%  
