name,overall,average,f1,mcc
01235-4,0.9875,0.75,0.8301486199575372,0.7026171689305275
015-234,0.7,0.7023809523809523,0.6754563894523327,0.3752156039964245
0145-23,0.6875,0.6857366771159874,0.6536796536796536,0.3369357593599961
01-2345,0.65,0.6581818181818182,0.631336405529954,0.29410527775762735
0123-45,0.9375,0.6471861471861472,0.6265172735760971,0.25660560061597815
014-235,0.6375,0.6418764302059496,0.6106729316999496,0.2581451710552769
05-1234,0.6875,0.625,0.6135265700483092,0.23354968324845687
045-123,0.675,0.6206896551724138,0.6130952380952381,0.23011335554554901
0-12345,0.6875,0.5957722174288179,0.5900799344127895,0.18255171581934132
04-1235,0.675,0.5956416464891041,0.5924764890282131,0.18595649293876082
0135-24,0.65,0.5633575464083939,0.561128526645768,0.12318636874002299
01345-2,0.6375,0.5267471958584987,0.5244927239188358,0.05098291162522145
0125-34,0.8125,0.5266666666666667,0.5063759769642122,0.036155076303109365
013-245,0.6,0.5266457680250785,0.5238095238095238,0.0508042473282381
0234-15,0.5375,0.5226272784412319,0.509852624606723,0.04923770162751877
023-145,0.525,0.5203252032520325,0.5052083333333333,0.04383669216754573
035-124,0.5375,0.5198321891685735,0.5032723611344185,0.036084808857189246
02345-1,0.5375,0.5138888888888888,0.4958269460057912,0.03140793870309317
0235-14,0.525,0.5137844611528822,0.4933333333333333,0.03083265303703561
0345-12,0.525,0.5127272727272727,0.49967083607636603,0.023663643037970018
03-1245,0.5375,0.4976489028213166,0.48744588744588746,-0.004265009612151849
034-125,0.525,0.49404761904761907,0.4861392832995267,-0.011035753058718368
0134-25,0.5875,0.4916666666666667,0.48985507246376814,-0.01556997888323046
012-345,0.7625,0.48873873873873874,0.4792737238780404,-0.01519869175291844
01234-5,0.95,0.4810126582278481,0.48717948717948717,-0.022207604741790184
024-135,0.4625,0.4625,0.46039215686274515,-0.07559289460184544
0245-13,0.4625,0.4599749843652283,0.45561006488368416,-0.08167518557755851
02-1345,0.45,0.4523809523809524,0.44965603502188867,-0.09559816493536441
025-134,0.45,0.4521575984990619,0.44688874921433064,-0.09715413737102949
01245-3,0.825,0.42857142857142855,0.4520547945205479,-0.07881104062391008
0124-35,0.775,0.40789473684210525,0.43661971830985913,-0.10566112966540278
