                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01234-5-6   73.94%     34.59%     34.26%     3.94%   
                     0123-4-56   62.50%     48.85%     38.07%     13.19%  
                     0123-45-6   61.17%     36.00%     32.98%     6.15%   
                     0-12345-6   57.71%     38.53%     36.85%     8.15%   
                     012-345-6   55.32%     39.13%     35.20%     10.61%  
                     012-3-456   55.05%     41.71%     35.90%     11.61%  
                     012-34-56   54.52%     44.35%     37.56%     13.32%  
                     0-1234-56   53.72%     44.97%     40.60%     14.05%  
                     01-2345-6   50.80%     37.80%     37.72%     12.46%  
                     01-234-56   47.87%     42.87%     40.31%     14.99%  
                     01-2-3456   45.74%     43.90%     39.07%     15.71%  
                     0-1-23456   45.48%     46.67%     41.35%     18.17%  
                     0-123-456   45.21%     47.78%     40.06%     16.61%  
                     01-23-456   44.95%     44.25%     39.68%     15.58%  
                     0-12-3456   41.22%     48.36%     39.91%     17.47%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     0123-4-56   62.50%     48.85%     38.07%     13.19%  
                     0-12-3456   41.22%     48.36%     39.91%     17.47%  
                     0-123-456   45.21%     47.78%     40.06%     16.61%  
                     0-1-23456   45.48%     46.67%     41.35%     18.17%  
                     0-1234-56   53.72%     44.97%     40.60%     14.05%  
                     012-34-56   54.52%     44.35%     37.56%     13.32%  
                     01-23-456   44.95%     44.25%     39.68%     15.58%  
                     01-2-3456   45.74%     43.90%     39.07%     15.71%  
                     01-234-56   47.87%     42.87%     40.31%     14.99%  
                     012-3-456   55.05%     41.71%     35.90%     11.61%  
                     012-345-6   55.32%     39.13%     35.20%     10.61%  
                     0-12345-6   57.71%     38.53%     36.85%     8.15%   
                     01-2345-6   50.80%     37.80%     37.72%     12.46%  
                     0123-45-6   61.17%     36.00%     32.98%     6.15%   
                     01234-5-6   73.94%     34.59%     34.26%     3.94%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     0-1-23456   45.48%     46.67%     41.35%     18.17%  
                     0-1234-56   53.72%     44.97%     40.60%     14.05%  
                     01-234-56   47.87%     42.87%     40.31%     14.99%  
                     0-123-456   45.21%     47.78%     40.06%     16.61%  
                     0-12-3456   41.22%     48.36%     39.91%     17.47%  
                     01-23-456   44.95%     44.25%     39.68%     15.58%  
                     01-2-3456   45.74%     43.90%     39.07%     15.71%  
                     0123-4-56   62.50%     48.85%     38.07%     13.19%  
                     01-2345-6   50.80%     37.80%     37.72%     12.46%  
                     012-34-56   54.52%     44.35%     37.56%     13.32%  
                     0-12345-6   57.71%     38.53%     36.85%     8.15%   
                     012-3-456   55.05%     41.71%     35.90%     11.61%  
                     012-345-6   55.32%     39.13%     35.20%     10.61%  
                     01234-5-6   73.94%     34.59%     34.26%     3.94%   
                     0123-45-6   61.17%     36.00%     32.98%     6.15%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                     0-1-23456   45.48%     46.67%     41.35%     18.17%  
                     0-12-3456   41.22%     48.36%     39.91%     17.47%  
                     0-123-456   45.21%     47.78%     40.06%     16.61%  
                     01-2-3456   45.74%     43.90%     39.07%     15.71%  
                     01-23-456   44.95%     44.25%     39.68%     15.58%  
                     01-234-56   47.87%     42.87%     40.31%     14.99%  
                     0-1234-56   53.72%     44.97%     40.60%     14.05%  
                     012-34-56   54.52%     44.35%     37.56%     13.32%  
                     0123-4-56   62.50%     48.85%     38.07%     13.19%  
                     01-2345-6   50.80%     37.80%     37.72%     12.46%  
                     012-3-456   55.05%     41.71%     35.90%     11.61%  
                     012-345-6   55.32%     39.13%     35.20%     10.61%  
                     0-12345-6   57.71%     38.53%     36.85%     8.15%   
                     0123-45-6   61.17%     36.00%     32.98%     6.15%   
                     01234-5-6   73.94%     34.59%     34.26%     3.94%   
