name,overall,average,f1,mcc
0-1-23-4-56,0.28191489361702127,0.3495412187142214,0.2662918560536817,0.12784708107137627
0-12-3-4-56,0.34574468085106386,0.34760888234572446,0.2605692535628081,0.1270010863574497
0-123-4-5-6,0.4148936170212766,0.3281162985640353,0.2594249483831091,0.12055628768559842
01-2-3-4-56,0.39095744680851063,0.320862509063099,0.25551874851230305,0.11643090813312244
01-23-4-5-6,0.4122340425531915,0.30693150058373725,0.2571844797698348,0.11438152588408487
0-1-2-34-56,0.26063829787234044,0.31227644585074305,0.25265271982919046,0.1098662679991034
0-12-34-5-6,0.34574468085106386,0.2964131010028843,0.24859584859584855,0.10697089103613924
0-1-2-3-456,0.26595744680851063,0.29643720235192506,0.24269145667815234,0.0996246964302795
01-2-34-5-6,0.39095744680851063,0.26966672772025885,0.2435453435453435,0.09640071281181199
0-1-234-5-6,0.31648936170212766,0.27420334429724935,0.2480956229820172,0.09402686905419066
0-1-2-345-6,0.26861702127659576,0.2809418737142841,0.2385382296681886,0.0936346676278939
012-3-4-5-6,0.5132978723404256,0.291679222769949,0.23445347391761664,0.09056336346565326
0-1-23-45-6,0.26861702127659576,0.27240290004364465,0.23579328943271696,0.08558826169281179
0-12-3-45-6,0.3324468085106383,0.2704705636751477,0.23007068694184335,0.0847422669788852
01-2-3-45-6,0.3776595744680851,0.2437241903925223,0.2250201818913383,0.07417208875455794
