                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   51.33%     29.17%     23.45%     9.06%   
                   016-2-3-4-5   46.28%     31.70%     25.99%     10.58%  
                   014-2-3-5-6   45.48%     23.30%     22.85%     6.26%   
                   013-2-4-5-6   43.35%     29.20%     24.03%     8.75%   
                   01-26-3-4-5   42.55%     33.15%     27.43%     12.99%  
                   01-23-4-5-6   41.22%     30.69%     25.72%     11.44%  
                   015-2-3-4-6   40.96%     27.89%     22.87%     7.72%   
                   01-24-3-5-6   40.96%     24.54%     24.03%     8.14%   
                   01-25-3-4-6   39.63%     28.96%     24.13%     9.76%   
                   01-2-35-4-6   39.63%     31.73%     26.06%     12.18%  
                   01-2-3-46-5   39.36%     29.56%     25.15%     10.97%  
                   01-2-34-5-6   39.10%     26.97%     24.35%     9.64%   
                   01-2-3-4-56   39.10%     32.09%     25.55%     11.64%  
                   01-2-36-4-5   38.30%     30.51%     24.97%     10.61%  
                   01-2-3-45-6   37.77%     24.37%     22.50%     7.42%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-26-3-4-5   42.55%     33.15%     27.43%     12.99%  
                   01-2-3-4-56   39.10%     32.09%     25.55%     11.64%  
                   01-2-35-4-6   39.63%     31.73%     26.06%     12.18%  
                   016-2-3-4-5   46.28%     31.70%     25.99%     10.58%  
                   01-23-4-5-6   41.22%     30.69%     25.72%     11.44%  
                   01-2-36-4-5   38.30%     30.51%     24.97%     10.61%  
                   01-2-3-46-5   39.36%     29.56%     25.15%     10.97%  
                   013-2-4-5-6   43.35%     29.20%     24.03%     8.75%   
                   012-3-4-5-6   51.33%     29.17%     23.45%     9.06%   
                   01-25-3-4-6   39.63%     28.96%     24.13%     9.76%   
                   015-2-3-4-6   40.96%     27.89%     22.87%     7.72%   
                   01-2-34-5-6   39.10%     26.97%     24.35%     9.64%   
                   01-24-3-5-6   40.96%     24.54%     24.03%     8.14%   
                   01-2-3-45-6   37.77%     24.37%     22.50%     7.42%   
                   014-2-3-5-6   45.48%     23.30%     22.85%     6.26%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-26-3-4-5   42.55%     33.15%     27.43%     12.99%  
                   01-2-35-4-6   39.63%     31.73%     26.06%     12.18%  
                   016-2-3-4-5   46.28%     31.70%     25.99%     10.58%  
                   01-23-4-5-6   41.22%     30.69%     25.72%     11.44%  
                   01-2-3-4-56   39.10%     32.09%     25.55%     11.64%  
                   01-2-3-46-5   39.36%     29.56%     25.15%     10.97%  
                   01-2-36-4-5   38.30%     30.51%     24.97%     10.61%  
                   01-2-34-5-6   39.10%     26.97%     24.35%     9.64%   
                   01-25-3-4-6   39.63%     28.96%     24.13%     9.76%   
                   013-2-4-5-6   43.35%     29.20%     24.03%     8.75%   
                   01-24-3-5-6   40.96%     24.54%     24.03%     8.14%   
                   012-3-4-5-6   51.33%     29.17%     23.45%     9.06%   
                   015-2-3-4-6   40.96%     27.89%     22.87%     7.72%   
                   014-2-3-5-6   45.48%     23.30%     22.85%     6.26%   
                   01-2-3-45-6   37.77%     24.37%     22.50%     7.42%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-26-3-4-5   42.55%     33.15%     27.43%     12.99%  
                   01-2-35-4-6   39.63%     31.73%     26.06%     12.18%  
                   01-2-3-4-56   39.10%     32.09%     25.55%     11.64%  
                   01-23-4-5-6   41.22%     30.69%     25.72%     11.44%  
                   01-2-3-46-5   39.36%     29.56%     25.15%     10.97%  
                   01-2-36-4-5   38.30%     30.51%     24.97%     10.61%  
                   016-2-3-4-5   46.28%     31.70%     25.99%     10.58%  
                   01-25-3-4-6   39.63%     28.96%     24.13%     9.76%   
                   01-2-34-5-6   39.10%     26.97%     24.35%     9.64%   
                   012-3-4-5-6   51.33%     29.17%     23.45%     9.06%   
                   013-2-4-5-6   43.35%     29.20%     24.03%     8.75%   
                   01-24-3-5-6   40.96%     24.54%     24.03%     8.14%   
                   015-2-3-4-6   40.96%     27.89%     22.87%     7.72%   
                   01-2-3-45-6   37.77%     24.37%     22.50%     7.42%   
                   014-2-3-5-6   45.48%     23.30%     22.85%     6.26%   
