                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                      012356-4   83.41%     54.36%     51.50%     5.67%   
                      012346-5   82.76%     50.71%     50.12%     1.10%   
                      012456-3   82.04%     51.04%     50.37%     1.62%   
                      0-123456   81.03%     63.20%     54.38%     15.33%  
                      013456-2   74.07%     51.77%     51.54%     4.33%   
                      012345-6   70.33%     55.76%     55.53%     14.82%  
                      023456-1   70.33%     56.68%     56.90%     15.92%  
                      01246-35   69.83%     53.97%     52.16%     6.41%   
                      01236-45   69.47%     52.79%     50.41%     4.17%   
                      01256-34   69.47%     54.16%     51.38%     6.26%   
                      01-23456   67.31%     63.79%     63.52%     27.12%  
                      05-12346   66.95%     55.10%     50.78%     7.25%   
                      04-12356   66.45%     55.75%     49.84%     7.58%   
                      03-12456   65.95%     54.03%     50.13%     5.78%   
                      01356-24   64.66%     53.35%     53.32%     6.64%   
                      01234-56   64.44%     58.09%     58.22%     17.51%  
                      01456-23   63.86%     52.96%     53.01%     6.09%   
                      01346-25   63.15%     51.45%     51.46%     3.00%   
                      01235-46   62.50%     55.77%     55.86%     12.12%  
                      01245-36   62.14%     55.94%     55.92%     12.80%  
                      02-13456   61.71%     52.52%     52.20%     4.76%   
                      02356-14   61.64%     55.51%     55.58%     11.22%  
                      0124-356   61.28%     59.86%     59.91%     19.94%  
                      012-3456   60.78%     60.94%     60.78%     21.89%  
                      014-2356   60.63%     60.96%     59.92%     21.28%  
                      0126-345   60.56%     55.79%     52.17%     9.41%   
                      0123-456   59.91%     58.29%     58.30%     16.60%  
                      02456-13   58.84%     52.86%     52.82%     5.97%   
                      013-2456   58.69%     58.61%     58.07%     16.88%  
                      06-12345   58.69%     53.23%     53.25%     6.51%   
                      015-2346   58.55%     58.34%     57.82%     16.34%  
                      0156-234   58.48%     55.04%     54.62%     9.70%   
                      02346-15   58.41%     52.00%     51.93%     4.19%   
                      0125-346   58.33%     56.83%     56.83%     13.65%  
                      0146-235   57.97%     54.27%     54.13%     8.37%   
                      03456-12   57.18%     55.99%     54.57%     13.19%  
                      0136-245   57.04%     53.07%     52.74%     5.90%   
                      035-1246   56.90%     54.42%     49.97%     7.08%   
                      0134-256   56.03%     57.19%     55.83%     14.71%  
                      056-1234   55.96%     55.12%     54.95%     10.11%  
                      016-2345   55.89%     56.34%     55.44%     12.38%  
                      0356-124   55.68%     56.04%     55.56%     12.21%  
