                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   39.66%     26.04%     24.63%     9.02%   
                   0-126-3-4-5   39.44%     27.72%     21.92%     6.20%   
                   016-2-3-4-5   39.08%     23.87%     22.22%     5.02%   
                   0-1-256-3-4   36.42%     30.28%     25.62%     10.65%  
                   0-1-236-4-5   36.35%     30.00%     25.35%     10.20%  
                   0-124-3-5-6   35.92%     28.46%     24.64%     9.02%   
                   0-146-2-3-5   35.78%     26.68%     22.53%     5.63%   
                   0-156-2-3-4   35.78%     28.03%     22.90%     6.50%   
                   01-2-3-4-56   35.63%     28.42%     27.05%     11.25%  
                   0-1-246-3-5   35.56%     28.64%     24.89%     9.08%   
                   0-136-2-4-5   35.56%     27.72%     22.59%     5.89%   
                   01-26-3-4-5   35.56%     26.97%     24.90%     9.18%   
                   0-123-4-5-6   35.49%     29.34%     24.58%     9.09%   
                   0-1-2-356-4   35.06%     31.43%     27.11%     12.24%  
                   014-2-3-5-6   34.91%     25.59%     24.69%     8.63%   
                   01-2-36-4-5   34.84%     27.74%     26.31%     10.20%  
                   013-2-4-5-6   34.63%     26.21%     24.66%     8.56%   
                   026-1-3-4-5   34.55%     24.42%     22.98%     5.23%   
                   01-2-3-46-5   34.34%     26.47%     25.90%     9.26%   
                   0-125-3-4-6   34.20%     29.12%     24.27%     8.42%   
                   015-2-3-4-6   34.20%     26.28%     24.71%     8.55%   
                   0-12-3-4-56   34.05%     30.41%     25.63%     10.66%  
                   01-23-4-5-6   33.84%     28.15%     26.80%     10.96%  
                   0-1-2-3-456   33.69%     29.87%     26.33%     10.76%  
                   01-24-3-5-6   33.55%     27.03%     26.49%     10.26%  
                   0-1-2-346-5   33.26%     29.39%     25.88%     10.07%  
                   0-12-36-4-5   33.26%     29.72%     24.90%     9.62%   
                   01-25-3-4-6   33.12%     27.83%     26.43%     10.44%  
                   056-1-2-3-4   32.90%     25.77%     24.48%     7.53%   
                   0-12-3-46-5   32.76%     28.45%     24.48%     8.67%   
                   01-2-35-4-6   32.47%     28.96%     27.08%     11.67%  
                   06-12-3-4-5   32.04%     24.43%     22.72%     5.62%   
                   01-2-34-5-6   31.97%     27.66%     26.33%     10.73%  
                   036-1-2-4-5   31.97%     25.04%     23.82%     6.42%   
                   0-14-2-3-56   31.61%     29.54%     26.00%     10.00%  
                   01-2-3-45-6   31.61%     27.30%     26.10%     10.41%  
                   0-1-23-4-56   31.54%     31.56%     27.41%     12.10%  
                   0-1-235-4-6   31.54%     31.38%     27.05%     12.02%  
                   0-14-26-3-5   31.54%     28.09%     23.86%     7.94%   
                   0-1-234-5-6   31.47%     30.23%     26.68%     11.38%  
                   0-16-23-4-5   31.32%     28.44%     23.18%     7.23%   
                   0-1-24-3-56   31.25%     30.43%     27.10%     11.40%  
                   0-134-2-5-6   31.18%     28.19%     24.52%     8.27%   
                   0-16-24-3-5   31.03%     27.31%     22.87%     6.53%   
                   046-1-2-3-5   31.03%     23.67%     23.25%     5.41%   
                   02-1-3-4-56   30.96%     26.84%     25.74%     9.09%   
                   0-12-35-4-6   30.89%     30.94%     25.66%     11.09%  
                   0-13-2-4-56   30.89%     30.07%     25.65%     9.76%   
                   0-13-26-4-5   30.82%     28.62%     23.51%     7.70%   
                   0-14-2-36-5   30.82%     28.85%     25.27%     8.96%   
                   02-16-3-4-5   30.75%     23.72%     21.51%     4.22%   
                   0-16-25-3-4   30.60%     28.12%     22.81%     6.71%   
                   023-1-4-5-6   30.60%     26.12%     24.85%     8.35%   
                   0-1-24-36-5   30.46%     29.75%     26.36%     10.36%  
                   0-1-245-3-6   30.39%     29.82%     26.29%     10.72%  
                   0-12-34-5-6   30.39%     29.64%     24.91%     10.14%  
                   0-135-2-4-6   30.39%     29.01%     24.49%     8.26%   
                   0-1-23-46-5   30.24%     29.61%     26.26%     10.12%  
                   0-145-2-3-6   30.24%     27.98%     24.29%     7.83%   
