                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   39.66%     26.04%     24.63%     9.02%   
                   01-2-3-4-56   35.63%     28.42%     27.05%     11.25%  
                   0-123-4-5-6   35.49%     29.34%     24.58%     9.09%   
                   0-12-3-4-56   34.05%     30.41%     25.63%     10.66%  
                   01-23-4-5-6   33.84%     28.15%     26.80%     10.96%  
                   0-1-2-3-456   33.69%     29.87%     26.33%     10.76%  
                   01-2-34-5-6   31.97%     27.66%     26.33%     10.73%  
                   01-2-3-45-6   31.61%     27.30%     26.10%     10.41%  
                   0-1-23-4-56   31.54%     31.56%     27.41%     12.10%  
                   0-1-234-5-6   31.47%     30.23%     26.68%     11.38%  
                   0-12-34-5-6   30.39%     29.64%     24.91%     10.14%  
                   0-12-3-45-6   30.03%     29.29%     24.69%     9.83%   
                   0-1-2-34-56   29.67%     31.07%     26.94%     11.87%  
                   0-1-2-345-6   28.16%     31.03%     26.58%     11.96%  
                   0-1-23-45-6   27.51%     30.44%     26.47%     11.27%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   31.54%     31.56%     27.41%     12.10%  
                   0-1-2-34-56   29.67%     31.07%     26.94%     11.87%  
                   0-1-2-345-6   28.16%     31.03%     26.58%     11.96%  
                   0-1-23-45-6   27.51%     30.44%     26.47%     11.27%  
                   0-12-3-4-56   34.05%     30.41%     25.63%     10.66%  
                   0-1-234-5-6   31.47%     30.23%     26.68%     11.38%  
                   0-1-2-3-456   33.69%     29.87%     26.33%     10.76%  
                   0-12-34-5-6   30.39%     29.64%     24.91%     10.14%  
                   0-123-4-5-6   35.49%     29.34%     24.58%     9.09%   
                   0-12-3-45-6   30.03%     29.29%     24.69%     9.83%   
                   01-2-3-4-56   35.63%     28.42%     27.05%     11.25%  
                   01-23-4-5-6   33.84%     28.15%     26.80%     10.96%  
                   01-2-34-5-6   31.97%     27.66%     26.33%     10.73%  
                   01-2-3-45-6   31.61%     27.30%     26.10%     10.41%  
                   012-3-4-5-6   39.66%     26.04%     24.63%     9.02%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   31.54%     31.56%     27.41%     12.10%  
                   01-2-3-4-56   35.63%     28.42%     27.05%     11.25%  
                   0-1-2-34-56   29.67%     31.07%     26.94%     11.87%  
                   01-23-4-5-6   33.84%     28.15%     26.80%     10.96%  
                   0-1-234-5-6   31.47%     30.23%     26.68%     11.38%  
                   0-1-2-345-6   28.16%     31.03%     26.58%     11.96%  
                   0-1-23-45-6   27.51%     30.44%     26.47%     11.27%  
                   0-1-2-3-456   33.69%     29.87%     26.33%     10.76%  
                   01-2-34-5-6   31.97%     27.66%     26.33%     10.73%  
                   01-2-3-45-6   31.61%     27.30%     26.10%     10.41%  
                   0-12-3-4-56   34.05%     30.41%     25.63%     10.66%  
                   0-12-34-5-6   30.39%     29.64%     24.91%     10.14%  
                   0-12-3-45-6   30.03%     29.29%     24.69%     9.83%   
                   012-3-4-5-6   39.66%     26.04%     24.63%     9.02%   
                   0-123-4-5-6   35.49%     29.34%     24.58%     9.09%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   31.54%     31.56%     27.41%     12.10%  
                   0-1-2-345-6   28.16%     31.03%     26.58%     11.96%  
                   0-1-2-34-56   29.67%     31.07%     26.94%     11.87%  
                   0-1-234-5-6   31.47%     30.23%     26.68%     11.38%  
                   0-1-23-45-6   27.51%     30.44%     26.47%     11.27%  
                   01-2-3-4-56   35.63%     28.42%     27.05%     11.25%  
                   01-23-4-5-6   33.84%     28.15%     26.80%     10.96%  
                   0-1-2-3-456   33.69%     29.87%     26.33%     10.76%  
                   01-2-34-5-6   31.97%     27.66%     26.33%     10.73%  
                   0-12-3-4-56   34.05%     30.41%     25.63%     10.66%  
                   01-2-3-45-6   31.61%     27.30%     26.10%     10.41%  
                   0-12-34-5-6   30.39%     29.64%     24.91%     10.14%  
                   0-12-3-45-6   30.03%     29.29%     24.69%     9.83%   
                   0-123-4-5-6   35.49%     29.34%     24.58%     9.09%   
                   012-3-4-5-6   39.66%     26.04%     24.63%     9.02%   
