                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-2356-4   47.70%     37.82%     32.45%     14.55%  
                    0-1356-2-4   46.41%     34.37%     28.46%     7.39%   
                    0-1-2-3456   43.10%     37.25%     32.95%     14.37%  
                    01-2-356-4   43.03%     35.26%     33.73%     14.26%  
                    0356-1-2-4   41.74%     31.78%     30.34%     9.53%   
                    0-12-356-4   41.45%     37.74%     31.96%     13.54%  
                    0-14-2-356   39.01%     36.66%     32.43%     12.71%  
                    0-1-24-356   38.65%     37.77%     33.80%     14.46%  
                    02-1-356-4   38.36%     33.28%     32.10%     11.57%  
                    04-1-2-356   36.06%     33.55%     31.21%     11.94%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-2356-4   47.70%     37.82%     32.45%     14.55%  
                    0-1-24-356   38.65%     37.77%     33.80%     14.46%  
                    0-12-356-4   41.45%     37.74%     31.96%     13.54%  
                    0-1-2-3456   43.10%     37.25%     32.95%     14.37%  
                    0-14-2-356   39.01%     36.66%     32.43%     12.71%  
                    01-2-356-4   43.03%     35.26%     33.73%     14.26%  
                    0-1356-2-4   46.41%     34.37%     28.46%     7.39%   
                    04-1-2-356   36.06%     33.55%     31.21%     11.94%  
                    02-1-356-4   38.36%     33.28%     32.10%     11.57%  
                    0356-1-2-4   41.74%     31.78%     30.34%     9.53%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-24-356   38.65%     37.77%     33.80%     14.46%  
                    01-2-356-4   43.03%     35.26%     33.73%     14.26%  
                    0-1-2-3456   43.10%     37.25%     32.95%     14.37%  
                    0-1-2356-4   47.70%     37.82%     32.45%     14.55%  
                    0-14-2-356   39.01%     36.66%     32.43%     12.71%  
                    02-1-356-4   38.36%     33.28%     32.10%     11.57%  
                    0-12-356-4   41.45%     37.74%     31.96%     13.54%  
                    04-1-2-356   36.06%     33.55%     31.21%     11.94%  
                    0356-1-2-4   41.74%     31.78%     30.34%     9.53%   
                    0-1356-2-4   46.41%     34.37%     28.46%     7.39%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-2356-4   47.70%     37.82%     32.45%     14.55%  
                    0-1-24-356   38.65%     37.77%     33.80%     14.46%  
                    0-1-2-3456   43.10%     37.25%     32.95%     14.37%  
                    01-2-356-4   43.03%     35.26%     33.73%     14.26%  
                    0-12-356-4   41.45%     37.74%     31.96%     13.54%  
                    0-14-2-356   39.01%     36.66%     32.43%     12.71%  
                    04-1-2-356   36.06%     33.55%     31.21%     11.94%  
                    02-1-356-4   38.36%     33.28%     32.10%     11.57%  
                    0356-1-2-4   41.74%     31.78%     30.34%     9.53%   
                    0-1356-2-4   46.41%     34.37%     28.46%     7.39%   
