                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-2-356-4   35.06%     31.43%     27.11%     12.24%  
                   01-2-35-4-6   32.47%     28.96%     27.08%     11.67%  
                   0-1-235-4-6   31.54%     31.38%     27.05%     12.02%  
                   0-12-35-4-6   30.89%     30.94%     25.66%     11.09%  
                   0-135-2-4-6   30.39%     29.01%     24.49%     8.26%   
                   0-1-26-35-4   30.10%     30.91%     25.54%     10.75%  
                   0-16-2-35-4   29.96%     29.24%     23.46%     7.94%   
                   0-1-2-35-46   28.88%     30.41%     26.54%     10.82%  
                   0-14-2-35-6   28.45%     30.07%     26.03%     10.42%  
                   06-1-2-35-4   28.16%     26.39%     24.78%     7.77%   
                   0-1-2-345-6   28.16%     31.03%     26.58%     11.96%  
                   0-1-24-35-6   28.09%     30.96%     27.13%     11.83%  
                   02-1-35-4-6   27.80%     27.37%     25.77%     9.52%   
                   035-1-2-4-6   27.51%     27.24%     24.95%     9.56%   
                   04-1-2-35-6   25.50%     27.58%     25.06%     9.81%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-2-356-4   35.06%     31.43%     27.11%     12.24%  
                   0-1-235-4-6   31.54%     31.38%     27.05%     12.02%  
                   0-1-2-345-6   28.16%     31.03%     26.58%     11.96%  
                   0-1-24-35-6   28.09%     30.96%     27.13%     11.83%  
                   0-12-35-4-6   30.89%     30.94%     25.66%     11.09%  
                   0-1-26-35-4   30.10%     30.91%     25.54%     10.75%  
                   0-1-2-35-46   28.88%     30.41%     26.54%     10.82%  
                   0-14-2-35-6   28.45%     30.07%     26.03%     10.42%  
                   0-16-2-35-4   29.96%     29.24%     23.46%     7.94%   
                   0-135-2-4-6   30.39%     29.01%     24.49%     8.26%   
                   01-2-35-4-6   32.47%     28.96%     27.08%     11.67%  
                   04-1-2-35-6   25.50%     27.58%     25.06%     9.81%   
                   02-1-35-4-6   27.80%     27.37%     25.77%     9.52%   
                   035-1-2-4-6   27.51%     27.24%     24.95%     9.56%   
                   06-1-2-35-4   28.16%     26.39%     24.78%     7.77%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-24-35-6   28.09%     30.96%     27.13%     11.83%  
                   0-1-2-356-4   35.06%     31.43%     27.11%     12.24%  
                   01-2-35-4-6   32.47%     28.96%     27.08%     11.67%  
                   0-1-235-4-6   31.54%     31.38%     27.05%     12.02%  
                   0-1-2-345-6   28.16%     31.03%     26.58%     11.96%  
                   0-1-2-35-46   28.88%     30.41%     26.54%     10.82%  
                   0-14-2-35-6   28.45%     30.07%     26.03%     10.42%  
                   02-1-35-4-6   27.80%     27.37%     25.77%     9.52%   
                   0-12-35-4-6   30.89%     30.94%     25.66%     11.09%  
                   0-1-26-35-4   30.10%     30.91%     25.54%     10.75%  
                   04-1-2-35-6   25.50%     27.58%     25.06%     9.81%   
                   035-1-2-4-6   27.51%     27.24%     24.95%     9.56%   
                   06-1-2-35-4   28.16%     26.39%     24.78%     7.77%   
                   0-135-2-4-6   30.39%     29.01%     24.49%     8.26%   
                   0-16-2-35-4   29.96%     29.24%     23.46%     7.94%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-2-356-4   35.06%     31.43%     27.11%     12.24%  
                   0-1-235-4-6   31.54%     31.38%     27.05%     12.02%  
                   0-1-2-345-6   28.16%     31.03%     26.58%     11.96%  
                   0-1-24-35-6   28.09%     30.96%     27.13%     11.83%  
                   01-2-35-4-6   32.47%     28.96%     27.08%     11.67%  
                   0-12-35-4-6   30.89%     30.94%     25.66%     11.09%  
                   0-1-2-35-46   28.88%     30.41%     26.54%     10.82%  
                   0-1-26-35-4   30.10%     30.91%     25.54%     10.75%  
                   0-14-2-35-6   28.45%     30.07%     26.03%     10.42%  
                   04-1-2-35-6   25.50%     27.58%     25.06%     9.81%   
                   035-1-2-4-6   27.51%     27.24%     24.95%     9.56%   
                   02-1-35-4-6   27.80%     27.37%     25.77%     9.52%   
                   0-135-2-4-6   30.39%     29.01%     24.49%     8.26%   
                   0-16-2-35-4   29.96%     29.24%     23.46%     7.94%   
                   06-1-2-35-4   28.16%     26.39%     24.78%     7.77%   
