                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                  01-2-3-4-5-6   29.96%     23.53%     22.13%     9.11%   
                  0-12-3-4-5-6   28.38%     25.19%     20.95%     8.62%   
                  0-1-2-3-4-56   27.66%     26.37%     22.64%     10.06%  
                  0-1-26-3-4-5   27.59%     25.17%     20.86%     8.34%   
                  0-16-2-3-4-5   27.44%     23.77%     19.12%     6.00%   
                  0-1-2-36-4-5   26.87%     25.80%     22.03%     9.19%   
                  0-1-2-3-46-5   26.36%     24.74%     21.68%     8.40%   
                  0-14-2-3-5-6   25.93%     24.47%     21.26%     8.07%   
                  0-1-23-4-5-6   25.86%     26.15%     22.43%     9.82%   
                  06-1-2-3-4-5   25.65%     21.39%     20.22%     5.86%   
                  0-1-24-3-5-6   25.57%     25.21%     22.17%     9.24%   
                  02-1-3-4-5-6   25.29%     22.21%     21.04%     7.31%   
                  0-13-2-4-5-6   25.22%     24.91%     20.97%     7.87%   
                  0-1-25-3-4-6   25.14%     25.88%     22.13%     9.39%   
                  0-15-2-3-4-6   24.64%     24.82%     20.84%     7.66%   
                  0-1-2-35-4-6   24.50%     26.82%     22.67%     10.41%  
                  0-1-2-34-5-6   23.99%     25.74%     22.04%     9.63%   
                  0-1-2-3-45-6   23.64%     25.44%     21.85%     9.36%   
                  05-1-2-3-4-6   23.56%     23.33%     21.11%     8.27%   
                  03-1-2-4-5-6   23.42%     22.91%     20.87%     7.94%   
                  04-1-2-3-5-6   22.99%     22.39%     20.45%     7.56%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                  0-1-2-35-4-6   24.50%     26.82%     22.67%     10.41%  
                  0-1-2-3-4-56   27.66%     26.37%     22.64%     10.06%  
                  0-1-23-4-5-6   25.86%     26.15%     22.43%     9.82%   
                  0-1-25-3-4-6   25.14%     25.88%     22.13%     9.39%   
                  0-1-2-36-4-5   26.87%     25.80%     22.03%     9.19%   
                  0-1-2-34-5-6   23.99%     25.74%     22.04%     9.63%   
                  0-1-2-3-45-6   23.64%     25.44%     21.85%     9.36%   
                  0-1-24-3-5-6   25.57%     25.21%     22.17%     9.24%   
                  0-12-3-4-5-6   28.38%     25.19%     20.95%     8.62%   
                  0-1-26-3-4-5   27.59%     25.17%     20.86%     8.34%   
                  0-13-2-4-5-6   25.22%     24.91%     20.97%     7.87%   
                  0-15-2-3-4-6   24.64%     24.82%     20.84%     7.66%   
                  0-1-2-3-46-5   26.36%     24.74%     21.68%     8.40%   
                  0-14-2-3-5-6   25.93%     24.47%     21.26%     8.07%   
                  0-16-2-3-4-5   27.44%     23.77%     19.12%     6.00%   
                  01-2-3-4-5-6   29.96%     23.53%     22.13%     9.11%   
                  05-1-2-3-4-6   23.56%     23.33%     21.11%     8.27%   
                  03-1-2-4-5-6   23.42%     22.91%     20.87%     7.94%   
                  04-1-2-3-5-6   22.99%     22.39%     20.45%     7.56%   
                  02-1-3-4-5-6   25.29%     22.21%     21.04%     7.31%   
                  06-1-2-3-4-5   25.65%     21.39%     20.22%     5.86%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                  0-1-2-35-4-6   24.50%     26.82%     22.67%     10.41%  
                  0-1-2-3-4-56   27.66%     26.37%     22.64%     10.06%  
                  0-1-23-4-5-6   25.86%     26.15%     22.43%     9.82%   
                  0-1-24-3-5-6   25.57%     25.21%     22.17%     9.24%   
                  01-2-3-4-5-6   29.96%     23.53%     22.13%     9.11%   
                  0-1-25-3-4-6   25.14%     25.88%     22.13%     9.39%   
                  0-1-2-34-5-6   23.99%     25.74%     22.04%     9.63%   
                  0-1-2-36-4-5   26.87%     25.80%     22.03%     9.19%   
                  0-1-2-3-45-6   23.64%     25.44%     21.85%     9.36%   
                  0-1-2-3-46-5   26.36%     24.74%     21.68%     8.40%   
                  0-14-2-3-5-6   25.93%     24.47%     21.26%     8.07%   
                  05-1-2-3-4-6   23.56%     23.33%     21.11%     8.27%   
                  02-1-3-4-5-6   25.29%     22.21%     21.04%     7.31%   
                  0-13-2-4-5-6   25.22%     24.91%     20.97%     7.87%   
                  0-12-3-4-5-6   28.38%     25.19%     20.95%     8.62%   
                  03-1-2-4-5-6   23.42%     22.91%     20.87%     7.94%   
                  0-1-26-3-4-5   27.59%     25.17%     20.86%     8.34%   
                  0-15-2-3-4-6   24.64%     24.82%     20.84%     7.66%   
                  04-1-2-3-5-6   22.99%     22.39%     20.45%     7.56%   
                  06-1-2-3-4-5   25.65%     21.39%     20.22%     5.86%   
                  0-16-2-3-4-5   27.44%     23.77%     19.12%     6.00%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                  0-1-2-35-4-6   24.50%     26.82%     22.67%     10.41%  
                  0-1-2-3-4-56   27.66%     26.37%     22.64%     10.06%  
                  0-1-23-4-5-6   25.86%     26.15%     22.43%     9.82%   
                  0-1-2-34-5-6   23.99%     25.74%     22.04%     9.63%   
                  0-1-25-3-4-6   25.14%     25.88%     22.13%     9.39%   
                  0-1-2-3-45-6   23.64%     25.44%     21.85%     9.36%   
                  0-1-24-3-5-6   25.57%     25.21%     22.17%     9.24%   
                  0-1-2-36-4-5   26.87%     25.80%     22.03%     9.19%   
                  01-2-3-4-5-6   29.96%     23.53%     22.13%     9.11%   
                  0-12-3-4-5-6   28.38%     25.19%     20.95%     8.62%   
                  0-1-2-3-46-5   26.36%     24.74%     21.68%     8.40%   
