                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   39.66%     26.04%     24.63%     9.02%   
                   016-2-3-4-5   39.08%     23.87%     22.22%     5.02%   
                   01-2-3-4-56   35.63%     28.42%     27.05%     11.25%  
                   01-26-3-4-5   35.56%     26.97%     24.90%     9.18%   
                   014-2-3-5-6   34.91%     25.59%     24.69%     8.63%   
                   01-2-36-4-5   34.84%     27.74%     26.31%     10.20%  
                   013-2-4-5-6   34.63%     26.21%     24.66%     8.56%   
                   01-2-3-46-5   34.34%     26.47%     25.90%     9.26%   
                   015-2-3-4-6   34.20%     26.28%     24.71%     8.55%   
                   01-23-4-5-6   33.84%     28.15%     26.80%     10.96%  
                   01-24-3-5-6   33.55%     27.03%     26.49%     10.26%  
                   01-25-3-4-6   33.12%     27.83%     26.43%     10.44%  
                   01-2-35-4-6   32.47%     28.96%     27.08%     11.67%  
                   01-2-34-5-6   31.97%     27.66%     26.33%     10.73%  
                   01-2-3-45-6   31.61%     27.30%     26.10%     10.41%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-35-4-6   32.47%     28.96%     27.08%     11.67%  
                   01-2-3-4-56   35.63%     28.42%     27.05%     11.25%  
                   01-23-4-5-6   33.84%     28.15%     26.80%     10.96%  
                   01-25-3-4-6   33.12%     27.83%     26.43%     10.44%  
                   01-2-36-4-5   34.84%     27.74%     26.31%     10.20%  
                   01-2-34-5-6   31.97%     27.66%     26.33%     10.73%  
                   01-2-3-45-6   31.61%     27.30%     26.10%     10.41%  
                   01-24-3-5-6   33.55%     27.03%     26.49%     10.26%  
                   01-26-3-4-5   35.56%     26.97%     24.90%     9.18%   
                   01-2-3-46-5   34.34%     26.47%     25.90%     9.26%   
                   015-2-3-4-6   34.20%     26.28%     24.71%     8.55%   
                   013-2-4-5-6   34.63%     26.21%     24.66%     8.56%   
                   012-3-4-5-6   39.66%     26.04%     24.63%     9.02%   
                   014-2-3-5-6   34.91%     25.59%     24.69%     8.63%   
                   016-2-3-4-5   39.08%     23.87%     22.22%     5.02%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-35-4-6   32.47%     28.96%     27.08%     11.67%  
                   01-2-3-4-56   35.63%     28.42%     27.05%     11.25%  
                   01-23-4-5-6   33.84%     28.15%     26.80%     10.96%  
                   01-24-3-5-6   33.55%     27.03%     26.49%     10.26%  
                   01-25-3-4-6   33.12%     27.83%     26.43%     10.44%  
                   01-2-34-5-6   31.97%     27.66%     26.33%     10.73%  
                   01-2-36-4-5   34.84%     27.74%     26.31%     10.20%  
                   01-2-3-45-6   31.61%     27.30%     26.10%     10.41%  
                   01-2-3-46-5   34.34%     26.47%     25.90%     9.26%   
                   01-26-3-4-5   35.56%     26.97%     24.90%     9.18%   
                   015-2-3-4-6   34.20%     26.28%     24.71%     8.55%   
                   014-2-3-5-6   34.91%     25.59%     24.69%     8.63%   
                   013-2-4-5-6   34.63%     26.21%     24.66%     8.56%   
                   012-3-4-5-6   39.66%     26.04%     24.63%     9.02%   
                   016-2-3-4-5   39.08%     23.87%     22.22%     5.02%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-35-4-6   32.47%     28.96%     27.08%     11.67%  
                   01-2-3-4-56   35.63%     28.42%     27.05%     11.25%  
                   01-23-4-5-6   33.84%     28.15%     26.80%     10.96%  
                   01-2-34-5-6   31.97%     27.66%     26.33%     10.73%  
                   01-25-3-4-6   33.12%     27.83%     26.43%     10.44%  
                   01-2-3-45-6   31.61%     27.30%     26.10%     10.41%  
                   01-24-3-5-6   33.55%     27.03%     26.49%     10.26%  
                   01-2-36-4-5   34.84%     27.74%     26.31%     10.20%  
                   01-2-3-46-5   34.34%     26.47%     25.90%     9.26%   
                   01-26-3-4-5   35.56%     26.97%     24.90%     9.18%   
                   012-3-4-5-6   39.66%     26.04%     24.63%     9.02%   
                   014-2-3-5-6   34.91%     25.59%     24.69%     8.63%   
                   013-2-4-5-6   34.63%     26.21%     24.66%     8.56%   
                   015-2-3-4-6   34.20%     26.28%     24.71%     8.55%   
                   016-2-3-4-5   39.08%     23.87%     22.22%     5.02%   
