character,actual,predicted
1H4_Glendower,0,3
1H4_HenryIV,0,1
1H6_Charles,0,1
1H6_HenryVI,0,1
2H4_HenryIV,0,1
2H6_HenryVI,0,1
2H6_QueenMargaret,0,1
3H6_HenryVI,0,1
3H6_KingLewis,0,1
3H6_QueenMargaret,0,1
AWW_King,0,1
AYL_DukeFrederick,0,5
AYL_DukeSenior,0,3
Ado_DonPedro,0,5
Ant_Antony,0,1
Ant_Cleopatra,0,1
Ant_Lepidus,0,6
Ant_Octavius,0,3
Ant_Pompey,0,5
Cym_Cymbeline,0,5
Cym_Queen,0,5
Err_Duke,0,4
H5_HenryV,0,1
H5_KingOfFrance,0,6
H8_HenryVIII,0,3
H8_Katherine,0,2
Ham_Claudius,0,1
Ham_Gertrude,0,2
JC_Caesar,0,2
Jn_KingJohn,0,1
Jn_KingPhilip,0,6
LLL_King,0,1
LLL_Princess,0,4
Lr_Cordelia,0,5
Lr_Lear,0,5
MM_Duke,0,2
MND_Hippolyta,0,1
MV_Arragon,0,3
MV_Duke,0,6
MV_Morocco,0,2
Mac_Duncan,0,2
Mac_LadyMacbeth,0,4
Mac_Macbeth,0,1
Oth_Duke,0,2
Per_Antiochus,0,1
Per_Cleon,0,4
Per_Dionyza,0,4
Per_Lysimachus,0,4
Per_Pericles,0,1
Per_Simonides,0,2
R2_Queen,0,1
R2_RichardII,0,1
R3_QueenElizabeth,0,3
R3_QueenMargaret,0,1
Rom_PrinceEscalus,0,4
TGV_Duke,0,3
TNK_Hippolyta,0,2
TNK_QUEENS.1,0,4
TNK_QUEENS.2,0,4
TNK_QUEENS.3,0,1
TNK_Theseus,0,6
TN_Orsino,0,1
Tit_Tamora,0,1
Tmp_Alonso,0,1
Tmp_Prospero,0,1
WT_Hermione,0,2
WT_Leontes,0,5
WT_Polixenes,0,1
1H4_Archbishop,1,0
1H4_Douglas,1,0
1H4_HenryV,1,0
1H4_Hotspur,1,0
1H4_LadyPercy,1,2
1H4_Mortimer,1,3
1H4_Vernon,1,0
1H4_Westmoreland,1,2
1H4_Worcester,1,0
1H6_Alanson,1,6
1H6_Bedford,1,0
1H6_Burgundy,1,4
1H6_CardinalBeaufort,1,0
1H6_Countess,1,0
1H6_Exeter,1,0
1H6_Gloucester,1,0
1H6_Mortimer,1,2
1H6_QueenMargaret,1,3
1H6_Reignier,1,0
1H6_Somerset,1,0
1H6_Suffolk,1,0
1H6_Warwick,1,0
1H6_York,1,0
2H4_Archbishop,1,0
2H4_Bedford,1,0
2H4_ChiefJustice,1,4
2H4_Hastings,1,0
2H4_HenryV,1,0
2H4_LadyPercy,1,2
2H4_LordBardolph,1,0
2H4_Mowbray,1,0
2H4_Northumberland,1,0
2H4_Warwick,1,2
2H4_Westmoreland,1,4
2H6_Buckingham,1,0
2H6_CardinalBeaufort,1,0
2H6_Clifford,1,6
2H6_DuchessOfGloucester,1,3
2H6_Gloucester,1,2
2H6_Salisbury,1,2
2H6_Saye,1,2
2H6_Suffolk,1,3
2H6_Warwick,1,0
2H6_York,1,2
2H6_YoungClifford,1,0
3H6_Clarence,1,0
3H6_Clifford,1,3
3H6_EdwardIV,1,0
3H6_Oxford,1,0
3H6_PrinceEdward,1,0
3H6_RichardIII,1,0
3H6_Somerset,1,0
3H6_Warwick,1,0
3H6_York,1,0
AWW_Bertram,1,2
AWW_Countess,1,3
AWW_LORDS.DUMAINE.1,1,5
AWW_LORDS.DUMAINE.2,1,0
AWW_Lafew,1,3
AYL_Celia,1,4
AYL_Jaques,1,3
AYL_LORDS.SENIOR.0.1,1,2
AYL_LORDS.SENIOR.Amiens,1,5
AYL_Rosalind,1,4
Ado_Beatrice,1,2
Ado_Benedick,1,3
Ado_Claudio,1,2
Ado_DonJohn,1,2
Ado_Hero,1,2
Ado_Leonato,1,2
Ado_LeonatosBrother,1,2
Ant_Dolabella,1,5
Ant_Enobarbus,1,5
Cor_Aufidius,1,2
Cor_Cominius,1,2
Cor_Coriolanus,1,6
Cor_Menenius,1,4
Cor_Valeria,1,0
Cor_Volumnia,1,5
Cym_ATTENDANTS.1,1,2
Cym_ATTENDANTS.CLOTEN.2,1,4
Cym_Arviragus,1,5
Cym_Belarius,1,0
Cym_Cloten,1,3
Cym_Guiderius,1,5
Cym_Imogen,1,5
H5_BishopOfCanterbury,1,0
H5_Burgundy,1,3
H5_Dauphin,1,0
H5_Exeter,1,2
H5_Katherine,1,5
H5_Orleans,1,0
H8_Anne,1,4
H8_Buckingham,1,2
H8_Campeius,1,4
H8_Chamberlain,1,4
H8_Cranmer,1,6
H8_Cromwell,1,5
H8_Gardiner,1,6
H8_Norfolk,1,0
H8_Sands,1,2
H8_Suffolk,1,0
H8_Surrey,1,0
H8_Surveyor,1,3
H8_Wolsey,1,2
Ham_Hamlet,1,2
Ham_Laertes,1,2
Ham_Ophelia,1,4
Ham_Polonius,1,2
JC_Antony,1,4
JC_Brutus,1,3
JC_Cassius,1,4
JC_Octavius,1,4
JC_Portia,1,3
Jn_Arthur,1,3
Jn_Bastard,1,0
Jn_Blanche,1,3
Jn_Constance,1,0
Jn_Dauphin,1,0
Jn_Melun,1,2
Jn_Pandulph,1,0
Jn_Pembroke,1,0
Jn_QueenEleanor,1,0
Jn_Salisbury,1,0
LLL_Boyet,1,2
LLL_Katherine,1,4
LLL_Maria,1,0
LLL_Rosaline,1,6
Lr_Albany,1,0
Lr_Cornwall,1,0
Lr_Edgar,1,2
Lr_Edmund,1,3
Lr_Gloucester,1,2
Lr_Goneril,1,6
Lr_Kent,1,6
Lr_Regan,1,4
MM_Angelo,1,2
MM_Escalus,1,4
MND_Demetrius,1,4
MND_Egeus,1,3
MND_Helena,1,4
MND_Hermia,1,5
MND_Lysander,1,2
MND_Theseus,1,2
MV_Portia,1,2
Mac_Banquo,1,4
Mac_LadyMacduff,1,0
Mac_Lennox,1,6
Mac_Macduff,1,0
Mac_Malcolm,1,2
Mac_Ross,1,6
Oth_Brabantio,1,4
Oth_Desdemona,1,2
Oth_Lodovico,1,4
Oth_Montano,1,4
Oth_Othello,1,3
Per_Cerimon,1,0
Per_Helicanus,1,2
Per_Marina,1,3
Per_Thaisa,1,3
R2_Aumerle,1,6
R2_BishopOfCarlisle,1,0
R2_DuchessOfGloucester,1,2
R2_DuchessOfYork,1,5
R2_Gaunt,1,0
R2_HenryIV,1,3
R2_Hotspur,1,3
R2_Mowbray,1,2
R2_Northumberland,1,0
R2_York,1,0
R3_Buckingham,1,0
R3_Clarence,1,2
R3_DuchessOfYork,1,3
R3_EdwardIV,1,4
R3_EdwardV,1,0
R3_Hastings,1,2
R3_HenryVII,1,0
R3_LadyAnne,1,0
R3_RichardIII,1,2
R3_Rivers,1,0
R3_Stanley,1,2
R3_York,1,5
Rom_Benvolio,1,2
Rom_Capulet,1,0
Rom_Juliet,1,2
Rom_LadyCapulet,1,0
Rom_Mercutio,1,0
Rom_Montague,1,2
Rom_Paris,1,5
Rom_Romeo,1,0
Rom_Tybalt,1,0
Shr_Lord,1,0
TGV_Sylvia,1,2
TNK_Arcite,1,3
TNK_Emilia,1,3
TNK_Palamon,1,5
TNK_Pirithous,1,4
TN_Olivia,1,5
Tim_Apemantus,1,5
Tim_FRIENDS.Lucius,1,3
Tim_FRIENDS.Lucullus,1,0
Tit_Bassianus,1,2
Tit_Chiron,1,0
Tit_Demetrius,1,0
Tit_Lavinia,1,2
Tit_Lucius,1,0
Tit_Marcus,1,3
Tit_Martius,1,0
Tit_Saturninus,1,0
Tit_Titus,1,0
Tit_YoungLucius,1,2
Tmp_Antonio,1,4
Tmp_Ferdinand,1,2
Tmp_Miranda,1,5
Tmp_Sebastian,1,5
Tro_Ajax,1,0
Tro_Cassandra,1,0
Tro_Hector,1,0
Tro_Paris,1,2
Tro_Troilus,1,0
WT_ATTENDANTS.0.1,1,0
WT_Antigonus,1,2
WT_Camillo,1,2
WT_Florizell,1,3
WT_Paulina,1,4
WT_Perdita,1,4
1H4_Blunt,2,6
1H4_Falstaff,2,5
1H4_Poins,2,6
1H6_JohnTalbot,2,6
1H6_Lucy,2,0
1H6_Talbot,2,0
2H4_Falstaff,2,3
2H4_Morton,2,1
2H4_Poins,2,5
2H4_Shallow,2,4
2H4_Silence,2,1
3H6_QueenElizabeth,2,3
AYL_LORDS.FREDERICK.LeBeau,2,6
AYL_Oliver,2,1
AYL_Orlando,2,3
Ado_Borachio,2,5
Ado_FriarFrancis,2,3
Ado_Margaret,2,1
Ado_Ursula,2,4
Ant_Agrippa,2,4
Ant_Charmian,2,3
Ant_Maecenas,2,0
Cor_Lartius,2,0
Cor_SENATORS.ROMAN.0.1,2,4
Cym_Iachimo,2,3
Cym_Lucius,2,6
Cym_Philario,2,0
Cym_Pisanio,2,3
Cym_Posthumus,2,6
Err_Adriana,2,1
Err_AntipholusOfEphesus,2,1
Err_AntipholusOfSyracuse,2,1
Err_Egeon,2,1
Err_Luciana,2,1
H5_Constable,2,0
H8_GENTLEMEN.1,2,0
H8_GENTLEMEN.2,2,6
H8_GENTLEMEN.3,2,6
H8_Griffith,2,5
H8_Lovell,2,6
H8_OldLady,2,1
Ham_Guildenstern,2,1
Ham_Horatio,2,1
Ham_Osric,2,3
Ham_Rosencrantz,2,1
JC_Decius,2,3
Jn_CITIZENS.0.1,2,5
Jn_Chatillion,2,3
Jn_Hubert,2,1
LLL_Armado,2,1
LLL_Berowne,2,1
LLL_Dumaine,2,6
LLL_Longaville,2,5
MM_Claudio,2,3
MM_Isabella,2,3
MM_Lucio,2,1
MM_Mariana,2,1
MV_Antonio,2,1
MV_Bassanio,2,1
MV_Gratiano,2,3
MV_Lorenzo,2,0
MV_Nerissa,2,3
MV_Salarino,2,3
MV_Solanio,2,6
Oth_Cassio,2,1
Oth_Emilia,2,4
Oth_Iago,2,1
Oth_Roderigo,2,3
R2_Bushy,2,1
R2_Scroop,2,6
R3_Catesby,2,1
R3_Tyrrel,2,1
Rom_FriarLawrence,2,1
Rom_Nurse,2,4
Shr_Baptista,2,4
Shr_Bianca,2,3
Shr_Gremio,2,5
Shr_Hortensio,2,3
Shr_Katherine,2,4
Shr_Lucentio,2,3
Shr_Petruchio,2,4
Shr_Vincentio,2,6
TGV_Antonio,2,0
TGV_Julia,2,3
TGV_Proteus,2,3
TGV_Thurio,2,3
TGV_Valentine,2,3
TN_AndrewAguecheek,2,3
TN_Malvolio,2,3
TN_Maria,2,5
TN_Sebastian,2,3
TN_TobyBelch,2,0
TN_Viola,2,3
Tim_Alcibiades,2,1
Tim_SENATORS.1,2,0
Tim_SENATORS.2,2,0
Tim_SENATORS.X,2,1
Tit_Aaron,2,1
Tmp_Gonzalo,2,0
Tro_Achilles,2,1
Tro_Aeneas,2,3
Tro_Agamemnon,2,0
Tro_Diomedes,2,1
Tro_Nestor,2,0
Tro_Pandarus,2,4
Tro_Ulysses,2,0
WT_ATTENDANTS.3,2,0
Wiv_Falstaff,2,3
Wiv_Fenton,2,3
Wiv_Shallow,2,5
Wiv_Slender,2,3
2H6_Iden,3,2
Ant_Scarus,3,6
Cym_Cornelius,3,2
Err_Abbess,3,2
Err_Angelo,3,5
Err_Merchant2,3,1
H5_Montjoy,3,0
JC_SOLDIERS.BRUTUS.Messala,3,6
LLL_Boy,3,4
LLL_Holofernes,3,2
Lr_Oswald,3,1
MM_FriarPeter,3,2
MV_Jessica,3,2
MV_Shylock,3,1
Mac_Doctor2,3,5
Shr_Grumio,3,5
Shr_Merchant,3,5
Shr_Tranio,3,6
TNK_Doctor,3,6
TNK_Schoolmaster,3,0
TN_Antonio,3,2
Tim_Flavius,3,4
Tmp_Trinculo,3,1
Tro_Cressida,3,2
Tro_Patroclus,3,2
WT_SERVANTS.SHEPHERD.1,3,6
Wiv_DoctorCaius,3,5
Wiv_Host,3,5
Wiv_HughEvans,3,2
Wiv_MasterFord,3,6
Wiv_MasterPage,3,5
Wiv_MistressFord,3,5
