character,actual,predicted
1H4_HenryIV,0,1
2H4_HenryIV,0,7
2H6_HenryVI,0,1
2H6_QueenMargaret,0,1
3H6_HenryVI,0,1
3H6_QueenMargaret,0,1
AWW_King,0,1
Ado_DonPedro,0,4
Ant_Antony,0,5
Ant_Cleopatra,0,5
Ant_Octavius,0,4
Cym_Cymbeline,0,1
H5_HenryV,0,p
H8_HenryVIII,0,3
H8_Katherine,0,2
Ham_Claudius,0,4
Jn_KingJohn,0,1
LLL_King,0,p
LLL_Princess,0,4
Lr_Lear,0,1
MM_Duke,0,4
Mac_LadyMacbeth,0,4
Mac_Macbeth,0,1
Per_Pericles,0,1
R2_RichardII,0,1
R3_QueenElizabeth,0,1
R3_QueenMargaret,0,1
TGV_Duke,0,2
TNK_Theseus,0,4
TN_Orsino,0,1
Tit_Tamora,0,1
Tmp_Prospero,0,1
WT_Hermione,0,3
WT_Leontes,0,1
WT_Polixenes,0,1
1H4_HenryV,1,0
1H4_Hotspur,1,p
2H4_HenryV,1,0
2H6_Gloucester,1,0
2H6_Suffolk,1,5
2H6_York,1,p
3H6_EdwardIV,1,0
3H6_RichardIII,1,0
3H6_Warwick,1,0
AWW_Bertram,1,3
AWW_Countess,1,3
AWW_Lafew,1,3
AYL_Celia,1,p
AYL_Jaques,1,3
AYL_Rosalind,1,3
Ado_Beatrice,1,3
Ado_Benedick,1,2
Ado_Claudio,1,2
Ado_Leonato,1,3
Ant_Enobarbus,1,4
Cor_Aufidius,1,2
Cor_Cominius,1,4
Cor_Coriolanus,1,3
Cor_Menenius,1,4
Cor_Volumnia,1,0
Cym_Belarius,1,0
Cym_Cloten,1,p
Cym_Imogen,1,2
H5_BishopOfCanterbury,1,4
H8_Wolsey,1,p
Ham_Hamlet,1,p
Ham_Polonius,1,3
JC_Antony,1,4
JC_Brutus,1,0
JC_Cassius,1,p
Jn_Bastard,1,0
Jn_Constance,1,0
LLL_Boyet,1,p
Lr_Edgar,1,5
Lr_Edmund,1,p
Lr_Gloucester,1,p
Lr_Kent,1,3
MM_Angelo,1,2
MND_Helena,1,2
MND_Theseus,1,4
MV_Portia,1,2
Mac_Malcolm,1,p
Oth_Desdemona,1,2
Oth_Othello,1,2
R2_Gaunt,1,0
R2_HenryIV,1,0
R2_York,1,0
R3_Buckingham,1,0
R3_RichardIII,1,0
Rom_Capulet,1,0
Rom_Juliet,1,2
Rom_Mercutio,1,p
Rom_Romeo,1,0
TNK_Arcite,1,2
TNK_Emilia,1,p
TNK_Palamon,1,5
TN_Olivia,1,2
Tim_Apemantus,1,5
Tit_Marcus,1,0
Tit_Saturninus,1,0
Tit_Titus,1,0
Tro_Hector,1,0
Tro_Troilus,1,0
WT_Camillo,1,3
WT_Paulina,1,3
1H4_Falstaff,2,5
1H6_Talbot,2,0
2H4_Falstaff,2,p
2H4_Shallow,2,6
AYL_Orlando,2,3
Cym_Iachimo,2,p
Cym_Posthumus,2,3
Err_Adriana,2,0
Err_AntipholusOfEphesus,2,0
Err_AntipholusOfSyracuse,2,0
Ham_Horatio,2,1
LLL_Armado,2,1
LLL_Berowne,2,1
MM_Isabella,2,p
MM_Lucio,2,3
MV_Bassanio,2,3
Oth_Cassio,2,1
Oth_Emilia,2,5
Oth_Iago,2,3
Rom_FriarLawrence,2,0
Rom_Nurse,2,6
Shr_Hortensio,2,3
Shr_Katherine,2,3
Shr_Petruchio,2,1
TGV_Julia,2,3
TGV_Proteus,2,3
TGV_Valentine,2,1
TN_Malvolio,2,3
TN_TobyBelch,2,0
TN_Viola,2,3
Tit_Aaron,2,1
Tro_Pandarus,2,3
Tro_Ulysses,2,4
Wiv_Falstaff,2,5
MV_Shylock,3,2
Shr_Tranio,3,4
Tim_Flavius,3,2
Tro_Cressida,3,2
Wiv_HughEvans,3,p
Wiv_MasterFord,3,2
Wiv_MistressPage,3,p
2H6_Cade,4,0
AWW_Parolles,4,p
Ado_Dogberry,4,3
Cor_TRIBUNES.Brutus,4,p
Cor_TRIBUNES.Sicinius,4,p
H5_Fluellen,4,3
Wiv_MistressQuickly,4,3
MND_Bottom,5,3
TGV_Lance,5,6
TNK_Daughter,5,2
Tro_Thersites,5,0
Err_DromioOfSyracuse,6,3
WT_ShepherdsSon,6,0
MND_Oberon,7,0
1H6_Pucelle,p,0
AWW_Fool,p,3
AWW_Helen,p,2
AYL_Touchstone,p,1
H5_Chorus,p,4
LLL_Costard,p,3
Lr_Fool,p,6
Per_Gower,p,4
TN_Feste,p,3
Tim_Timon,p,0
WT_Autolycus,p,3
