character,actual,predicted
1H4_Archbishop,1,0
1H4_Bardolph,5,1
1H4_Bedford,1,2
1H4_Blunt,2,2
1H4_Chamberlain,6,6
1H4_DRAWERS.Francis,6,6
1H4_Douglas,1,0
1H4_Falstaff,2,1
1H4_Gadshill,6,p
1H4_Glendower,0,2
1H4_HenryIV,0,0
1H4_HenryV,1,0
1H4_Hotspur,1,0
1H4_LadyPercy,1,1
1H4_MESSENGERS.1,6,6
1H4_MESSENGERS.2,6,7
1H4_MESSENGERS.X,6,7
1H4_MistressQuickly,4,6
1H4_Mortimer,1,0
1H4_Northumberland,1,2
1H4_Ostler,6,6
1H4_Peto,6,1
1H4_Poins,2,6
1H4_SERVANTS.HOTSPUR.1,6,6
1H4_Sheriff,4,1
1H4_SirMichael,2,7
1H4_TRAVELERS.CARRIERS,3,7
1H4_TRAVELERS.CARRIERS.1,6,3
1H4_TRAVELERS.CARRIERS.2,6,4
1H4_TRAVELERS.CARRIERS.X,6,6
1H4_TRAVELERS.GENTLEMEN,3,7
1H4_TRAVELERS.GENTLEMEN.0.1,4,7
1H4_Vernon,1,0
1H4_Vintner,6,6
1H4_Westmoreland,1,2
1H4_Worcester,1,0
1H6_Alanson,1,2
1H6_Basset,2,4
1H6_Bastard,1,4
1H6_Bedford,1,p
1H6_Boy,6,6
1H6_Burgundy,1,3
1H6_CardinalBeaufort,1,4
1H6_Charles,0,0
1H6_Countess,1,0
1H6_Exeter,1,4
1H6_Fastolf,2,6
1H6_Gargrave,2,6
1H6_General,2,7
1H6_Glansdale,2,3
1H6_Gloucester,1,0
1H6_HenryVI,0,2
1H6_JAILERS.0.1,6,0
1H6_JohnTalbot,2,6
1H6_Lawyer,3,1
1H6_Legate,2,7
1H6_Lucy,2,2
1H6_MESSENGERS.ENGLISH.1,6,6
1H6_MESSENGERS.ENGLISH.2,6,0
1H6_MESSENGERS.ENGLISH.3,6,0
1H6_MESSENGERS.ENGLISH.X.1,6,0
1H6_MESSENGERS.ENGLISH.X.2,6,6
1H6_MESSENGERS.FRENCH.1,6,6
1H6_MasterGunner,6,0
1H6_Mayor,3,4
1H6_Mortimer,1,0
1H6_OFFICERS.0.1,4,5
1H6_Porter,6,1
1H6_Pucelle,p,0
1H6_QueenMargaret,1,2
1H6_Reignier,1,0
1H6_SERVANTS.1,6,1
1H6_SERVANTS.2,6,1
1H6_SERVANTS.3,6,4
1H6_SERVANTS.GLOUCESTER,6,3
1H6_SERVANTS.GLOUCESTER.0.1,6,3
1H6_SERVANTS.GLOUCESTER.0.2,6,6
1H6_SERVANTS.TALBOT.1,6,6
1H6_SERVANTS.WINCHESTER.0.1,6,4
1H6_SOLDIERS.ENGLISH.0.1,4,4
1H6_SOLDIERS.ENGLISH.1,6,2
1H6_SOLDIERS.ENGLISH.Captain,4,p
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,4,4
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,6,3
1H6_SOLDIERS.FRENCH.Scout,6,0
1H6_SOLDIERS.FRENCH.Sergeant,3,2
1H6_Salisbury,1,7
1H6_Shepherd,5,1
1H6_Somerset,1,1
1H6_Suffolk,1,0
1H6_Talbot,2,0
1H6_Vernon,2,6
1H6_WARDERS.1,6,3
1H6_WARDERS.2,6,5
