character,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Archbishop,-0.008828096931817476,-0.01021026265816522,-0.005354138909949933,-0.006667894965257097,-0.007539515185992344,-0.008280303495192709,-0.00958645485618969,-0.009248800645618276,-0.006745177899898922,-0.005858083522596068,-0.00571916348774422,-0.006431233147892409,-0.007706984238978606,-0.0067655418793025526,-0.0077221348409631605,-0.0084113803382582,-0.00734158119130353,-0.010118107811237056,-0.00971935140973891,-0.00585361492328263,-0.008889378813938973,-0.006298989109159541,-0.0070022043958315044,-0.0087496804866562,-0.009140595002799774,-0.01232040998690099,-0.006525086592177863,-0.006314976710213097,-0.006897718804922007,-0.008124840281258807,-0.007193298631419227,-0.008575843142028286,-0.009147582114906726,-0.0056242379543020495,-0.008588074730410079,-0.006823876892871794,-0.010199335713578561,-0.007737481974823693,-0.010990923135283798
1H4_Bardolph,-0.005809276003088328,-0.01021026265816522,-0.009034548831453472,-0.007866261154108208,-0.00905410173477744,-0.008015176831241339,-0.00958645485618969,-0.01197513311529923,-0.008439322024330028,-0.009607119238434549,-0.008518112563252243,-0.010374979101826363,-0.00865258315481014,-0.008681716927028413,-0.011018672913920337,-0.01291115746068609,-0.009995794337369987,-0.010118107811237056,-0.0021892503569865556,-0.010024903705879351,-0.009273166110759774,-0.00798539800754273,-0.008718232991473566,-0.010673304271259869,-0.00965341528233221,-0.01232040998690099,-0.010371783295475874,-0.008943948855805944,-0.007740844555880459,-0.008124840281258807,-0.009283094387834126,-0.01110734954447471,-0.011840843848917839,-0.0059770702586754276,-0.010198646259838311,-0.007773930830792413,-0.004510485429376651,-0.009385444807229028,-0.010990923135283798
1H4_Bedford,-0.01141565772787103,-0.011897559106864089,-0.012714958752957011,-0.011860815116945244,-0.012083274832347635,-0.011196696798657787,-0.012460635194713486,-0.01197513311529923,-0.011827610273192242,-0.011812434365398363,-0.012334861302581364,-0.012675497574954502,-0.011016580444388977,-0.012130832012934965,-0.011018672913920337,-0.012565020758960866,-0.0122076386257587,-0.011513218997790663,-0.011601876672927001,-0.011629245545339627,-0.011959677188505385,-0.011990619141202802,-0.012951103527390654,-0.011635116163561703,-0.013755977518591686,-0.01232040998690099,-0.013737642910861634,-0.01255878555599611,-0.01195647331067272,-0.012147660360013168,-0.011837289201230115,-0.012373102745697924,-0.013187474715923396,-0.011975219433022856,-0.0122118606716236,-0.011574146582474892,-0.012095619141645864,-0.012406709999972143,-0.010990923135283798
1H4_Blunt,-0.004946755737737143,-0.005148373312068612,-0.005354138909949933,-0.006667894965257097,-0.006782221911599795,-0.00854543015914408,-0.007533468900101263,0.0002933629982650594,-0.004034547300809151,-0.005417020497203305,-0.00521026365583367,-0.0070885241402147345,-0.006288585865231304,-0.0071487768888477245,-0.004425596768005984,-0.007372970233082533,-0.006899212333625788,-0.0068628483759453065,-0.004071775620174645,-0.007457956762742907,-0.006970442329834965,-0.00798539800754273,-0.006773400583079229,-0.003940621025147028,-0.010166235561864644,-0.005852853354433008,-0.00556341241635336,-0.006643598228412203,-0.00436834155204665,-0.005107725222193036,-0.006032300988966505,-0.00604433673958186,-0.006454320380895611,-0.0056242379543020495,-0.006977503200981847,-0.008723984768713033,-0.005142579905399086,-0.008836123863093917,-0.010990923135283798
1H4_Chamberlain,-0.010121877329844254,-0.00796053405990006,-0.009978243683121045,-0.009064627342959318,-0.010568688283562538,-0.010136190142852304,-0.010818246429842745,-0.01197513311529923,-0.010641709386090466,-0.00982765075113093,-0.011317061638760265,-0.011032270094148687,-0.009125382612725908,-0.009448186946118759,-0.010194538395681043,-0.009449790443433867,-0.01058561948094031,-0.011513218997790663,-0.011601876672927001,-0.009704035337987296,-0.009465059759170176,-0.010936613579713308,-0.009862252055234942,-0.0087496804866562,-0.009140595002799774,-0.01232040998690099,-0.010852620383388125,-0.010258434928602367,-0.01212509846086441,-0.012147660360013168,-0.009863593209060488,-0.004778583538358647,-0.010494212981912283,-0.010563890215529344,-0.010198646259838311,-0.009674038706633652,-0.010831430189600994,-0.011033407639634365,-0.010990923135283798
1H4_DRAWERS.Francis,-0.012709438125897808,-0.012178775181647233,-0.012809328238123767,-0.011061904324377836,-0.011325981557955086,-0.010666443470755045,-0.011639440812278115,-0.01197513311529923,-0.011658195860749131,-0.01291509192888027,-0.013098211050447188,-0.01136091559030985,-0.012907778276052046,-0.012514067022480138,-0.012666941950398925,-0.013257294162411311,-0.012650007483436443,-0.01290833018434427,-0.01348440193611509,-0.012270982281123739,-0.011000208946453382,-0.0122014202535007,-0.012379093995509967,-0.012596928055863538,-0.012217516679994381,-0.01232040998690099,-0.01277596873503713,-0.012230164037797003,-0.01178784816048103,-0.012147660360013168,-0.012417788022456475,-0.013638855946921137,-0.007800951247901168,-0.011622387128649478,-0.013017146436337716,-0.01284088516636905,-0.012095619141645864,-0.012956030944107256,-0.010990923135283798
1H4_Douglas,-0.0036529753397103655,-0.0057108054616349015,-0.005354138909949933,-0.006268439568973393,0.0007907108323256889,-0.004568530199873518,-0.005480482944012838,-0.009248800645618276,-0.0055592770127971475,-0.0012269217559720607,-0.006482513235610044,-0.008074460628698222,-0.00865258315481014,-0.0071487768888477245,-0.006898000322723866,-0.006334560127906866,-0.0035077177580964264,-0.007095366907037575,-0.007836826146550822,-0.003607536348038242,-0.005435293142551759,-0.006931392446053237,-0.006086989144822404,0.0008684384363621444,-0.003499571927942995,-0.01232040998690099,-0.008448434943826869,-0.005164801396516226,-0.007572219405688769,-0.009130545300947398,-0.0053357024034948715,-0.0009813239346890081,-0.010494212981912283,-0.009858225606782588,-0.004964288789196557,-0.005557138308977635,-0.008303052285511257,-0.00663884008655347,0.00832844414189166
1H4_Falstaff,0.13305648671845247,0.15823816613693856,0.11458947673699874,0.11077199154215174,0.14997748588765772,0.1330322083908879,0.12221524352468724,0.08072017085385318,0.11286139728493721,0.11741903207468107,0.09835085213796316,0.09051918821965062,0.11002008078204743,0.12851641649014328,0.14309448199682767,0.11169805516039391,0.10236589551277667,0.11079152835674222,0.08064186122328935,0.11222594446099378,0.11641717359805275,0.10373919151034348,0.11895429452429587,0.12013311308178962,0.10675678817153042,0.09116049613258674,0.11272251121006048,0.10640220403208021,0.08264223594686562,0.08339431651040291,0.11471145382611657,0.13065700899252514,0.13090202805367124,0.09704996261835099,0.1287131481533467,0.10021553344618465,0.07070875721729303,0.0969081578829151,0.02764781141906712
1H4_Gadshill,-0.0071030564011151055,-0.0014925643398877291,-0.005825986335783719,-0.007067350361540801,-0.0037530488140296017,-0.008280303495192709,-0.007944066091318949,-0.00379613570625637,-0.0075922499621144755,-0.0025501108321503486,-0.007500312899431144,-0.003802069178603106,-0.00014219291232633058,-0.005999071860212208,-0.005249731286245278,-0.006680696829632089,-0.006899212333625788,-0.0068628483759453065,-0.007836826146550822,-0.0007197210370097428,-0.006202867736193362,-0.0050341824353721506,-0.004828568174684892,0.0008684384363621444,-0.005038032766540299,-0.005852853354433008,-0.00556341241635336,-0.006314976710213097,-0.006560468504538626,-0.005107725222193036,-0.006148400753211777,-0.009841596343251498,-0.006454320380895611,-0.0049185733455552934,-0.006977503200981847,-0.007140561538845334,-0.008303052285511257,-0.00663884008655347,-0.010990923135283798
1H4_Glendower,0.0015221462523967446,0.001882028557510009,0.002478528358890932,0.0033184899418354907,-0.002995755539637053,0.0004688764152025255,-0.001374511031835986,-0.001069803236575417,0.0020643715471428325,-0.0005653272178829169,-0.0013935149165045487,0.0004703222714920098,0.0017490049193367384,-0.002166721764760485,0.0005192103414297807,-0.00010409949685286604,-0.0005585920402448081,0.003367966992114478,-0.005954300883362734,0.0018472259061267009,0.0020485591454538713,0.0008682487089690085,0.002378751927011771,0.007601121682474986,-0.005038032766540299,-0.01232040998690099,0.0035724922539794157,0.0005860751719681269,-0.0021762145995546742,0.01701778521095595,-0.0006917118336839841,0.0028159356689806303,-0.0037610586468844968,0.001079575828792135,0.0030885688579446024,0.0010932392564667003,0.006235120663004732,0.002150295019608319,0.00832844414189166
