character,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Archbishop,0.013205282112845138,0.014405762304921969,0.10684273709483794,0.022809123649459785,0.008403361344537815,0.022809123649459785,0.012004801920768308,0.003601440576230492,0.05162064825930372,0.04081632653061224,0.03721488595438175,0.027611044417767107,0.015606242496998799,0.021608643457382955,0.008403361344537815,0.02040816326530612,0.05282112845138055,0.02040816326530612,0.0024009603841536613,0.028811524609843937,0.031212484993997598,0.04201680672268908,0.07082833133253301,0.006002400960384154,0.010804321728691477,0.0,0.01800720288115246,0.056422569027611044,0.05042016806722689,0.006002400960384154,0.06722689075630252,0.004801920768307323,0.003601440576230492,0.027611044417767107,0.014405762304921969,0.026410564225690276,0.006002400960384154,0.026410564225690276,0.0
1H4_Bardolph,0.029508196721311476,0.019672131147540985,0.08196721311475409,0.02622950819672131,0.00819672131147541,0.03278688524590164,0.01639344262295082,0.001639344262295082,0.054098360655737705,0.027868852459016394,0.03278688524590164,0.018032786885245903,0.018032786885245903,0.021311475409836064,0.004918032786885246,0.006557377049180328,0.04262295081967213,0.027868852459016394,0.009836065573770493,0.018032786885245903,0.03934426229508197,0.04426229508196721,0.07213114754098361,0.004918032786885246,0.013114754098360656,0.0,0.011475409836065573,0.05081967213114754,0.060655737704918035,0.00819672131147541,0.06229508196721312,0.003278688524590164,0.001639344262295082,0.036065573770491806,0.013114754098360656,0.03114754098360656,0.022950819672131147,0.02622950819672131,0.0
1H4_Bedford,0.024390243902439025,0.02926829268292683,0.05365853658536585,0.02926829268292683,0.004878048780487805,0.03902439024390244,0.014634146341463415,0.004878048780487805,0.06341463414634146,0.03414634146341464,0.024390243902439025,0.01951219512195122,0.02926829268292683,0.01951219512195122,0.014634146341463415,0.024390243902439025,0.05365853658536585,0.05365853658536585,0.004878048780487805,0.02926829268292683,0.04878048780487805,0.03902439024390244,0.03414634146341464,0.00975609756097561,0.0,0.0,0.0,0.04390243902439024,0.05853658536585366,0.004878048780487805,0.07804878048780488,0.004878048780487805,0.0,0.024390243902439025,0.014634146341463415,0.03414634146341464,0.00975609756097561,0.024390243902439025,0.0
1H4_Blunt,0.02092050209205021,0.03138075313807531,0.09309623430962342,0.0198744769874477,0.008368200836820083,0.01882845188284519,0.015690376569037656,0.010460251046025104,0.06171548117154812,0.03765690376569038,0.034518828451882845,0.021966527196652718,0.016736401673640166,0.01778242677824268,0.011506276150627616,0.02092050209205021,0.049163179916317995,0.032426778242677826,0.005230125523012552,0.0198744769874477,0.03765690376569038,0.028242677824267783,0.06380753138075314,0.010460251046025104,0.007322175732217573,0.0010460251046025104,0.01778242677824268,0.04707112970711297,0.0596234309623431,0.008368200836820083,0.06903765690376569,0.006276150627615063,0.005230125523012552,0.02405857740585774,0.016736401673640166,0.016736401673640166,0.013598326359832637,0.01882845188284519,0.0
1H4_Chamberlain,0.01762114537444934,0.04405286343612335,0.0881057268722467,0.028634361233480177,0.006607929515418502,0.02643171806167401,0.015418502202643172,0.0022026431718061676,0.04405286343612335,0.03524229074889868,0.019823788546255508,0.019823788546255508,0.022026431718061675,0.024229074889867842,0.00881057268722467,0.030837004405286344,0.048458149779735685,0.024229074889867842,0.0022026431718061676,0.02643171806167401,0.05066079295154185,0.028634361233480177,0.07488986784140969,0.011013215859030838,0.019823788546255508,0.0,0.013215859030837005,0.05066079295154185,0.024229074889867842,0.0022026431718061676,0.07268722466960352,0.015418502202643172,0.004405286343612335,0.019823788546255508,0.01762114537444934,0.028634361233480177,0.00881057268722467,0.022026431718061675,0.0
1H4_DRAWERS.Francis,0.010526315789473684,0.02631578947368421,0.05263157894736842,0.042105263157894736,0.010526315789473684,0.05263157894736842,0.02631578947368421,0.005263157894736842,0.07368421052631578,0.010526315789473684,0.010526315789473684,0.042105263157894736,0.010526315789473684,0.015789473684210527,0.005263157894736842,0.015789473684210527,0.042105263157894736,0.02631578947368421,0.0,0.021052631578947368,0.07894736842105263,0.03684210526315789,0.06315789473684211,0.005263157894736842,0.015789473684210527,0.0,0.010526315789473684,0.05789473684210526,0.06842105263157895,0.005263157894736842,0.05789473684210526,0.0,0.021052631578947368,0.031578947368421054,0.005263157894736842,0.015789473684210527,0.010526315789473684,0.015789473684210527,0.0
1H4_Douglas,0.022115384615384617,0.026923076923076925,0.08557692307692308,0.019230769230769232,0.01730769230769231,0.03173076923076923,0.019230769230769232,0.0028846153846153848,0.04807692307692308,0.052884615384615384,0.026923076923076925,0.01730769230769231,0.010576923076923078,0.016346153846153847,0.007692307692307693,0.022115384615384617,0.0673076923076923,0.028846153846153848,0.0028846153846153848,0.02980769230769231,0.04230769230769231,0.03076923076923077,0.06442307692307692,0.014423076923076924,0.019230769230769232,0.0,0.010576923076923078,0.051923076923076926,0.03653846153846154,0.0038461538461538464,0.06923076923076923,0.009615384615384616,0.0019230769230769232,0.010576923076923078,0.020192307692307693,0.025,0.007692307692307693,0.025,0.0009615384615384616
1H4_Falstaff,0.021003212255992092,0.037744007907091676,0.08401284902396837,0.019335310106251544,0.013281443044230293,0.0340993328391401,0.020447244872745244,0.004262416604892513,0.0462688411168767,0.03663207314059797,0.02718062762540153,0.019644180874722018,0.01618482826785273,0.02291821102050902,0.011737089201877934,0.02248579194465036,0.04867803311094638,0.03317272053372869,0.0030887076847047196,0.024215468248085,0.04194465035829009,0.03440820360761058,0.07165801828514949,0.00858660736347912,0.014516926118112183,0.0009883864591055103,0.016246602421546824,0.04528045465777119,0.03539659006671608,0.005930318754633061,0.0683222139856684,0.007042253521126761,0.0066098344452680995,0.01939708425994564,0.02180627625401532,0.02223869532987398,0.008215962441314555,0.024894983938720038,0.00012354830738818879
1H4_Gadshill,0.01452081316553727,0.041626331074540175,0.08131655372700872,0.017424975798644726,0.011616650532429816,0.018393030009680542,0.013552758954501452,0.006776379477250726,0.036786060019361085,0.04743465634075508,0.023233301064859633,0.030009680542110357,0.028073572120038724,0.01936108422071636,0.00968054211035818,0.021297192642787996,0.04549854791868345,0.030009680542110357,0.002904162633107454,0.03872216844143272,0.03872216844143272,0.03969022265246854,0.0755082284607938,0.01452081316553727,0.016456921587608905,0.000968054211035818,0.016456921587608905,0.04549854791868345,0.04259438528557599,0.007744433688286544,0.06292352371732816,0.002904162633107454,0.00484027105517909,0.02420135527589545,0.015488867376573089,0.02032913843175218,0.007744433688286544,0.02516940948693127,0.0
1H4_Glendower,0.01840168243953733,0.028916929547844375,0.0904311251314406,0.023133543638275498,0.006834910620399579,0.027339642481598318,0.015772870662460567,0.00473186119873817,0.049947423764458466,0.030494216614090432,0.025236593059936908,0.023133543638275498,0.017350157728706624,0.015772870662460567,0.008937960042060988,0.021556256572029444,0.0473186119873817,0.03943217665615142,0.002103049421661409,0.025236593059936908,0.04363827549947424,0.03627760252365931,0.07413249211356467,0.011566771819137749,0.008937960042060988,0.0,0.01892744479495268,0.04679284963196635,0.03680336487907466,0.015772870662460567,0.058885383806519455,0.006834910620399579,0.003680336487907466,0.022082018927444796,0.021556256572029444,0.024710830704521555,0.01629863301787592,0.030494216614090432,0.0005257623554153522
1H4_HenryIV,0.016698473282442748,0.0245706106870229,0.09279580152671756,0.01848759541984733,0.012166030534351144,0.021708015267175574,0.01741412213740458,0.008349236641221374,0.053912213740458015,0.032562022900763356,0.03172709923664122,0.02385496183206107,0.012643129770992367,0.018010496183206107,0.007752862595419847,0.0223043893129771,0.0514074427480916,0.03637881679389313,0.0040553435114503815,0.02051526717557252,0.045443702290076333,0.030295801526717556,0.07752862595419847,0.004770992366412214,0.012523854961832061,0.0011927480916030535,0.016459923664122137,0.04806774809160305,0.04985687022900764,0.007752862595419847,0.06357347328244274,0.004651717557251908,0.004174618320610687,0.020634541984732826,0.021230916030534352,0.023139312977099237,0.009184160305343511,0.03172709923664122,0.00047709923664122136
