character,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Archbishop,-0.34617935613804934,-0.6470292210601578,0.9353253247557031,-0.01891729382000855,-0.046903748718117796,-0.1883840058768726,-0.4506576445373446,-0.20927707045428168,0.11466102502890943,0.6317730408931267,0.35674456059331217,0.11436017866579712,-0.08188109957679408,0.2448906584688439,-0.11531830032674603,-0.24171813194873285,0.1085271510551188,-0.6905183703478922,-0.2526354457081392,0.24413524977156767,-0.5332332313739307,0.1998273817488836,0.2078261626930994,-0.19722164595120753,-0.32241647235643645,-0.3788344711049449,0.12312205401043039,0.17241805772254168,0.11890837896189053,-0.050894263356339106,0.14797089867594798,-0.12547667365305643,-0.20135751521489065,0.49034171330097476,-0.22555427884696191,0.0990792762465852,-0.4880112338498067,-0.12457182064810474,-0.191236900278669
1H4_Bardolph,0.8662381060966176,-0.3593221367866558,0.05137415386556511,0.1545307508918382,-0.06565951404554235,0.32612132744285754,-0.10361831974037818,-0.5483630925318408,0.21634914104887268,-0.1754699828085796,0.13634427769265217,-0.38041953349268587,-0.021752064765913348,0.22039359802747013,-0.4252134684479753,-0.9641116276176609,-0.3689189069378065,-0.34581597133637004,0.7256108546428068,-0.34092028934969615,-0.1850785451673241,0.29875467786626614,0.25896284876410536,-0.33160578405015995,-0.18295460494184687,-0.3788344711049449,-0.3036623500374764,-0.05772734252434042,0.5250566642922515,0.2772915793961826,-0.03869744356419541,-0.312163796812275,-0.486557748252303,1.1116329795293058,-0.33525792819905303,0.3573823325075367,0.7574606062313712,-0.134717998608725,-0.191236900278669
1H4_Bedford,0.48562546611678836,0.164925924462009,-0.9545740136800721,0.30862781809296097,-0.3668801549219214,0.6477595583286625,-0.24273770432375794,0.011344106324218789,0.5986995304442242,0.21591594908385314,-0.28159199859799816,-0.30399841211057244,0.25666036506589246,0.07206985216333103,0.438686905268557,-0.03403106591454106,0.14773192145050507,0.8457315864410724,0.07327824314459565,0.26892801290198876,0.21892491062083927,0.0679934001206609,-1.2319743158623142,0.2679684017498361,-0.9745848301980864,-0.3788344711049449,-1.0534604398245642,-0.3418606063294407,0.4409685168485137,-0.21905406168588235,0.557578063607856,-0.11614643550688758,-0.7248444023347147,0.2536573105444628,-0.20614730518480948,0.5209042091468402,-0.21216700957390047,-0.23778831862331842,-0.191236900278669
1H4_Blunt,0.22758721581665556,0.2803317868990188,0.4468436653396607,-0.1677335214730289,-0.050095106277316996,-0.39364816601163083,-0.15921447927933355,0.9760504498455855,0.5289643726893822,0.43479083634848553,0.22255040043222085,-0.17721609149129214,-0.0538760975651907,-0.07052367367230505,0.1605748585514203,-0.21499688809705333,-0.06272629946102411,-0.1352284624143919,0.11960143051461807,-0.24095580156194368,-0.25732127360997753,-0.40700601494312766,-0.06774643210020036,0.35523309790226815,-0.5326050888481724,0.010947413844030474,0.10843528508459623,-0.21170301126569965,0.48409464378213984,0.302938314391853,0.2165081695610853,0.05520472437063575,0.035379755564192955,0.2292843988151905,-0.02750778869097746,-0.4284440538571072,0.07018309361351906,-0.5494649412252067,-0.191236900278669
1H4_Chamberlain,-0.017779811775035577,0.9726220564181017,0.2695060986561617,0.27648109047547653,-0.2098668374734357,-0.0015841783280632464,-0.1807134132194538,-0.4510147691543633,-0.1959294140475764,0.2842456796664934,-0.5088837536396408,-0.28790257168612193,0.07720924430296483,0.4609060333180824,-0.07911143333690683,0.3022024000218705,-0.09573355542711255,-0.5139827488790608,-0.27872829501251417,0.11496251743330178,0.2994284738728858,-0.3897500000333568,0.3672450554526235,0.4237612063537089,0.22201482196511718,-0.3788344711049449,-0.18994218663993814,-0.06425348659890441,-0.9203564554779059,-0.6191917370956527,0.3546438503784671,1.1756900091930784,-0.08451462704717654,-0.08191415796124071,0.04767346285084346,0.22034091483413978,-0.2816498695611211,-0.37025371745456187,-0.191236900278669
1H4_DRAWERS.Francis,-0.5454091030390978,0.0036276722839656754,-0.991066929660021,0.9595918831392546,0.14578706138258157,1.3494170485134178,0.6810083528799992,0.07789798377104067,1.0201745474420363,-1.2567343021936073,-0.9716582111801545,0.8630814728942223,-0.20776014440817808,-0.23481284541989964,-0.39452694878379707,-0.48260780130286424,-0.3931553874457249,-0.4175713444607889,-0.5685328746197733,-0.17700713824814768,1.5104926043593143,-0.0281494062361865,-0.09324524375484507,-0.28883494173993846,-0.021503703738271665,-0.3788344711049449,-0.36567572588452874,0.2328890349970307,0.8331850298010824,-0.1614565649718571,-0.20524995298134216,-0.7139993874883194,2.3352578921973093,0.78192783780694,-1.0024486961576993,-0.4800791802739628,-0.15556673726373632,-0.7197658905908739,-0.191236900278669
1H4_Douglas,0.31644840851758094,0.03680440308312856,0.17964511411499484,-0.2003760066143911,0.7613014159229967,0.2716624874377226,0.12074817025641875,-0.33315753494699074,-0.030777460086402714,1.3842010381642835,-0.1555222097608734,-0.4178754157501355,-0.20650611115683212,-0.18892289296299078,-0.17854106037823422,-0.1526772948641219,0.7867417357426536,-0.3006622162399141,-0.1890003386341128,0.2982059066899409,-0.05820197096527218,-0.2956961298084082,-0.043585726272282625,0.846340226402264,0.1862191058747649,-0.3788344711049449,-0.36236906860597085,-0.012403728300205245,-0.4319189324322905,-0.373385815701668,0.22381744684442945,0.46446075824431066,-0.445315827353424,-0.7614311974559462,0.26615843290145536,0.022162485396964596,-0.3638267135844686,-0.2036182668793499,0.3828089277408548
1H4_Falstaff,0.23373821700115271,0.6279628645530296,0.12406577871787415,-0.19507472829485564,0.3958572896514714,0.3937979581076586,0.2169430775345117,-0.09504835973513742,-0.1049831864618358,0.37089517855399684,-0.1427028243563279,-0.2971804838450994,-0.06754391945956247,0.35284491536417745,0.18109741421256192,-0.13335854708804684,-0.08543932115348263,-0.10076407305661578,-0.16214765364838823,-0.005332573016639787,-0.07374528349021174,-0.13537744364909085,0.2403921078801156,0.12303521757251777,-0.09831697136374967,-0.010530560048636027,0.008085216080537454,-0.2852570376128546,-0.4772284908382345,-0.061674986157418926,0.18942874511459734,0.14909818403417022,0.23592715140626705,-0.11327103606600196,0.40330569521861653,-0.12840895964321283,-0.3253454101127303,-0.20950324984587984,-0.11747761424700298
1H4_Gadshill,-0.24834575652098442,0.8400581264106464,0.028252987529182826,-0.2919479733414242,0.24475173083289645,-0.41610078464977984,-0.3282502750905112,0.33941026698173776,-0.49416723616184105,1.0444095550310801,-0.33917792630890736,0.23826543879750106,0.22705555146218653,0.05961301869331698,-0.001758806121793523,-0.19535043630097337,-0.23429264831782912,-0.24690438864561082,-0.18642848214631066,0.7820718076578237,-0.2117129305407938,0.09732733078861773,0.3915162555397976,0.858452533850097,0.01878465623792565,-0.01810699577946523,0.021827375289818412,-0.2762986074023181,-0.1916193562440945,0.2096467641307383,-0.014911002380994114,-0.35806563582464024,-0.02128748563446716,0.23977660245707907,-0.13351723493972553,-0.23253536939701835,-0.35999618159018604,-0.1941247481469985,-0.191236900278669
1H4_Glendower,0.04026727921215684,0.1457305991559491,0.3521390721624108,-0.0024659235287422593,-0.18926480660994405,0.04523313152516691,-0.15269111671128657,-0.013919773547813487,0.04599000138461931,-0.01178501328163727,-0.23946562915364997,-0.11693205161140514,-0.03866740846013,-0.2361815162129937,-0.06778488977278795,-0.18183884970031006,-0.1490830700699779,0.18843837002672287,-0.29183197211357853,0.05009272283639531,-0.0012342557346979673,-0.053019154252783904,0.33751738966109124,0.49236257478789625,-0.4350734319392008,-0.3788344711049449,0.18325024454710845,-0.2231336837301127,-0.42140754504725275,1.410391839044019,-0.1677540900027267,0.12368626815338185,-0.18988961109817523,0.08403461983940874,0.382060228780602,0.006394345375149263,0.2686178832759677,0.10427150535415791,0.12264725384346804
