character,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Falstaff,0.021003212255992092,0.037744007907091676,0.08401284902396837,0.019335310106251544,0.013281443044230293,0.0340993328391401,0.020447244872745244,0.004262416604892513,0.0462688411168767,0.03663207314059797,0.02718062762540153,0.019644180874722018,0.01618482826785273,0.02291821102050902,0.011737089201877934,0.02248579194465036,0.04867803311094638,0.03317272053372869,0.0030887076847047196,0.024215468248085,0.04194465035829009,0.03440820360761058,0.07165801828514949,0.00858660736347912,0.014516926118112183,0.0009883864591055103,0.016246602421546824,0.04528045465777119,0.03539659006671608,0.005930318754633061,0.0683222139856684,0.007042253521126761,0.0066098344452680995,0.01939708425994564,0.02180627625401532,0.02223869532987398,0.008215962441314555,0.024894983938720038,0.00012354830738818879
1H4_HenryIV,0.016698473282442748,0.0245706106870229,0.09279580152671756,0.01848759541984733,0.012166030534351144,0.021708015267175574,0.01741412213740458,0.008349236641221374,0.053912213740458015,0.032562022900763356,0.03172709923664122,0.02385496183206107,0.012643129770992367,0.018010496183206107,0.007752862595419847,0.0223043893129771,0.0514074427480916,0.03637881679389313,0.0040553435114503815,0.02051526717557252,0.045443702290076333,0.030295801526717556,0.07752862595419847,0.004770992366412214,0.012523854961832061,0.0011927480916030535,0.016459923664122137,0.04806774809160305,0.04985687022900764,0.007752862595419847,0.06357347328244274,0.004651717557251908,0.004174618320610687,0.020634541984732826,0.021230916030534352,0.023139312977099237,0.009184160305343511,0.03172709923664122,0.00047709923664122136
1H4_HenryV,0.019420354310280927,0.03150248313690609,0.08761396486546587,0.020235712697353792,0.014824697946779335,0.029575272403824772,0.018827366392409756,0.004521532873767697,0.047957897857831146,0.04032317841523979,0.03142835964717219,0.019939218738418203,0.015047068415981024,0.022014676450967312,0.010229041583277742,0.019420354310280927,0.05040397301904974,0.03224371803424505,0.004521532873767697,0.02342302275591135,0.04536357571714476,0.03276258246238233,0.06700763471944259,0.00867244829886591,0.014157586539174264,0.0009636053665406567,0.015936550292787784,0.049143873693573495,0.04788377436809725,0.00689348454525239,0.06537691794529686,0.00600400266844563,0.0048180268327032835,0.01623304425172337,0.019494477800014825,0.024608998591653695,0.008968942257801498,0.022162923430435105,7.412348973389667e-05
1H4_Hotspur,0.01967430550438435,0.02446393043990863,0.08768697958882912,0.01915849974209712,0.009873996020926977,0.02689558617640557,0.016726844005600178,0.004642251860585071,0.051285830078844595,0.031906270724338666,0.030432539974946576,0.02483236312725665,0.01694790361800899,0.018274261292461867,0.008695011421413308,0.024758676589787046,0.0548227838773856,0.03168521111192985,0.00427381917323705,0.026969272713875177,0.04362243018200575,0.03706432834721096,0.07272861248249944,0.009505563333578956,0.014295188269103235,0.0006631788372264387,0.015989978630904133,0.044801414781519416,0.042959251344779306,0.0069265345221428045,0.0666863164099919,0.0059686095350379486,0.00582123646009874,0.018200574754992264,0.02004273819173237,0.024242870827499815,0.00803183258418687,0.02822194385085845,0.0002210596124088129
1H4_Worcester,0.015574994666097717,0.021548965222957114,0.09515681672711757,0.023682526136121186,0.009387668017921912,0.02346917004480478,0.02048218476637508,0.005547258374226584,0.05184553018988692,0.02560273095796885,0.027736291871132922,0.025389374866652444,0.018775336035843825,0.021335609131640707,0.007467463196074248,0.01984211649242586,0.05611265201621506,0.02794964796244933,0.004480477917644549,0.026029443140601665,0.04011094516748453,0.026029443140601665,0.07574141241732452,0.009174311926605505,0.011947941113718797,0.0006400682739492212,0.017281843396628974,0.046724983998293154,0.050565393641988476,0.0072541071047578405,0.06763388094730105,0.006400682739492213,0.004480477917644549,0.019415404309793046,0.02026882867505867,0.02346917004480478,0.015148282483464903,0.029443140601664176,0.0008534243652656284
1H6_Charles,0.016938712657838004,0.02740991684631968,0.08222975053895903,0.020634431783184477,0.017862642439174622,0.026793963658761934,0.019094548814290114,0.005235602094240838,0.04065291037881121,0.04280874653526332,0.030489682784108407,0.025870033877425317,0.01632275947028026,0.02525408068986757,0.009239297813366184,0.017246689251616876,0.051124114567292885,0.035725284878349244,0.003079765937788728,0.02217431475207884,0.043424699722821064,0.030489682784108407,0.07329842931937172,0.0076994148444718205,0.012319063751154912,0.001539882968894364,0.017246689251616876,0.05266399753618725,0.053895903911302744,0.010163227594702803,0.06529103788112103,0.0024638127502309825,0.004003695719125347,0.011703110563597166,0.022482291345857715,0.027717893440098552,0.0024638127502309825,0.024638127502309825,0.0003079765937788728
1H6_Gloucester,0.016748980030062272,0.02812969722997638,0.0833154391238995,0.02125832080738673,0.012024908739531888,0.02791496671677045,0.017393171569680052,0.008803951041442989,0.04702598239209792,0.03457161262615418,0.02855915825638823,0.021687781833798582,0.016748980030062272,0.019540476701739317,0.010521795147090401,0.020828859780974877,0.052179514709040156,0.033068499033712694,0.004509340777324458,0.025338200558299336,0.04144298904874383,0.03049173287524157,0.06592226755421945,0.006656645909383724,0.011165986686708181,0.001073652566029633,0.02125832080738673,0.057762508052394246,0.05282370624865793,0.008803951041442989,0.06806957268627872,0.0040798797509126045,0.0032209576980888983,0.021687781833798582,0.016748980030062272,0.017178441056474127,0.01181017822632596,0.02920334979600601,0.00042946102641185313
1H6_HenryVI,0.012817727568976754,0.022593960460569194,0.09450358461872692,0.02737345209645883,0.007603736693460786,0.02237671084075603,0.019335216163371714,0.007386487073647621,0.045405170540951556,0.027590701716271995,0.035411688029545946,0.025852704757766673,0.013252226808603084,0.02237671084075603,0.011514229850097762,0.011948729089724093,0.04757766673908321,0.028894199435150987,0.003475993917010645,0.029111449054964152,0.04171192700412774,0.029763197914403648,0.06908537910058657,0.00977623289159244,0.011296980230284597,0.001955246578318488,0.017597219204866392,0.06278514012600478,0.04931566369758853,0.008255485552900283,0.06278514012600478,0.007386487073647621,0.004562242016076472,0.021507712361503367,0.022159461220942863,0.02237671084075603,0.0162937214859874,0.02454920703888768,0.00043449923962633063
1H6_Pucelle,0.018876755070202807,0.023244929797191886,0.08642745709828394,0.017004680187207487,0.009984399375975039,0.027457098283931357,0.02215288611544462,0.00858034321372855,0.047113884555382214,0.03915756630265211,0.027457098283931357,0.02293291731669267,0.01747269890795632,0.02262090483619345,0.011544461778471139,0.017784711388455537,0.0516380655226209,0.0343213728549142,0.00436817472698908,0.027457098283931357,0.045709828393135726,0.0327613104524181,0.06739469578783151,0.008268330733229329,0.01185647425897036,0.00046801872074883,0.018564742589703587,0.050234009360374414,0.048829953198127926,0.006552262090483619,0.06365054602184088,0.00592823712948518,0.0039001560062402497,0.02106084243369735,0.01794071762870515,0.02418096723868955,0.009828393135725429,0.0249609984399376,0.00031201248049921997
1H6_Suffolk,0.016769012753897024,0.02432687765706188,0.08573452999527634,0.01865847897968824,0.00803023145961266,0.023854511100614078,0.019367028814359942,0.005668398677373642,0.044402456306093525,0.033301842229570146,0.029995276334435522,0.0266887104393009,0.01629664619744922,0.02338214454416627,0.008738781294284365,0.021965044874822863,0.05739253660840812,0.0403873405762872,0.00401511572980633,0.030703826169107228,0.042040623523854515,0.03377420878601795,0.07392536608408125,0.010392064241851677,0.01228153046764289,0.000944733112895607,0.01653282947567312,0.04723665564478035,0.045583372697213034,0.006613131790269249,0.06282475200755787,0.005668398677373642,0.004723665564478035,0.021256495040151157,0.014643363249881908,0.02550779404818139,0.00944733112895607,0.0269248937175248,0.0
1H6_Talbot,0.01718381775333857,0.024253731343283583,0.08424980361351139,0.01993322859387274,0.010506677140612725,0.03269835035349568,0.023959151610369208,0.005400628436763551,0.05272977219167321,0.03505498821681068,0.03053809897879026,0.023173605655930872,0.017969363707776905,0.02297721916732129,0.008935585231736057,0.020816967792615867,0.05086410054988217,0.03161822466614297,0.006087981146897094,0.022191673212882953,0.04035742340926944,0.03279654359780047,0.0684406912804399,0.007168106834249803,0.011095836606441476,0.00108012568735271,0.014434406912804398,0.05636292223095051,0.048114689709348,0.006480754124116261,0.0672623723487824,0.005400628436763551,0.003633150039277298,0.017969363707776905,0.021504320502749412,0.021798900235663787,0.008739198743126474,0.026021209740769834,0.00019638648860958367
