name,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Falstaff,340,611,1360,313,215,552,331,69,749,593,440,318,262,371,190,364,788,537,50,392,679,557,1160,139,235,16,263,733,573,96,1106,114,107,314,353,360,133,403,2
1H4_HenryIV,140,206,778,155,102,182,146,70,452,273,266,200,106,151,65,187,431,305,34,172,381,254,650,40,105,10,138,403,418,65,533,39,35,173,178,194,77,266,4
1H4_HenryV,262,425,1182,273,200,399,254,61,647,544,424,269,203,297,138,262,680,435,61,316,612,442,904,117,191,13,215,663,646,93,882,81,65,219,263,332,121,299,1
1H4_Hotspur,267,332,1190,260,134,365,227,63,696,433,413,337,230,248,118,336,744,430,58,366,592,503,987,129,194,9,217,608,583,94,905,81,79,247,272,329,109,383,3
1H6_Talbot,175,247,858,203,107,333,244,55,537,357,311,236,183,234,91,212,518,322,62,226,411,334,697,73,113,11,147,574,490,66,685,55,37,183,219,222,89,265,2
2H4_Falstaff,295,560,1467,312,132,448,332,78,773,568,487,384,254,307,193,386,947,542,70,416,747,689,1065,130,269,18,248,709,748,148,1111,114,114,358,329,401,199,433,1
2H6_QueenMargaret,152,177,678,183,71,223,168,30,405,291,229,138,116,194,85,186,425,300,29,238,315,272,560,78,104,8,106,415,343,58,496,32,48,147,127,202,60,257,1
2H6_York,161,296,811,237,67,280,177,46,511,332,296,200,163,206,90,243,501,295,44,297,475,335,664,96,105,10,153,524,450,68,592,59,41,195,191,197,73,284,4
3H6_EdwardIV,159,280,872,256,187,284,245,59,583,440,361,289,200,230,100,249,558,394,50,294,443,334,794,102,139,11,145,584,519,78,692,66,36,208,172,401,92,314,1
3H6_HenryVI,176,203,697,199,106,313,165,39,445,349,330,231,127,214,85,187,451,311,30,245,367,354,658,81,121,15,132,512,395,54,601,59,49,164,148,276,65,270,4
3H6_RichardIII,155,255,797,229,115,315,205,53,523,408,303,256,182,230,98,232,516,318,31,294,453,311,645,90,119,13,124,538,433,75,643,76,54,202,169,288,92,270,4
3H6_Warwick,173,270,913,268,149,291,198,51,582,398,384,274,167,292,94,275,585,352,52,349,506,367,803,119,128,13,172,647,513,68,722,65,33,224,176,299,94,336,5
AWW_Helen,174,307,911,217,81,380,205,72,493,316,346,272,169,236,98,270,671,350,37,231,434,458,759,98,179,7,198,541,542,81,750,76,52,246,234,291,155,333,3
AWW_King,156,222,683,160,124,249,137,54,382,337,277,253,172,218,67,220,489,287,24,213,320,315,596,67,110,8,148,410,439,67,618,48,53,195,169,233,94,252,5
AWW_Parolles,143,247,821,166,75,279,163,53,418,279,288,230,154,158,73,194,567,317,53,194,389,358,631,75,135,9,156,444,428,54,669,46,60,214,223,226,103,257,8
AYL_Rosalind,338,535,1403,339,147,512,306,100,755,552,497,409,265,357,130,401,913,595,54,435,713,667,1198,116,252,7,233,807,660,130,1073,97,150,486,379,472,338,484,4
Ado_Benedick,208,369,913,218,79,404,235,56,513,354,296,281,181,211,107,286,614,420,42,295,466,418,791,92,180,12,166,512,470,87,715,68,86,248,225,292,166,272,3
Ado_Leonato,128,223,586,179,62,284,164,50,405,267,237,228,125,165,61,211,443,288,25,177,304,312,546,64,140,7,109,394,332,93,527,58,38,205,161,194,115,188,2
Ant_Antony,374,516,1382,355,219,605,286,109,848,628,555,448,292,351,168,421,928,680,72,488,754,697,1173,120,286,18,369,863,901,138,1233,104,97,352,321,490,184,549,11
Ant_Cleopatra,273,416,1153,235,150,436,267,87,633,504,456,307,255,244,176,333,748,576,57,342,608,629,985,127,253,14,237,649,671,97,965,72,87,237,250,357,97,439,3
Ant_Octavius,169,276,809,161,79,208,172,63,421,285,258,212,134,167,77,210,498,364,45,223,362,314,618,70,143,11,175,434,437,90,666,47,45,213,191,217,110,259,4
Cor_Coriolanus,365,572,1597,349,177,610,375,120,834,814,629,460,383,352,186,391,906,603,67,416,749,815,1318,126,321,39,326,988,923,147,1358,98,104,501,427,521,270,629,3
Cor_Menenius,230,378,1116,253,96,277,271,61,542,426,405,303,217,240,117,331,687,471,40,336,513,459,857,102,205,8,263,659,592,78,893,74,93,384,259,342,261,392,3
Cym_Belarius,168,206,605,147,84,186,158,41,318,288,217,183,135,155,51,194,397,260,26,160,267,269,549,84,130,20,119,387,382,42,504,52,41,153,155,168,84,267,5
Cym_Iachimo,182,289,901,205,72,299,218,104,473,328,271,269,162,207,84,228,564,335,48,239,347,355,687,99,135,11,172,516,497,78,714,48,59,191,200,245,133,268,4
Cym_Imogen,241,416,959,264,120,458,286,70,601,422,368,316,211,287,118,324,694,484,32,319,499,545,832,111,208,10,206,631,611,79,917,93,95,292,236,296,140,383,2
Cym_Posthumus,185,288,805,226,68,317,206,53,487,375,308,280,195,223,108,191,574,306,42,237,393,393,758,90,190,10,164,530,462,68,733,71,58,242,191,235,135,303,4
H5_Fluellen,117,239,734,166,39,177,93,26,324,196,187,126,119,109,111,129,489,228,50,218,317,242,563,36,79,2,138,325,267,56,463,33,62,210,132,147,188,349,3
H5_HenryV,494,694,2270,529,336,592,492,143,1198,1041,860,639,456,606,291,467,1490,809,148,700,1099,859,1912,248,390,28,414,1330,1156,228,1618,144,129,465,526,679,251,722,7
H8_HenryVIII,204,277,920,197,95,304,188,72,527,319,346,266,176,187,109,246,553,340,37,278,398,418,737,79,122,12,186,543,494,92,725,49,63,291,215,260,184,273,7
H8_Katherine,182,227,766,221,63,281,166,62,412,218,269,185,149,179,96,202,496,299,45,210,399,415,640,90,144,8,184,477,429,73,549,53,67,223,186,204,172,239,7
H8_Wolsey,155,280,929,221,81,287,174,61,438,300,311,241,175,209,104,224,498,332,38,242,418,412,734,94,153,20,179,529,471,77,633,40,82,223,221,235,134,297,3
Ham_Claudius,217,363,1119,254,142,245,231,70,609,442,371,325,189,290,135,324,789,395,66,312,496,437,876,121,190,16,206,616,630,99,936,106,62,301,242,309,173,348,4
