character,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Falstaff,0.1438243589965956,0.17992043064059288,0.11886939058284175,0.11532084052717456,0.163154515530268,0.14409942300440434,0.1298138200518677,0.07110930267354292,0.11734458189325349,0.12158831179077878,0.09568117034910241,0.08565353649488218,0.11249076746599773,0.13882459144796336,0.15731612772311387,0.11669570742051963,0.10207519548058935,0.1149131611875656,0.0708847033639201,0.11462638217071854,0.12172141459767127,0.10343429576333026,0.12525872375498406,0.126353777241138,0.10761510575836165,0.08440997061500581,0.11628501178053785,0.1080056489143617,0.07438775700202017,0.07448866222392966,0.11925991431213692,0.14167482465566542,0.14002945592063898,0.0944486816795079,0.1375034636919013,0.0990128369080927,0.05708011720900318,0.093694350060435,0.004801668074421649
1H4_Glendower,-0.03924356912411091,-0.039435426290162695,-0.038760620161563585,-0.039484351630728165,-0.04210664308664545,-0.04104204829391822,-0.04435245398317394,-0.042376812862304256,-0.04026072277253073,-0.04166017955061033,-0.04361704336974809,-0.04266946585418986,-0.03969009085249003,-0.04563390976378684,-0.04017941685592095,-0.04430548166567317,-0.04360524723744435,-0.039006877647292625,-0.04829811540588529,-0.03852599229978846,-0.03962321149529301,-0.04077637464490007,-0.03919493967253002,-0.03087804412566578,-0.048756335885129405,-0.050955980730864256,-0.03712288473327494,-0.04223489595127625,-0.04649196594187864,-0.016984063879862003,-0.04353818278651699,-0.03804709337109481,-0.0455682513297442,-0.041037862199993384,-0.03681183896981134,-0.041177660746406435,-0.03172348359981859,-0.038541989712266134,-0.01939135183901049
1H4_HenryIV,0.02377981596662412,0.020137837012974155,0.04164660754139065,0.024394370783871105,0.04833020402674711,0.007094734243645645,0.02276810345225739,0.0730007379324737,0.04577153069181937,0.02394435435293857,0.033849820382061635,0.030390345702216118,0.008821711144233146,0.019819106795221295,0.014617034819186976,0.028469049624061035,0.027565284233686725,0.037619981512918184,0.029429809878770398,0.016680096172138482,0.04104910155118913,0.013893654095924956,0.04295119838890734,-0.006688533146157506,0.014366080925087172,0.03364773886030453,0.03180929784121363,0.031019034309298775,0.0371385382022104,0.031524199963057824,0.025413526346816307,0.008217954833813764,0.006399106700363086,0.02421484827138407,0.0397304573912612,0.0246626049251954,0.008325199117885346,0.04118310788982615,0.05318770790128593
1H4_HenryV,0.09700698721490672,0.10653879504864947,0.09525142601002681,0.09230148109849014,0.1479123502864378,0.08744613278711763,0.0852596569266245,0.05597782060209663,0.09276393804629632,0.1066365808081095,0.0899955289728228,0.06270526235216492,0.0732825987289201,0.09879547388295012,0.0979533050750803,0.06585322665645874,0.07953438199413142,0.08093081495129821,0.09938494263496053,0.08079039246211815,0.10358367978520718,0.06945022384335796,0.08394357376730634,0.09678881937729455,0.07605389735325337,0.05902885473765517,0.08384633762783736,0.09167515490722714,0.09193093746902735,0.07033081103739368,0.0825730191913135,0.08295380193405069,0.062078418875478034,0.04712801378041737,0.08722020330871497,0.0864718339230257,0.046632634760906504,0.05383180125938886,-0.01939135183901049
1H4_Hotspur,0.10000810079065602,0.06984797725267776,0.09631290756386118,0.08482018928416771,0.08084682321358488,0.0748565127388317,0.06963676855803272,0.0597606911199582,0.10457228656101104,0.07276633307185867,0.08608665052663057,0.09455184687675214,0.09122532001537935,0.07228970684665757,0.07512145021045198,0.10273894799509115,0.0928919010972176,0.07926501366520666,0.09161215010649496,0.10305091200724999,0.0981694305874567,0.08747655764438673,0.09733872005237372,0.11291516003030007,0.07820579792632894,0.02518736690118765,0.08519794905086654,0.07884405247304999,0.07679093240845951,0.07171676143290567,0.08633997717246948,0.08295380193405069,0.08806209789053168,0.06107515800330721,0.0922485293470336,0.08512815503176852,0.036185152312809825,0.08602847529100305,0.02899468798785379
1H4_Poins,-0.042244682699860196,-0.029966828149266773,-0.04526219467879916,-0.04236177155931371,-0.030929055241169963,-0.044744877719884675,-0.04724558145883908,-0.03859394234444268,-0.044598483451405525,-0.03891394324767107,-0.03579928647736362,-0.04454279435563617,-0.04965826934496739,-0.033733361298512635,-0.04246260234238378,-0.04081629180931605,-0.04736204948518734,-0.04600324304887709,-0.019797876134844874,-0.041197254645204275,-0.03989392395518054,-0.04461805234020128,-0.04661875568594087,-0.0456605230575875,-0.04158333397487752,-0.02557486485351362,-0.04928738754053763,-0.03966867546444081,-0.040484027425780285,-0.044703071790101905,-0.04435708669546395,-0.05584134268067503,-0.04185629718473654,-0.04850954660511294,-0.04016405632869043,-0.03893819592764446,-0.042170966047915266,-0.04314151457392531,-0.01939135183901049
1H4_Worcester,-0.016435105948416327,-0.02128727985344551,-0.002404876942736094,-0.0009269245876817577,-0.010606168249396353,-0.019565637623312804,-0.006163171304394044,-0.01022241346048089,-0.0045946905240046385,-0.022741662797028783,-0.014478131316315073,-0.007544556452071604,-0.0031401030467396924,-0.007768528283368912,-0.019630747477755478,-0.018385785589877423,-0.007498203411914507,-0.020349903243067385,-0.004252291077913735,-0.005580423372993349,-0.011198403207102995,-0.025114150194825872,-0.004658056479705672,-0.002656947982906127,-0.020781628435147057,-0.02557486485351362,-0.006711627715118221,-0.011906835652312063,-0.006358936654341658,-0.011440262297814023,-0.009963122519691989,-0.007796869544808435,-0.019584572314690556,-0.016630359809936168,-0.0066418827398995375,-0.012960404030005647,0.0031014578938370063,-0.007878490634538335,0.05318770790128593
1H6_Bedford,-0.042244682699860196,-0.04377520043807333,-0.043404601959589,-0.0360314477164255,-0.032961343940347325,-0.040671765351321575,-0.040880701012375766,-0.04426824812123504,-0.0414656562944404,-0.040439630082637325,-0.035088581305328666,-0.04313779797955144,-0.03171554805850814,-0.03211055923506615,-0.04017941685592095,-0.04480393735943847,-0.041935557349558575,-0.0423384802194757,-0.024979737820488585,-0.044313727381522734,-0.03637466197664273,-0.04136740198263872,-0.04177713654675989,-0.038941214452168534,-0.04158333397487752,-0.0340352368126305,-0.044556747559935474,-0.034302941719239456,-0.039522757263204554,-0.044703071790101905,-0.04157281340504431,-0.03448824350917876,-0.054848136692263356,-0.04701520972408903,-0.034577027397225284,-0.039833981855149254,-0.05174782495867056,-0.031259408681305785,-0.04358437175244263
1H6_CardinalBeaufort,-0.042244682699860196,-0.037462801677476044,-0.03345321239239169,-0.031427575830688614,-0.02279990044446052,-0.03993119946612829,-0.03393719507077942,-0.02913676604978875,-0.039296775955003,-0.032200921173819556,-0.041129575267625756,-0.03751781247521252,-0.04101918131815368,-0.0369789654254056,-0.029905082166838213,-0.04131474750308135,-0.032543551730201105,-0.03500895456067293,-0.024979737820488585,-0.033628677999859455,-0.03664537443653025,-0.03959431996942277,-0.0379038412354151,-0.03356576756783337,-0.0430179343569279,-0.0340352368126305,-0.02901321619509982,-0.03243659954699551,-0.03471640645032587,-0.02391381585742198,-0.03453023978810053,-0.04160594323301085,-0.04185629718473654,-0.038547300731620195,-0.032900918717785735,-0.03938608889139686,-0.04565346019728083,-0.03892528345073774,-0.04358437175244263
1H6_Charles,-0.02723911482111376,-0.026021578923893472,-0.026155526709780334,-0.026248219959234622,0.0036198526448451723,-0.02808214530303564,-0.02583643813891702,-0.027245330790857964,-0.03134421471039921,-0.01694405282415702,-0.025494061482856822,-0.023936180839726793,-0.026399186195853543,-0.017505340664047808,-0.025338711193912553,-0.036828646259193625,-0.027743193302529504,-0.025347307101342,-0.03275253034895415,-0.02784094291812518,-0.023921888821816624,-0.03191096457882033,-0.02354037112251151,-0.0268464589624144,-0.03225843149155007,-0.008654120935279862,-0.023606770502983068,-0.02310488868577576,-0.021258624174265568,-0.012826212693326018,-0.027160104607577968,-0.04694421802588492,-0.03443238889472121,-0.04303031137469193,-0.018933346389122866,-0.021918263305053517,-0.05174782495867056,-0.03010952746589099,-0.01939135183901049
