name,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Falstaff,340,611,1360,313,215,552,331,69,749,593,440,318,262,371,190,364,788,537,50,392,679,557,1160,139,235,16,263,733,573,96,1106,114,107,314,353,360,133,403,2
1H4_HenryV,262,425,1182,273,200,399,254,61,647,544,424,269,203,297,138,262,680,435,61,316,612,442,904,117,191,13,215,663,646,93,882,81,65,219,263,332,121,299,1
1H4_Hotspur,267,332,1190,260,134,365,227,63,696,433,413,337,230,248,118,336,744,430,58,366,592,503,987,129,194,9,217,608,583,94,905,81,79,247,272,329,109,383,3
1H6_Charles,55,89,267,67,58,87,62,17,132,139,99,84,53,82,30,56,166,116,10,72,141,99,238,25,40,5,56,171,175,33,212,8,13,38,73,90,8,80,1
1H6_HenryVI,59,104,435,126,35,103,89,34,209,127,163,119,61,103,53,55,219,133,16,134,192,137,318,45,52,9,81,289,227,38,289,34,21,99,102,103,75,113,2
2H4_ChiefJustice,80,94,320,99,26,73,52,10,150,99,106,83,48,63,35,76,180,116,30,99,130,122,239,32,43,6,73,179,171,26,227,23,20,103,57,89,105,71,1
2H4_Falstaff,295,560,1467,312,132,448,332,78,773,568,487,384,254,307,193,386,947,542,70,416,747,689,1065,130,269,18,248,709,748,148,1111,114,114,358,329,401,199,433,1
2H4_HenryV,153,202,637,155,82,227,156,38,365,296,221,155,106,164,62,135,419,271,34,167,296,289,525,49,119,14,141,378,348,60,518,51,38,176,146,187,95,192,0
AWW_Bertram,119,171,488,149,34,236,116,34,286,167,160,173,97,113,52,163,353,204,19,152,217,266,424,52,102,6,82,312,296,62,438,38,22,152,138,153,91,160,1
AWW_Fool,77,168,428,110,16,132,93,33,227,154,154,119,80,123,50,106,259,162,11,114,191,189,338,49,74,2,62,235,189,40,282,30,48,94,104,113,55,158,3
AWW_Helen,174,307,911,217,81,380,205,72,493,316,346,272,169,236,98,270,671,350,37,231,434,458,759,98,179,7,198,541,542,81,750,76,52,246,234,291,155,333,3
AYL_DukeFrederick,37,36,128,28,29,41,35,10,71,81,40,48,26,32,10,38,107,57,3,33,60,56,125,11,11,0,23,62,82,13,109,7,6,38,22,35,21,43,1
AYL_Rosalind,338,535,1403,339,147,512,306,100,755,552,497,409,265,357,130,401,913,595,54,435,713,667,1198,116,252,7,233,807,660,130,1073,97,150,486,379,472,338,484,4
Ado_Beatrice,125,231,589,143,45,208,124,31,349,203,222,131,112,145,68,207,448,241,21,184,304,259,541,67,104,3,101,306,257,29,461,44,60,159,115,191,109,217,4
Ado_Dogberry,111,157,363,105,37,97,106,38,203,156,151,121,99,93,65,84,258,143,17,95,161,179,346,32,73,3,88,228,210,35,313,32,31,121,75,119,86,120,0
Ado_DonJohn,48,79,204,45,18,87,57,11,118,80,91,78,41,55,15,66,182,95,12,71,102,117,178,26,50,1,34,125,109,20,191,21,14,81,44,80,38,55,6
Ant_Antony,374,516,1382,355,219,605,286,109,848,628,555,448,292,351,168,421,928,680,72,488,754,697,1173,120,286,18,369,863,901,138,1233,104,97,352,321,490,184,549,11
Ant_Octavius,169,276,809,161,79,208,172,63,421,285,258,212,134,167,77,210,498,364,45,223,362,314,618,70,143,11,175,434,437,90,666,47,45,213,191,217,110,259,4
Cor_Coriolanus,365,572,1597,349,177,610,375,120,834,814,629,460,383,352,186,391,906,603,67,416,749,815,1318,126,321,39,326,988,923,147,1358,98,104,501,427,521,270,629,3
Cor_TRIBUNES.Brutus,97,137,393,104,37,55,95,23,201,169,177,130,74,77,46,175,276,188,11,116,198,153,323,42,84,8,129,223,242,31,353,17,26,129,82,151,68,159,1
Cym_Cloten,126,175,489,105,47,185,108,28,251,226,179,174,88,130,58,145,376,193,24,137,224,253,452,40,95,6,78,265,281,49,441,32,33,130,126,144,71,168,2
Cym_Iachimo,182,289,901,205,72,299,218,104,473,328,271,269,162,207,84,228,564,335,48,239,347,355,687,99,135,11,172,516,497,78,714,48,59,191,200,245,133,268,4
Cym_Imogen,241,416,959,264,120,458,286,70,601,422,368,316,211,287,118,324,694,484,32,319,499,545,832,111,208,10,206,631,611,79,917,93,95,292,236,296,140,383,2
Err_AntipholusOfEphesus,83,125,379,110,67,190,90,34,246,225,141,116,104,100,64,94,301,189,22,98,168,245,357,44,78,0,71,225,254,36,363,33,23,109,70,127,66,75,1
Err_AntipholusOfSyracuse,114,146,438,137,86,232,87,30,272,232,199,150,95,131,53,103,329,255,28,124,212,283,480,44,91,3,68,309,336,35,442,41,26,133,100,170,68,153,4
Err_DromioOfEphesus,66,135,260,75,35,151,92,11,180,119,89,114,72,67,33,102,210,118,10,95,118,198,267,20,92,0,61,186,200,27,269,24,20,97,45,108,76,79,1
Err_DromioOfSyracuse,94,222,453,123,33,176,131,31,250,201,193,181,125,127,55,160,286,200,19,137,206,249,437,34,85,5,77,271,302,44,424,31,33,126,88,135,63,147,1
H5_Dauphin,60,57,262,70,19,71,40,13,134,93,94,73,44,68,25,59,168,73,14,54,114,111,200,24,49,1,47,139,137,24,174,17,10,42,47,68,22,96,2
H5_HenryV,494,694,2270,529,336,592,492,143,1198,1041,860,639,456,606,291,467,1490,809,148,700,1099,859,1912,248,390,28,414,1330,1156,228,1618,144,129,465,526,679,251,722,7
H8_HenryVIII,204,277,920,197,95,304,188,72,527,319,346,266,176,187,109,246,553,340,37,278,398,418,737,79,122,12,186,543,494,92,725,49,63,291,215,260,184,273,7
H8_Wolsey,155,280,929,221,81,287,174,61,438,300,311,241,175,209,104,224,498,332,38,242,418,412,734,94,153,20,179,529,471,77,633,40,82,223,221,235,134,297,3
Ham_Claudius,217,363,1119,254,142,245,231,70,609,442,371,325,189,290,135,324,789,395,66,312,496,437,876,121,190,16,206,616,630,99,936,106,62,301,242,309,173,348,4
Ham_Gravedigger,40,76,144,41,25,35,29,15,94,80,70,46,45,41,25,66,135,84,5,52,84,70,139,16,27,2,25,102,93,14,161,17,8,43,27,58,23,77,0
Ham_Hamlet,669,1016,3189,633,302,905,647,198,1533,1275,1065,817,622,706,343,745,1986,1089,126,945,1421,1384,2402,281,595,38,583,1532,1675,299,2437,205,202,788,709,855,438,1078,9
JC_Antony,162,207,653,133,70,180,164,34,391,272,245,199,111,135,50,171,412,311,29,163,318,282,557,49,141,8,122,381,424,65,538,37,47,218,166,182,114,313,4
JC_Brutus,353,470,1339,282,169,467,314,85,766,558,562,396,211,327,142,357,814,631,53,374,662,593,1145,106,276,18,278,768,804,140,1088,84,102,372,309,392,185,496,1
JC_PLEBEIANS,1,9,29,0,2,7,11,0,6,7,8,5,3,3,1,10,13,22,1,5,25,8,20,0,8,0,4,13,22,1,24,0,0,6,5,14,2,4,0
Jn_KingJohn,168,267,939,210,157,283,221,43,559,411,314,235,165,241,89,228,566,350,38,251,413,370,749,91,135,13,193,530,471,73,672,84,42,210,196,228,110,290,5
Jn_KingPhilip,75,123,433,88,66,73,96,26,232,180,145,121,91,91,58,87,271,157,40,104,252,119,341,50,67,11,98,243,247,37,316,27,19,96,109,107,39,141,2
LLL_Costard,85,144,353,80,31,125,67,14,156,162,106,152,85,95,41,74,249,144,12,87,176,181,303,34,97,4,73,196,217,48,298,35,22,98,64,130,50,101,0
LLL_King,138,208,609,144,79,201,115,51,342,265,229,163,134,138,50,148,395,247,27,162,270,274,510,38,118,3,129,398,372,69,509,55,30,160,162,226,102,211,5
LLL_Princess,121,154,507,156,73,146,120,41,317,218,223,156,154,133,73,122,373,216,22,160,288,204,420,57,101,2,129,367,326,53,469,47,35,156,149,210,89,191,4
Lr_Fool,81,166,348,105,73,152,91,20,198,234,175,96,78,107,51,123,225,156,8,120,230,159,362,37,82,5,59,213,184,32,346,18,25,93,60,143,29,162,1
Lr_Goneril,84,148,377,104,32,138,75,33,220,136,135,130,77,104,29,123,242,118,12,103,195,171,345,24,75,3,66,231,257,32,339,24,27,117,85,107,78,133,1
