character,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Falstaff,0.021003212255992092,0.037744007907091676,0.08401284902396837,0.019335310106251544,0.013281443044230293,0.0340993328391401,0.020447244872745244,0.004262416604892513,0.0462688411168767,0.03663207314059797,0.02718062762540153,0.019644180874722018,0.01618482826785273,0.02291821102050902,0.011737089201877934,0.02248579194465036,0.04867803311094638,0.03317272053372869,0.0030887076847047196,0.024215468248085,0.04194465035829009,0.03440820360761058,0.07165801828514949,0.00858660736347912,0.014516926118112183,0.0009883864591055103,0.016246602421546824,0.04528045465777119,0.03539659006671608,0.005930318754633061,0.0683222139856684,0.007042253521126761,0.0066098344452680995,0.01939708425994564,0.02180627625401532,0.02223869532987398,0.008215962441314555,0.024894983938720038,0.00012354830738818879
1H4_HenryV,0.019420354310280927,0.03150248313690609,0.08761396486546587,0.020235712697353792,0.014824697946779335,0.029575272403824772,0.018827366392409756,0.004521532873767697,0.047957897857831146,0.04032317841523979,0.03142835964717219,0.019939218738418203,0.015047068415981024,0.022014676450967312,0.010229041583277742,0.019420354310280927,0.05040397301904974,0.03224371803424505,0.004521532873767697,0.02342302275591135,0.04536357571714476,0.03276258246238233,0.06700763471944259,0.00867244829886591,0.014157586539174264,0.0009636053665406567,0.015936550292787784,0.049143873693573495,0.04788377436809725,0.00689348454525239,0.06537691794529686,0.00600400266844563,0.0048180268327032835,0.01623304425172337,0.019494477800014825,0.024608998591653695,0.008968942257801498,0.022162923430435105,7.412348973389667e-05
1H4_Hotspur,0.01967430550438435,0.02446393043990863,0.08768697958882912,0.01915849974209712,0.009873996020926977,0.02689558617640557,0.016726844005600178,0.004642251860585071,0.051285830078844595,0.031906270724338666,0.030432539974946576,0.02483236312725665,0.01694790361800899,0.018274261292461867,0.008695011421413308,0.024758676589787046,0.0548227838773856,0.03168521111192985,0.00427381917323705,0.026969272713875177,0.04362243018200575,0.03706432834721096,0.07272861248249944,0.009505563333578956,0.014295188269103235,0.0006631788372264387,0.015989978630904133,0.044801414781519416,0.042959251344779306,0.0069265345221428045,0.0666863164099919,0.0059686095350379486,0.00582123646009874,0.018200574754992264,0.02004273819173237,0.024242870827499815,0.00803183258418687,0.02822194385085845,0.0002210596124088129
1H6_Charles,0.016938712657838004,0.02740991684631968,0.08222975053895903,0.020634431783184477,0.017862642439174622,0.026793963658761934,0.019094548814290114,0.005235602094240838,0.04065291037881121,0.04280874653526332,0.030489682784108407,0.025870033877425317,0.01632275947028026,0.02525408068986757,0.009239297813366184,0.017246689251616876,0.051124114567292885,0.035725284878349244,0.003079765937788728,0.02217431475207884,0.043424699722821064,0.030489682784108407,0.07329842931937172,0.0076994148444718205,0.012319063751154912,0.001539882968894364,0.017246689251616876,0.05266399753618725,0.053895903911302744,0.010163227594702803,0.06529103788112103,0.0024638127502309825,0.004003695719125347,0.011703110563597166,0.022482291345857715,0.027717893440098552,0.0024638127502309825,0.024638127502309825,0.0003079765937788728
1H6_HenryVI,0.012817727568976754,0.022593960460569194,0.09450358461872692,0.02737345209645883,0.007603736693460786,0.02237671084075603,0.019335216163371714,0.007386487073647621,0.045405170540951556,0.027590701716271995,0.035411688029545946,0.025852704757766673,0.013252226808603084,0.02237671084075603,0.011514229850097762,0.011948729089724093,0.04757766673908321,0.028894199435150987,0.003475993917010645,0.029111449054964152,0.04171192700412774,0.029763197914403648,0.06908537910058657,0.00977623289159244,0.011296980230284597,0.001955246578318488,0.017597219204866392,0.06278514012600478,0.04931566369758853,0.008255485552900283,0.06278514012600478,0.007386487073647621,0.004562242016076472,0.021507712361503367,0.022159461220942863,0.02237671084075603,0.0162937214859874,0.02454920703888768,0.00043449923962633063
2H4_ChiefJustice,0.02249718785151856,0.026434195725534307,0.08998875140607424,0.02784026996625422,0.007311586051743532,0.020528683914510685,0.014623172103487065,0.00281214848143982,0.0421822272215973,0.02784026996625422,0.029808773903262094,0.023340832395950507,0.013498312710911136,0.017716535433070866,0.00984251968503937,0.021372328458942633,0.05061867266591676,0.03262092238470191,0.00843644544431946,0.02784026996625422,0.03655793025871766,0.0343082114735658,0.0672103487064117,0.008998875140607425,0.012092238470191226,0.001687289088863892,0.020528683914510685,0.050337457817772775,0.048087739032620924,0.007311586051743532,0.06383577052868392,0.0064679415073115865,0.00562429696287964,0.028965129358830145,0.016029246344206972,0.025028121484814397,0.02952755905511811,0.019966254218222724,0.00028121484814398203
2H4_Falstaff,0.017578357764271243,0.03336908592539626,0.08741508759385055,0.018591347872720772,0.007865570253843403,0.026695268740317007,0.019783100941484923,0.004647836968180193,0.046061256107734476,0.033845787152901916,0.029019187224407102,0.02288165892027172,0.015135263973304731,0.018293409605529734,0.011500417113574067,0.023000834227148135,0.056429507805982604,0.03229650816350852,0.004171135740674532,0.024788463830294365,0.04451197711834108,0.04105589321892504,0.0634608509116911,0.0077463949469669885,0.016029078774877845,0.0010725777618877368,0.014777738052675486,0.04224764628768919,0.04457156477177929,0.008818972708854724,0.06620188296984865,0.006792992491955667,0.006792992491955667,0.02133237993087832,0.0196043379811703,0.023894649028721248,0.011857943034203313,0.025801453938743894,5.9587653438207606e-05
2H4_HenryV,0.019955654101995565,0.026346680579105258,0.08308334420242598,0.020216512325551064,0.0106951871657754,0.029607408373548975,0.020346941437328812,0.004956306247554454,0.04760662579887831,0.03860701708621364,0.028824833702882482,0.020216512325551064,0.013825485848441373,0.0213903743315508,0.008086604930220426,0.017607930089996088,0.054649797834876744,0.035346289291769924,0.004434589800443459,0.02178166166688405,0.03860701708621364,0.037694013303769404,0.06847528368331812,0.0063910264771096905,0.015521064301552107,0.0018260075648884831,0.01839050476066258,0.04930220425198904,0.04538933089865658,0.007825746706664928,0.06756227990087388,0.0066518847006651885,0.004956306247554454,0.02295552367288379,0.019042650319551324,0.024390243902439025,0.012390765618886135,0.02504238946132777,0.0
AWW_Bertram,0.018894887265798667,0.027151476659256907,0.0774849158463004,0.023658304223563034,0.005398539218799619,0.03747221340107971,0.01841854557002223,0.005398539218799619,0.04541124166402032,0.026516354398221656,0.02540489044140997,0.027469037789774532,0.015401714830104794,0.01794220387424579,0.00825658939345824,0.02588123213718641,0.05604953953636075,0.032391235312797716,0.003016830739917434,0.024134645919339472,0.03445538266116227,0.042235630358844076,0.06732295966973642,0.00825658939345824,0.016195617656398858,0.000952683391552874,0.01302000635122261,0.049539536360749446,0.04699904731660845,0.009844395046046363,0.06954588758335979,0.006033661479834868,0.003493172435693871,0.024134645919339472,0.0219117180057161,0.024293426484598285,0.014449031438551922,0.02540489044140997,0.00015878056525881233
AWW_Fool,0.015804597701149427,0.034482758620689655,0.08784893267651889,0.02257799671592775,0.003284072249589491,0.027093596059113302,0.019088669950738917,0.0067733990147783255,0.0465927750410509,0.031609195402298854,0.031609195402298854,0.02442528735632184,0.016420361247947456,0.025246305418719212,0.010262725779967159,0.02175697865353038,0.05316091954022988,0.0332512315270936,0.002257799671592775,0.023399014778325122,0.03920361247947455,0.03879310344827586,0.069376026272578,0.010057471264367816,0.015188834154351396,0.00041050903119868636,0.012725779967159278,0.048234811165845645,0.03879310344827586,0.008210180623973728,0.05788177339901478,0.006157635467980296,0.009852216748768473,0.01929392446633826,0.021346469622331693,0.02319376026272578,0.011288998357963875,0.032430213464696225,0.0006157635467980296
AWW_Helen,0.015435110440876431,0.027233212099707266,0.08081256098642775,0.019249534285460834,0.007185310032821786,0.03370886188237381,0.018185043910227978,0.006386942251397144,0.04373281291581655,0.028031579881131908,0.03069280581921405,0.024128448505278097,0.014991572784529407,0.020934977379579528,0.008693338064401668,0.02395103344273929,0.0595227534817706,0.03104763594429167,0.0032821786569679767,0.020491439723232502,0.03849906857092167,0.04062804932138739,0.06732901623347823,0.008693338064401668,0.015878648097223454,0.0006209527188858334,0.017564091191342144,0.04799077441674798,0.04807948194801739,0.007185310032821786,0.06653064845205357,0.006741772376474763,0.004612791626009048,0.021822052692273573,0.020757562317040717,0.025813891599396788,0.013749667346757739,0.02953960791271179,0.00026612259380821434
AYL_DukeFrederick,0.022910216718266253,0.022291021671826627,0.07925696594427245,0.0173374613003096,0.017956656346749224,0.025386996904024767,0.021671826625386997,0.006191950464396285,0.04396284829721362,0.05015479876160991,0.02476780185758514,0.029721362229102165,0.01609907120743034,0.019814241486068113,0.006191950464396285,0.023529411764705882,0.06625386996904024,0.03529411764705882,0.0018575851393188853,0.02043343653250774,0.03715170278637771,0.0346749226006192,0.07739938080495357,0.006811145510835914,0.006811145510835914,0.0,0.014241486068111455,0.038390092879256967,0.05077399380804953,0.00804953560371517,0.06749226006191951,0.0043343653250774,0.0037151702786377707,0.023529411764705882,0.013622291021671827,0.021671826625386997,0.013003095975232198,0.026625386996904025,0.0006191950464396285
AYL_Rosalind,0.01952741348431452,0.030908775781385407,0.0810560979837079,0.019585186896990004,0.008492691663296551,0.029579987289849213,0.017678664278698943,0.005777341267548674,0.043618926569992486,0.031890923796868684,0.02871338609971691,0.023629325784274076,0.015309954359003987,0.020625108325148765,0.007510543647813277,0.02316713848287018,0.052747125772719394,0.03437518054191461,0.003119764284476284,0.02513143451383673,0.04119244323762205,0.03853486625454965,0.06921254838523312,0.006701715870356462,0.01455889999422266,0.00040441388872840717,0.01346120515338841,0.0466231440291178,0.03813045236582125,0.007510543647813277,0.06199087180079727,0.0056040210295222135,0.00866601190132301,0.028077878560286557,0.021896123404009475,0.02726905078282974,0.01952741348431452,0.02796233173493558,0.00023109365070194697
Ado_Beatrice,0.017462978485610507,0.03227158424140821,0.0822855546241967,0.01997764738753842,0.006286672254819782,0.029058396200055882,0.01732327465772562,0.004330818664431405,0.048756635931824534,0.02835987706063146,0.03101424979044426,0.01830120145291981,0.015646828723107013,0.020257055043308186,0.009499860296172115,0.028918692372170998,0.06258731489242805,0.033668622520257055,0.002933780385582565,0.025705504330818665,0.04246996367700475,0.03618329142218497,0.07557977088572226,0.009360156468287232,0.014529198100027941,0.00041911148365465214,0.014110086616373288,0.04274937133277452,0.0359038837664152,0.004051411008661637,0.06440346465493155,0.006146968426934898,0.008382229673093043,0.022212908633696564,0.016065940206761664,0.026683431126012853,0.01522771723945236,0.030315730651019838,0.0005588153115395362
Ado_Dogberry,0.023363502420543043,0.03304567459482214,0.07640496737528941,0.02210061039781099,0.007787834140181015,0.02041675436750158,0.022311092401599664,0.00799831614396969,0.04272784676910124,0.032835192591033464,0.031782782572090086,0.025468322458429803,0.02083771837507893,0.019574826352346874,0.013681330246263945,0.01768048831824879,0.05430435697747842,0.030098926541780677,0.003578194064407493,0.019995790359924225,0.03388760260997685,0.03767627867817302,0.07282677331088191,0.006735424121237634,0.015365186276573352,0.0006314460113660282,0.018522416333403496,0.047989896863818146,0.04420122079562198,0.007366870132603663,0.0658808671858556,0.006735424121237634,0.006524942117448958,0.025468322458429803,0.015786150284150705,0.02504735845085245,0.01810145232582614,0.025257840454641127,0.0
Ado_DonJohn,0.017486338797814208,0.02877959927140255,0.07431693989071038,0.01639344262295082,0.006557377049180328,0.03169398907103825,0.020765027322404372,0.004007285974499089,0.04298724954462659,0.029143897996357013,0.033151183970856105,0.02841530054644809,0.01493624772313297,0.020036429872495445,0.00546448087431694,0.024043715846994537,0.06630236794171221,0.03460837887067395,0.004371584699453552,0.025865209471766848,0.03715846994535519,0.04262295081967213,0.06484517304189436,0.00947176684881603,0.018214936247723135,0.00036429872495446266,0.01238615664845173,0.04553734061930783,0.03970856102003643,0.007285974499089253,0.06958105646630237,0.007650273224043716,0.005100182149362477,0.029508196721311476,0.016029143897996357,0.029143897996357013,0.013843351548269581,0.020036429872495445,0.002185792349726776
Ant_Antony,0.02034267065542562,0.02806635844438401,0.07516997552352461,0.019309219472395975,0.011911884688604841,0.03290726135436497,0.015556159912972533,0.005928746260538483,0.04612455806363883,0.03415828120750612,0.03018765297797117,0.02436769105248844,0.015882512918139788,0.01909165080228447,0.009137884144683165,0.02289910252923579,0.050475931465868915,0.03698667391895567,0.003916236062007071,0.02654337775360348,0.04101169431601849,0.03791134076692956,0.06380201251019853,0.006527060103345118,0.015556159912972533,0.0009790590155017678,0.020070709817786237,0.046940440576556976,0.049007342942616265,0.007506119118846886,0.0670655425618711,0.005656785422899102,0.0052760402502039705,0.019146042969812347,0.017459885776448192,0.026652162088659233,0.010008158825129182,0.029861299972803915,0.0005983138428066358
