character,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Falstaff,0.11748238705891648,0.26047036517300626,0.03393413002802426,-0.0115281733211472,0.12533643142520895,0.09291321230614136,0.05952548559138832,-0.06586563406741014,0.049680983127529735,0.04245987356155465,-0.10958679098712334,-0.14421939493772926,-0.013720564935053369,0.1175873562070993,0.1431515081143607,-0.002676885589324894,-0.08113252133405399,-0.01770620941653258,-0.045759606822499355,0.01362136475371653,0.0300671689844167,-0.06298059512345928,0.09644806595975641,0.03828090802563544,-0.0210241115016717,0.005671041955989298,0.016062576108015328,-0.041920252586692366,-0.26131533574012006,-0.1016031470710435,0.015452457982665492,0.074019003555778,0.07697283617645803,-0.08759454827902761,0.09969242211436495,-0.07511622353217513,-0.10650520250496374,-0.051813825649910654,-0.06556275358962742
1H4_HenryV,0.0595804413314837,0.08238604356938638,0.09019079031508584,0.017879112969126563,0.17682521932212578,0.010139231950842114,0.007736300135170033,-0.04973176645309233,0.0844163416568416,0.11416903335431645,0.040735572398398964,-0.1359233927395628,-0.05342700301252868,0.07919338076053048,0.06067017705802248,-0.0733109316925943,-0.04934414180226445,-0.03641936227072523,0.052194357598143115,-0.008179668901144025,0.08799404533272037,-0.09699218983222903,-0.049571519039589486,0.04275563718315368,-0.03492332101805258,0.0018726433094830106,0.003001214286199978,0.046616754694257447,0.012537322154927658,-0.04450138838574685,-0.05682674169533701,0.006201378135629267,-0.036182738783689605,-0.17948571255645082,0.024938831082714757,-0.008853322715640962,-0.08798744331573634,-0.11238549128302314,-0.079365357717584
1H4_Hotspur,0.06887013678282544,-0.11843922401644602,0.09133142690357512,-0.01730282684742329,0.011651182952609465,-0.038889356043982685,-0.05941956665731277,-0.04221520193824794,0.15285508385849805,-0.04935092439772152,0.0054946565714277485,0.0016641565234381754,0.012909838738958342,-0.07974841582006284,-0.023232246227918397,0.04969509451948651,0.03204156344997262,-0.04766952081520505,0.035259605757164546,0.08938150779260334,0.05849380431190257,-0.008083975448160401,0.13006415766293275,0.08618438269483107,-0.029600903488227272,-0.04417616262331752,0.005251954697075391,-0.052898289558227035,-0.095460901163664,-0.04254200421395482,-0.024693376563109562,0.0038895300329389306,0.02717158642257301,-0.12234399872638278,0.04266720746015522,-0.01908859012361479,-0.11103344121625519,0.021947170038769084,-0.03833129366570357
1H6_Charles,-0.031199581388828737,-0.03438380327290253,0.006078551328331379,0.03090133927354608,0.2781824736248231,-0.04074868139990138,0.01627839768469588,-0.005270265364859774,-0.06581032212741252,0.16245755081250743,0.0075168750352266125,0.030841831268388468,-0.008906933359698865,0.21684567542915906,0.006537016712065078,-0.12339668657643972,-0.03608056712930849,0.03371079621864731,-0.04637090230079857,-0.042532978353348905,0.05514365575430975,-0.14396833795435574,0.14795610504105886,-0.007966796699922642,-0.10603715019003068,0.09020337606727603,0.05819257532156358,0.12728655193736632,0.14438751474270392,0.14934694010667973,-0.058934286139711876,-0.22504068939523553,-0.08760907759299381,-0.3110456421463793,0.1215518344776536,0.07805724029681496,-0.24796573101797656,-0.0575085099860636,-0.014058453768969383
1H6_HenryVI,-0.18194782484639113,-0.17179354807208805,0.19782048483917553,0.2509987730512823,-0.0640932069014763,-0.12156846778644781,0.023972781014155294,0.12865453087435136,0.03191964546576182,-0.13319188924968553,0.18170099430122696,0.030354563590337356,-0.11606479694152767,0.09457734053465605,0.1309624129250167,-0.24547268581802814,-0.10139908084089286,-0.1038896366431272,-0.019283088884740045,0.14831509876884286,0.026124135561645234,-0.15898328171714055,0.015668555888132887,0.10029388602023268,-0.1455712116530211,0.1538695186199332,0.07295911979619965,0.3592302440044413,0.043939653475477874,0.036245512745191305,-0.1204304080004732,0.09650403408729308,-0.052335967394016095,-0.02629694360121648,0.11111290062992975,-0.07125793744018633,0.09214819231740483,-0.05947993798409451,0.02127484793522932
2H4_ChiefJustice,0.17213296014708893,-0.062223256013586,0.12728972452036136,0.2662451160517878,-0.07384045111918894,-0.15538069171144367,-0.126676126701871,-0.15616654033864788,-0.03436000577565254,-0.12834338773440107,-0.016579709140613675,-0.04027534937771074,-0.10747669759379637,-0.10344791075165789,0.03952970360353303,-0.028333395544701864,-0.04538980142928466,-0.028821231295524285,0.31983426899343204,0.11334358543698665,-0.06120006746539724,-0.06504722628401366,-0.04320640703698571,0.05977166455931986,-0.11481072340187806,0.11279750524514374,0.19645100289919754,0.07396982339204945,0.017010409453743415,-0.01971403447208193,-0.09464735474466326,0.03650545186773456,0.014734535768294931,0.19028398729909332,-0.08711180837904807,0.002863447516786592,0.4176031539096754,-0.1610871626498142,-0.02153206314786792
2H4_Falstaff,-0.007800958449942685,0.13564429432240122,0.0870839279978137,-0.035826093614566804,-0.05535745454289486,-0.04255444225507415,0.038292119235080455,-0.04186744536185628,0.04541200888703669,-0.011670857548361575,-0.04452227591621998,-0.05318658767047973,-0.05034908509353967,-0.07893474483662301,0.13020693751432486,0.009190757685878884,0.061634221806876874,-0.03535599617790092,0.028239733844948912,0.029385093735968548,0.07356540429686718,0.07441343719396509,-0.16093865518495948,-0.005517810869198894,0.03746576222517724,0.018575724414952553,-0.04581530573652799,-0.1114223630891617,-0.06010174359160983,0.06965212655451791,-0.03658164207899248,0.05773749406843863,0.08853956573836824,-0.03138900980261017,0.02849123550557786,-0.028823288162756974,-0.016939296335521128,-0.03171676060270925,-0.08342470287210792
2H4_HenryV,0.07916204659918905,-0.06472025411192012,0.01941339832089009,0.017252025890455103,0.039049208133082304,0.01072720423032035,0.05631868132690946,-0.022660613856785257,0.07719245117808746,0.08082821053391163,-0.05140022408671247,-0.1281263317807683,-0.09605875214196255,0.052664854844497996,-0.056508501299681706,-0.11507294782332377,0.028855504684452415,0.026076583881581246,0.04625056293566011,-0.053335289943936694,-0.02648237496711449,0.004930313775562808,-0.0034881176164964925,-0.07617066179543185,0.017815826576624016,0.13406000891394984,0.10637733793179052,0.05024517648162464,-0.04216756227604177,0.0107682334082142,-0.003196746275272008,0.04852045821540745,-0.027450168064091226,0.015750902415597817,0.010328679132408869,-0.01496870909185502,-0.0038357839999958506,-0.04854574355553761,-0.10006542772160115
AWW_Bertram,0.04035852418243951,-0.041757665763689084,-0.068045293938518,0.12966147550396584,-0.1376668886413516,0.15462475514836255,-0.005334123137942609,0.004875010377572562,0.032044497776140705,-0.15406383349691993,-0.17242809285858493,0.07580331453545064,-0.04105027354836405,-0.09385856145434185,-0.04721135138622849,0.07556110444886407,0.05463596218725314,-0.03344788115660022,-0.05067341748558701,0.011397854964781602,-0.09682354616597193,0.09879617047504731,-0.03967048233341703,0.021077681775789035,0.043907465122826055,0.00019854379582362073,-0.11986211144703951,0.055684057029294604,-0.006865358923068331,0.13044479529245054,0.045482087295268835,0.008138665406820102,-0.11984945611473724,0.0499953859779599,0.10310195358570118,-0.017675283840808024,0.04678239986290415,-0.04050884682845946,-0.05572362962312618
AWW_Fool,-0.07268622448828131,0.16741980651409633,0.0938614593261964,0.09437846713359647,-0.20821345947217854,-0.035266489732679186,0.01609044435460308,0.09048061913714203,0.0563426663754469,-0.0551223722848876,0.047135142323225514,-0.009782175985168352,-0.005500749765842304,0.21651528013536092,0.06251250441177378,-0.019470256633141142,0.0014333284634459565,-0.016124740884005877,-0.10256397805666305,-0.008840154363565928,-0.016374255032326163,0.02764624000910184,0.02479472340437522,0.11495432210705345,0.004965206454985457,-0.08290490901402343,-0.13225679254520487,0.025783996225549166,-0.18682742920594952,0.03355958770091083,-0.2407617491955933,0.01623653642534817,0.2817345702043744,-0.09059055133732234,0.08482425882831449,-0.04841695093724502,-0.030931146151295767,0.11524740960900662,0.07189556022433194
