name,AA,AE,AH,AO,AW,AY,EH,ER,EY,IH,IY,OW,OY,UH,UW
1H4_Archbishop,11,12,89,19,7,19,31,23,13,44,17,9,0,3,23
1H4_Bardolph,18,12,50,16,5,20,20,11,11,26,17,8,0,1,22
1H4_Bedford,5,6,11,6,1,8,5,4,6,11,11,0,0,0,5
1H4_Blunt,20,30,89,19,8,18,33,21,16,47,31,7,1,5,23
1H4_Chamberlain,8,20,40,13,3,12,9,9,10,22,11,9,0,2,9
1H4_DRAWERS.Francis,2,5,10,8,2,10,2,8,2,8,5,3,0,4,6
1H4_Douglas,23,28,89,20,18,33,28,18,11,70,30,20,0,2,11
1H4_Falstaff,340,611,1360,313,215,552,440,318,262,788,537,235,16,107,314
1H4_Gadshill,15,43,84,18,12,19,24,31,29,47,31,17,1,5,25
1H4_Glendower,35,55,172,44,13,52,48,44,33,90,75,17,0,7,42
1H4_HenryIV,140,206,778,155,102,182,266,200,106,431,305,105,10,35,173
1H4_HenryV,262,425,1182,273,200,399,424,269,203,680,435,191,13,65,219
1H4_Hotspur,267,332,1190,260,134,365,413,337,230,744,430,194,9,79,247
1H4_LadyPercy,24,31,107,24,12,49,40,21,16,59,50,17,0,5,30
1H4_MESSENGERS.1,1,0,0,2,0,1,1,1,0,0,1,0,0,0,1
1H4_MESSENGERS.2,1,0,3,1,0,1,1,0,1,1,1,0,0,0,0
1H4_MESSENGERS.X,5,2,10,6,0,9,6,4,1,9,6,0,0,0,0
1H4_MistressQuickly,26,33,76,33,22,51,24,23,16,39,39,30,2,10,29
1H4_Mortimer,28,46,134,26,14,47,42,45,18,85,50,11,1,8,27
1H4_Northumberland,11,12,51,14,3,15,16,11,11,41,19,4,1,5,9
1H4_Ostler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1H4_Peto,3,9,24,5,3,12,5,6,4,10,11,4,0,4,5
1H4_Poins,30,79,123,39,24,42,70,40,18,72,54,27,3,9,27
1H4_SERVANTS.HOTSPUR.1,0,1,2,5,2,3,0,1,0,4,3,1,0,0,0
1H4_Sheriff,6,4,14,6,1,9,5,3,1,9,5,4,0,1,4
1H4_SirMichael,2,2,14,8,1,6,10,6,1,6,5,2,0,3,1
1H4_TRAVELERS.CARRIERS,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
1H4_TRAVELERS.CARRIERS.1,18,18,36,3,3,15,11,10,11,25,17,7,1,5,5
1H4_TRAVELERS.CARRIERS.2,4,13,40,11,4,13,10,7,11,20,19,3,0,1,5
1H4_TRAVELERS.CARRIERS.X,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
1H4_TRAVELERS.GENTLEMEN,1,0,5,0,1,0,2,3,0,0,3,2,0,0,0
1H4_TRAVELERS.GENTLEMEN.0.1,1,1,12,2,4,1,4,6,1,1,5,2,1,1,0
1H4_Vernon,26,32,144,32,10,38,41,41,27,100,45,17,0,4,23
1H4_Vintner,2,3,9,4,1,2,3,1,0,6,0,1,0,1,1
1H4_Westmoreland,20,18,91,25,5,19,37,16,23,45,25,7,0,4,22
1H4_Worcester,73,101,446,111,44,110,130,119,88,263,131,56,3,21,91
1H6_Alanson,19,32,91,33,11,19,36,29,23,44,44,12,4,9,17
1H6_Basset,8,16,65,18,4,15,19,12,5,38,24,6,0,2,11
1H6_Bastard,11,16,60,14,8,12,16,19,10,42,30,10,0,3,10
1H6_Bedford,30,44,137,50,22,53,72,43,45,98,65,27,2,2,30
1H6_Boy,3,2,7,3,0,7,4,3,3,2,0,2,0,0,3
1H6_Burgundy,31,28,83,23,11,30,27,36,21,43,52,15,0,6,12
1H6_CardinalBeaufort,30,60,212,58,32,55,55,55,31,143,87,25,2,9,47
1H6_Charles,55,89,267,67,58,87,99,84,53,166,116,40,5,13,38
