character,AA,AE,AH,AO,AW,AY,EH,ER,EY,IH,IY,OW,OY,UH,UW
1H4_Archbishop,-0.008828096931817467,-0.010210262658165225,-0.005354138909949935,-0.006667894965257098,-0.007539515185992344,-0.00828030349519271,-0.005719163487744224,-0.006431233147892404,-0.007706984238978608,-0.007341581191303531,-0.010118107811237056,-0.009140595002799774,-0.012320409986900949,-0.00914758211490674,-0.005624237954302055
1H4_Bardolph,-0.0058092760030883225,-0.010210262658165225,-0.009034548831453475,-0.00786626115410821,-0.00905410173477744,-0.00801517683124134,-0.008518112563252248,-0.010374979101826354,-0.008652583154810142,-0.009995794337369988,-0.010118107811237056,-0.00965341528233221,-0.012320409986900949,-0.011840843848917858,-0.005977070258675434
1H4_Bedford,-0.01141565772787102,-0.011897559106864094,-0.012714958752957016,-0.011860815116945245,-0.012083274832347635,-0.01119669679865779,-0.012334861302581372,-0.012675497574954493,-0.01101658044438898,-0.012207638625758702,-0.011513218997790663,-0.013755977518591686,-0.012320409986900949,-0.013187474715923417,-0.011975219433022868
1H4_Blunt,-0.0049467557377371385,-0.005148373312068614,-0.005354138909949935,-0.006667894965257098,-0.006782221911599795,-0.008545430159144081,-0.0052102636558336735,-0.007088524140214729,-0.006288585865231306,-0.0068992123336257885,-0.0068628483759453065,-0.010166235561864644,-0.005852853354432988,-0.006454320380895621,-0.005624237954302055
1H4_Chamberlain,-0.010121877329844244,-0.007960534059900064,-0.00997824368312105,-0.00906462734295932,-0.010568688283562538,-0.010136190142852306,-0.011317061638760272,-0.011032270094148679,-0.00912538261272591,-0.010585619480940311,-0.011513218997790663,-0.009140595002799774,-0.012320409986900949,-0.010494212981912299,-0.010563890215529354
1H4_DRAWERS.Francis,-0.012709438125897796,-0.01217877518164724,-0.012809328238123774,-0.011061904324377838,-0.011325981557955086,-0.010666443470755047,-0.013098211050447197,-0.011360915590309842,-0.01290777827605205,-0.012650007483436445,-0.01290833018434427,-0.012217516679994381,-0.012320409986900949,-0.00780095124790118,-0.011622387128649488
1H4_Douglas,-0.003652975339710362,-0.005710805461634905,-0.005354138909949935,-0.006268439568973395,0.0007907108323256889,-0.00456853019987352,-0.0064825132356100485,-0.008074460628698217,-0.008652583154810142,-0.003507717758096427,-0.007095366907037575,-0.003499571927942995,-0.012320409986900949,-0.010494212981912299,-0.009858225606782596
1H4_Falstaff,0.13305648671845233,0.15823816613693864,0.11458947673699879,0.11077199154215177,0.14997748588765772,0.13303220839088792,0.09835085213796323,0.09051918821965055,0.11002008078204746,0.10236589551277668,0.11079152835674222,0.10675678817153042,0.09116049613258642,0.13090202805367143,0.09704996261835108
1H4_Gadshill,-0.0071030564011150986,-0.0014925643398877298,-0.005825986335783723,-0.007067350361540802,-0.0037530488140296017,-0.00828030349519271,-0.007500312899431149,-0.0038020691786031036,-0.0001421929123263306,-0.0068992123336257885,-0.0068628483759453065,-0.005038032766540299,-0.005852853354432988,-0.006454320380895621,-0.004918573345555298
1H4_Glendower,0.001522146252396743,0.00188202855751001,0.0024785283588909333,0.0033184899418354915,-0.002995755539637053,0.0004688764152025256,-0.0013935149165045498,0.0004703222714920095,0.0017490049193367389,-0.0005585920402448083,0.003367966992114478,-0.005038032766540299,-0.012320409986900949,-0.0037610586468845024,0.001079575828792136
1H4_HenryIV,0.04680446018333392,0.0443456558497649,0.05966643636994595,0.04765803892932659,0.06440334588129976,0.034935342728880735,0.05407656676174539,0.05173901967263336,0.036263365347187757,0.04972400144912529,0.05684722914333608,0.04009015183231394,0.05235515633777866,0.03394460562927115,0.04730060770170472
1H4_HenryV,0.09941819636975614,0.10593197622727366,0.09779170837731596,0.09479377569080362,0.13861808677176948,0.0924678288063282,0.09427965348267883,0.07441555890775359,0.08212491276501718,0.08644061663637793,0.0870746381853309,0.0841926958721033,0.07175782623518254,0.07434353163943794,0.06353089370288013
1H4_Hotspur,0.1015744970331341,0.07977888127244116,0.09854666425865002,0.08960085553911547,0.08863673066186131,0.08345352223198159,0.09148070440717081,0.09676345264671264,0.09489049812874291,0.09587781893350313,0.08591204552986956,0.0857311567107006,0.0458875997053107,0.09319636377751576,0.07341019822533472
1H4_LadyPercy,-0.00322171520703477,-0.0048671572372854695,-0.003655488176948301,-0.00467061798383858,-0.0037530488140296017,-0.0003265035766515868,-0.0034291142441467493,-0.007088524140214729,-0.006288585865231306,-0.005129736902914817,-0.002444996285192218,-0.005038032766540299,-0.012320409986900949,-0.006454320380895621,-0.003154411823688406
1H4_MESSENGERS.1,-0.013140698258573388,-0.013584855555562964,-0.01375302308979135,-0.013458636702080059,-0.012840568106740183,-0.013052583446317385,-0.013352660966402473,-0.01366143406343798,-0.013853377191883584,-0.013829657770577092,-0.013838404308713342,-0.013755977518591686,-0.012320409986900949,-0.013187474715923417,-0.013386548650516382
1H4_MESSENGERS.2,-0.013140698258573388,-0.013584855555562964,-0.013469914634291076,-0.013858092098363762,-0.012840568106740183,-0.013052583446317385,-0.013352660966402473,-0.013990079559599142,-0.013380577733967816,-0.013682201484684511,-0.013838404308713342,-0.013755977518591686,-0.012320409986900949,-0.013187474715923417,-0.01373938095488976
1H4_MESSENGERS.X,-0.01141565772787102,-0.013022423405996674,-0.012809328238123774,-0.011860815116945245,-0.012840568106740183,-0.01093157013470642,-0.012080411386626097,-0.012675497574954493,-0.013380577733967816,-0.012502551197543864,-0.012675811653252003,-0.013755977518591686,-0.012320409986900949,-0.013187474715923417,-0.01373938095488976
1H4_MistressQuickly,-0.0023591949416835855,-0.00430472508771918,-0.006580942217117782,-0.001075519417285248,0.0038198839298958826,0.0002037497512511548,-0.007500312899431149,-0.006431233147892404,-0.006288585865231306,-0.008078862620766436,-0.005002700127207164,0.0016286308673813502,0.0006147032780349726,0.0002788339541321752,-0.0035072441280617843
1H4_Mortimer,-0.0014966746763324015,-0.0006489161155382949,-0.00110751207744585,-0.0038717071912711732,-0.002238462265244505,-0.0008567569045543284,-0.0029202144122361996,0.000798967767653172,-0.0053429869493997716,-0.001295873469707713,-0.002444996285192218,-0.008114954443734905,-0.005852853354432988,-0.0024144277798789433,-0.004212908736808541
