character,AA,AE,AH,AO,AW,AY,EH,ER,EY,IH,IY,OW,OY,UH,UW
1H4_Archbishop,-0.5987662360474972,-0.6448725347867098,-0.4942933752014996,-0.5462326252578225,-0.537109490127483,-0.5766472194558545,-0.501443149317079,-0.5346783880766949,-0.5704466113837344,-0.5610725066301088,-0.6562327334112072,-0.6131861468666704,-0.6701101027627299,-0.6002699980113724,-0.502592681151787
1H4_Bardolph,-0.5024839733192685,-0.6448725347867098,-0.6120671293504596,-0.5847885768713721,-0.5849180735238265,-0.5682115148904758,-0.5907957374495217,-0.6612865561337962,-0.6007235004903254,-0.6461506907362085,-0.6562327334112072,-0.6295798022980458,-0.6701101027627299,-0.6858159722239185,-0.5138824504725314
1H4_Blunt,-0.4749747553969175,-0.48327173090752923,-0.4942933752014996,-0.5462326252578225,-0.5132051984293111,-0.5850829240212333,-0.4851972242020894,-0.5557797494195451,-0.5250312777238478,-0.5468928092790922,-0.5515616777624092,-0.6459734577294212,-0.4673362077811061,-0.5147240237988263,-0.502592681151787
1H4_Chamberlain,-0.6400300629310238,-0.5730499552848518,-0.6422655278501929,-0.6233445284849217,-0.6327266569201702,-0.6356971514135058,-0.6801483255819645,-0.6823879174766464,-0.615861945043621,-0.6650569538708972,-0.7010917572606922,-0.6131861468666704,-0.6701101027627299,-0.6430429851176455,-0.6606494516422093
1H4_Douglas,-0.43371092851339094,-0.5012273757829937,-0.4942933752014996,-0.5333806413866392,-0.27416228144759314,-0.458547355540552,-0.5258120369895634,-0.5874317914338204,-0.6007235004903254,-0.43818179625463155,-0.5590381817373232,-0.4328559371215405,-0.6701101027627299,-0.6430429851176455,-0.6380699130007205
1H4_Falstaff,3.9265001121792515,4.732843105414909,3.3439230741146067,3.2322506328700453,4.4349831830922515,3.9195833138910214,2.8208485366982927,2.577772409993714,3.1990260823868506,2.9554924364220088,3.231549333544151,3.091779980624178,2.5742722169432497,3.8481206610410243,2.782730191184849
1H4_Gadshill,-0.5437478002027951,-0.36656003921700997,-0.5093925744513662,-0.5590846091290056,-0.41758803163662395,-0.5766472194558545,-0.5583038872195425,-0.4502729427052939,-0.3282314985310061,-0.5468928092790922,-0.5515616777624092,-0.48203690341566685,-0.4673362077811061,-0.5147240237988263,-0.4800131425102981
1H4_Glendower,-0.2686556209792846,-0.258826169964223,-0.24364666765371296,-0.22493302847824184,-0.3936837399384521,-0.2982689687983557,-0.3633527858396674,-0.3131140939767674,-0.267677720317824,-0.3436504805811875,-0.2225955028661865,-0.48203690341566685,-0.6701101027627299,-0.42917804958628025,-0.2880870640576424
1H4_HenryIV,1.175578319944146,1.0968250181333472,1.5863762814301268,1.201637181223096,1.733798221198838,0.7983726247008823,1.407453051694198,1.3327920907655506,0.837428732072749,1.2681084516510333,1.497000411364068,0.9606047745453715,1.3576288470535074,0.768465589389365,1.190872716959881
1H4_HenryV,2.8536406132075602,3.06296813199671,2.806391580819353,2.7181712780227163,4.076418807619675,2.628920515388072,2.6908811357783757,2.060789057093883,2.305857853742415,2.445023331785411,2.4689459281029076,2.370459141643659,1.9659505319983783,2.0516552025775563,1.710202105714126
1H4_Hotspur,2.922413658013438,2.228030645287611,2.83055029961914,2.5510954876973346,2.498735555540336,2.3421065601651945,2.601528547645933,2.7782353427507913,2.714595856681394,2.7475235419404322,2.431563408228337,2.419640107937785,1.1548549520718836,2.650477022065379,2.0263156466949708
1H4_LadyPercy,-0.4199563195522154,-0.474293908469797,-0.4399362579019796,-0.4819727059019063,-0.41758803163662395,-0.32357608249449193,-0.4283364862996258,-0.5557797494195451,-0.5250312777238478,-0.4901740198750258,-0.4095081022390403,-0.48203690341566685,-0.6701101027627299,-0.5147240237988263,-0.42356429590657585
1H4_MistressQuickly,-0.39244710162986435,-0.4563382635943325,-0.5335512932511529,-0.36630485106125726,-0.17854511465490594,-0.3067046733637344,-0.5583038872195425,-0.5346783880766949,-0.5250312777238478,-0.5847053355484698,-0.4917496459630959,-0.26891938280778616,-0.26456231279948245,-0.3008590882674611,-0.4348540652273203
