character,AA,AE,AH,AO,AW,AY,EH,ER,EY,IH,IY,OW,OY,UH,UW
1H4_Falstaff,340,611,1360,313,215,552,440,318,262,788,537,235,16,107,314
1H4_HenryIV,140,206,778,155,102,182,266,200,106,431,305,105,10,35,173
1H4_HenryV,262,425,1182,273,200,399,424,269,203,680,435,191,13,65,219
1H4_Hotspur,267,332,1190,260,134,365,413,337,230,744,430,194,9,79,247
1H6_Talbot,175,247,858,203,107,333,311,236,183,518,322,113,11,37,183
2H4_Falstaff,295,560,1467,312,132,448,487,384,254,947,542,269,18,114,358
2H6_QueenMargaret,152,177,678,183,71,223,229,138,116,425,300,104,8,48,147
2H6_York,161,296,811,237,67,280,296,200,163,501,295,105,10,41,195
3H6_EdwardIV,159,280,872,256,187,284,361,289,200,558,394,139,11,36,208
3H6_HenryVI,176,203,697,199,106,313,330,231,127,451,311,121,15,49,164
3H6_RichardIII,155,255,797,229,115,315,303,256,182,516,318,119,13,54,202
3H6_Warwick,173,270,913,268,149,291,384,274,167,585,352,128,13,33,224
AWW_Helen,174,307,911,217,81,380,346,272,169,671,350,179,7,52,246
AWW_King,156,222,683,160,124,249,277,253,172,489,287,110,8,53,195
AWW_Parolles,143,247,821,166,75,279,288,230,154,567,317,135,9,60,214
AYL_Rosalind,338,535,1403,339,147,512,497,409,265,913,595,252,7,150,486
Ado_Benedick,208,369,913,218,79,404,296,281,181,614,420,180,12,86,248
Ado_Leonato,128,223,586,179,62,284,237,228,125,443,288,140,7,38,205
Ant_Antony,374,516,1382,355,219,605,555,448,292,928,680,286,18,97,352
Ant_Cleopatra,273,416,1153,235,150,436,456,307,255,748,576,253,14,87,237
Ant_Octavius,169,276,809,161,79,208,258,212,134,498,364,143,11,45,213
Cor_Coriolanus,365,572,1597,349,177,610,629,460,383,906,603,321,39,104,501
Cor_Menenius,230,378,1116,253,96,277,405,303,217,687,471,205,8,93,384
Cym_Belarius,168,206,605,147,84,186,217,183,135,397,260,130,20,41,153
Cym_Iachimo,182,289,901,205,72,299,271,269,162,564,335,135,11,59,191
Cym_Imogen,241,416,959,264,120,458,368,316,211,694,484,208,10,95,292
Cym_Posthumus,185,288,805,226,68,317,308,280,195,574,306,190,10,58,242
H5_Fluellen,117,239,734,166,39,177,187,126,119,489,228,79,2,62,210
H5_HenryV,494,694,2270,529,336,592,860,639,456,1490,809,390,28,129,465
H8_HenryVIII,204,277,920,197,95,304,346,266,176,553,340,122,12,63,291
H8_Katherine,182,227,766,221,63,281,269,185,149,496,299,144,8,67,223
H8_Wolsey,155,280,929,221,81,287,311,241,175,498,332,153,20,82,223
Ham_Claudius,217,363,1119,254,142,245,371,325,189,789,395,190,16,62,301
Ham_Hamlet,669,1016,3189,633,302,905,1065,817,622,1986,1089,595,38,202,788
Ham_Polonius,141,221,690,173,50,258,242,166,120,463,306,121,3,41,228
JC_Antony,162,207,653,133,70,180,245,199,111,412,311,141,8,47,218
JC_Brutus,353,470,1339,282,169,467,562,396,211,814,631,276,18,102,372
JC_Cassius,217,315,933,192,104,300,377,308,163,623,386,204,8,68,285
Jn_Bastard,244,385,1108,249,157,359,371,324,205,633,403,159,17,61,253
Jn_KingJohn,168,267,939,210,157,283,314,235,165,566,350,135,13,42,210
LLL_Berowne,254,348,1156,302,106,435,411,309,287,752,496,226,15,72,313
Lr_Edgar,190,232,722,163,87,271,258,202,137,452,266,146,7,67,166
Lr_Gloucester,122,202,618,138,71,228,268,192,135,456,247,118,10,52,174
Lr_Kent,141,221,644,184,69,229,227,213,149,428,220,152,8,44,214
Lr_Lear,358,424,1265,344,243,531,496,508,313,782,570,280,24,86,376
MM_Duke,316,581,1756,467,163,481,635,529,306,1206,670,370,10,111,606
MM_Isabella,151,293,796,177,68,277,291,241,127,532,316,162,5,65,207
MV_Bassanio,132,183,670,139,53,271,248,170,122,445,281,138,5,44,217
MV_Portia,222,380,1192,302,115,398,486,281,211,796,495,181,11,80,357
MV_Shylock,192,249,750,165,76,297,256,165,134,439,296,131,3,47,212
Mac_Macbeth,257,427,1437,274,193,489,486,350,287,858,514,231,23,101,309
Oth_Desdemona,143,225,609,218,63,336,230,155,115,448,293,147,4,54,222
Oth_Iago,454,705,2113,474,218,742,811,565,390,1451,868,394,19,183,652
Oth_Othello,402,508,1634,320,187,640,585,433,293,943,684,324,18,109,381
Per_Pericles,242,357,1103,294,141,494,474,347,219,699,471,165,13,60,324
R2_HenryIV,156,269,895,219,84,329,278,239,160,518,317,133,25,46,193
R2_RichardII,328,480,1574,345,272,545,606,423,368,1005,588,273,20,66,321
R3_Buckingham,170,172,822,273,73,228,275,219,174,562,285,127,16,46,205
R3_RichardIII,510,733,2297,586,252,896,913,690,458,1443,919,330,36,135,570
Rom_FriarLawrence,128,194,702,152,98,279,294,187,143,440,293,169,6,44,164
Rom_Juliet,237,360,965,224,161,460,392,220,220,661,467,280,23,77,250
Rom_Romeo,234,386,1057,230,171,508,505,326,220,809,535,238,22,61,261
Shr_Petruchio,256,356,1104,258,139,437,395,341,298,652,517,188,5,71,329
TGV_Proteus,145,289,810,220,87,390,328,274,157,563,349,133,10,45,260
