character,AA,AE,AH,AO,AW,AY,EH,ER,EY,IH,IY,OW,OY,UH,UW
1H4_Falstaff,340,611,1360,313,215,552,440,318,262,788,537,235,16,107,314
1H4_HenryV,262,425,1182,273,200,399,424,269,203,680,435,191,13,65,219
1H4_Hotspur,267,332,1190,260,134,365,413,337,230,744,430,194,9,79,247
1H6_Charles,55,89,267,67,58,87,99,84,53,166,116,40,5,13,38
1H6_HenryVI,59,104,435,126,35,103,163,119,61,219,133,52,9,21,99
2H4_ChiefJustice,80,94,320,99,26,73,106,83,48,180,116,43,6,20,103
2H4_Falstaff,295,560,1467,312,132,448,487,384,254,947,542,269,18,114,358
2H4_HenryV,153,202,637,155,82,227,221,155,106,419,271,119,14,38,176
AWW_Bertram,119,171,488,149,34,236,160,173,97,353,204,102,6,22,152
AWW_Fool,77,168,428,110,16,132,154,119,80,259,162,74,2,48,94
AWW_Helen,174,307,911,217,81,380,346,272,169,671,350,179,7,52,246
AYL_DukeFrederick,37,36,128,28,29,41,40,48,26,107,57,11,0,6,38
AYL_Rosalind,338,535,1403,339,147,512,497,409,265,913,595,252,7,150,486
Ado_Beatrice,125,231,589,143,45,208,222,131,112,448,241,104,3,60,159
Ado_Dogberry,111,157,363,105,37,97,151,121,99,258,143,73,3,31,121
Ado_DonJohn,48,79,204,45,18,87,91,78,41,182,95,50,1,14,81
Ant_Antony,374,516,1382,355,219,605,555,448,292,928,680,286,18,97,352
Ant_Octavius,169,276,809,161,79,208,258,212,134,498,364,143,11,45,213
Cor_Coriolanus,365,572,1597,349,177,610,629,460,383,906,603,321,39,104,501
Cor_TRIBUNES.Brutus,97,137,393,104,37,55,177,130,74,276,188,84,8,26,129
Cym_Cloten,126,175,489,105,47,185,179,174,88,376,193,95,6,33,130
Cym_Iachimo,182,289,901,205,72,299,271,269,162,564,335,135,11,59,191
Cym_Imogen,241,416,959,264,120,458,368,316,211,694,484,208,10,95,292
Err_AntipholusOfEphesus,83,125,379,110,67,190,141,116,104,301,189,78,0,23,109
Err_AntipholusOfSyracuse,114,146,438,137,86,232,199,150,95,329,255,91,3,26,133
Err_DromioOfEphesus,66,135,260,75,35,151,89,114,72,210,118,92,0,20,97
Err_DromioOfSyracuse,94,222,453,123,33,176,193,181,125,286,200,85,5,33,126
H5_Dauphin,60,57,262,70,19,71,94,73,44,168,73,49,1,10,42
H5_HenryV,494,694,2270,529,336,592,860,639,456,1490,809,390,28,129,465
H8_HenryVIII,204,277,920,197,95,304,346,266,176,553,340,122,12,63,291
H8_Wolsey,155,280,929,221,81,287,311,241,175,498,332,153,20,82,223
Ham_Claudius,217,363,1119,254,142,245,371,325,189,789,395,190,16,62,301
Ham_Gravedigger,40,76,144,41,25,35,70,46,45,135,84,27,2,8,43
Ham_Hamlet,669,1016,3189,633,302,905,1065,817,622,1986,1089,595,38,202,788
JC_Antony,162,207,653,133,70,180,245,199,111,412,311,141,8,47,218
JC_Brutus,353,470,1339,282,169,467,562,396,211,814,631,276,18,102,372
JC_PLEBEIANS,1,9,29,0,2,7,8,5,3,13,22,8,0,0,6
Jn_KingJohn,168,267,939,210,157,283,314,235,165,566,350,135,13,42,210
Jn_KingPhilip,75,123,433,88,66,73,145,121,91,271,157,67,11,19,96
LLL_Costard,85,144,353,80,31,125,106,152,85,249,144,97,4,22,98
LLL_King,138,208,609,144,79,201,229,163,134,395,247,118,3,30,160
LLL_Princess,121,154,507,156,73,146,223,156,154,373,216,101,2,35,156
Lr_Fool,81,166,348,105,73,152,175,96,78,225,156,82,5,25,93
Lr_Goneril,84,148,377,104,32,138,135,130,77,242,118,75,3,27,117
Lr_Lear,358,424,1265,344,243,531,496,508,313,782,570,280,24,86,376
