name,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Archbishop,11,12,89,19,7,19,10,3,43,34,31,23,13,18,7,17,44,17,2,24,26,35,59,5,9,0,15,47,42,5,56,4,3,23,12,22,5,22,0
1H4_Bardolph,18,12,50,16,5,20,10,1,33,17,20,11,11,13,3,4,26,17,6,11,24,27,44,3,8,0,7,31,37,5,38,2,1,22,8,19,14,16,0
1H4_Bedford,5,6,11,6,1,8,3,1,13,7,5,4,6,4,3,5,11,11,1,6,10,8,7,2,0,0,0,9,12,1,16,1,0,5,3,7,2,5,0
1H4_Blunt,20,30,89,19,8,18,15,10,59,36,33,21,16,17,11,20,47,31,5,19,36,27,61,10,7,1,17,45,57,8,66,6,5,23,16,16,13,18,0
1H4_Chamberlain,8,20,40,13,3,12,7,1,20,16,9,9,10,11,4,14,22,11,1,12,23,13,34,5,9,0,6,23,11,1,33,7,2,9,8,13,4,10,0
1H4_DRAWERS.Francis,2,5,10,8,2,10,5,1,14,2,2,8,2,3,1,3,8,5,0,4,15,7,12,1,3,0,2,11,13,1,11,0,4,6,1,3,2,3,0
1H4_Douglas,23,28,89,20,18,33,20,3,50,55,28,18,11,17,8,23,70,30,3,31,44,32,67,15,20,0,11,54,38,4,72,10,2,11,21,26,8,26,1
1H4_Falstaff,340,611,1360,313,215,552,331,69,749,593,440,318,262,371,190,364,788,537,50,392,679,557,1160,139,235,16,263,733,573,96,1106,114,107,314,353,360,133,403,2
1H4_Gadshill,15,43,84,18,12,19,14,7,38,49,24,31,29,20,10,22,47,31,3,40,40,41,78,15,17,1,17,47,44,8,65,3,5,25,16,21,8,26,0
1H4_Glendower,35,55,172,44,13,52,30,9,95,58,48,44,33,30,17,41,90,75,4,48,83,69,141,22,17,0,36,89,70,30,112,13,7,42,41,47,31,58,1
1H4_HenryIV,140,206,778,155,102,182,146,70,452,273,266,200,106,151,65,187,431,305,34,172,381,254,650,40,105,10,138,403,418,65,533,39,35,173,178,194,77,266,4
1H4_HenryV,262,425,1182,273,200,399,254,61,647,544,424,269,203,297,138,262,680,435,61,316,612,442,904,117,191,13,215,663,646,93,882,81,65,219,263,332,121,299,1
1H4_Hotspur,267,332,1190,260,134,365,227,63,696,433,413,337,230,248,118,336,744,430,58,366,592,503,987,129,194,9,217,608,583,94,905,81,79,247,272,329,109,383,3
1H4_LadyPercy,24,31,107,24,12,49,25,7,55,48,40,21,16,26,13,28,59,50,5,22,57,41,101,7,17,0,15,57,67,4,94,14,5,30,27,28,20,32,2
1H4_MESSENGERS.1,1,0,0,2,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,1,0
1H4_MESSENGERS.2,1,0,3,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,2,1,2,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,1,0
1H4_MESSENGERS.X,5,2,10,6,0,9,2,2,10,4,6,4,1,6,1,7,9,6,0,4,5,10,6,0,0,0,1,12,4,1,7,1,0,0,2,1,1,12,0
1H4_MistressQuickly,26,33,76,33,22,51,15,3,61,35,24,23,16,14,5,41,39,39,11,23,38,48,87,11,30,2,13,47,54,4,50,15,10,29,20,21,21,28,0
1H4_Mortimer,28,46,134,26,14,47,23,11,75,49,42,45,18,31,8,32,85,50,7,36,58,48,120,15,11,1,31,62,63,14,101,9,8,27,23,33,22,46,1
1H4_Northumberland,11,12,51,14,3,15,9,2,38,19,16,11,11,10,6,14,41,19,2,13,18,20,39,9,4,1,16,36,25,8,36,4,5,9,7,16,6,20,1
1H4_Ostler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1H4_Peto,3,9,24,5,3,12,6,1,23,6,5,6,4,5,4,8,10,11,0,6,8,11,17,3,4,0,5,8,13,0,21,2,4,5,4,8,1,5,0
1H4_Poins,30,79,123,39,24,42,25,11,77,67,70,40,18,52,15,48,72,54,15,42,82,56,95,11,27,3,18,100,95,10,107,3,9,27,35,52,19,46,1
1H4_SERVANTS.HOTSPUR.1,0,1,2,5,2,3,1,0,3,0,0,1,0,0,1,3,4,3,0,0,3,3,4,0,1,0,0,5,1,0,2,0,0,0,1,1,0,2,0
1H4_Sheriff,6,4,14,6,1,9,3,0,13,4,5,3,1,3,3,5,9,5,1,5,12,11,16,1,4,0,1,15,9,1,10,3,1,4,2,3,1,1,0
1H4_SirMichael,2,2,14,8,1,6,3,0,16,5,10,6,1,1,5,2,6,5,1,0,12,7,13,0,2,0,2,14,4,1,9,0,3,1,3,4,1,5,0
1H4_TRAVELERS.CARRIERS,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
1H4_TRAVELERS.CARRIERS.1,18,18,36,3,3,15,15,3,20,19,11,10,11,8,4,11,25,17,1,19,10,9,35,7,7,1,9,18,16,0,34,5,5,5,11,10,2,12,0
1H4_TRAVELERS.CARRIERS.2,4,13,40,11,4,13,9,4,23,16,10,7,11,7,6,7,20,19,6,12,22,12,35,5,3,0,5,19,16,0,18,1,1,5,7,10,2,14,0
1H4_TRAVELERS.CARRIERS.X,0,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
1H4_TRAVELERS.GENTLEMEN,1,0,5,0,1,0,2,0,2,0,2,3,0,1,0,0,0,3,1,0,1,0,3,0,2,0,0,1,3,0,0,1,0,0,1,2,0,2,0
1H4_TRAVELERS.GENTLEMEN.0.1,1,1,12,2,4,1,4,0,5,2,4,6,1,2,1,2,1,5,1,2,7,1,6,0,2,1,0,2,4,1,1,1,1,0,1,5,0,5,0
1H4_Vernon,26,32,144,32,10,38,25,11,89,43,41,41,27,26,15,34,100,45,8,35,80,57,102,18,17,0,28,71,66,6,82,9,4,23,28,35,18,52,0
1H4_Vintner,2,3,9,4,1,2,0,1,5,6,3,1,0,1,1,1,6,0,1,2,7,3,5,1,1,0,0,4,5,1,6,0,1,1,0,3,0,1,0
1H4_Westmoreland,20,18,91,25,5,19,15,10,45,37,37,16,23,12,6,17,45,25,7,22,39,34,61,8,7,0,17,51,46,8,62,7,4,22,18,25,11,26,0
1H4_Worcester,73,101,446,111,44,110,96,26,243,120,130,119,88,100,35,93,263,131,21,122,188,122,355,43,56,3,81,219,237,34,317,30,21,91,95,110,71,138,4
1H6_Alanson,19,32,91,33,11,19,19,7,58,41,36,29,23,18,4,29,44,44,7,27,55,36,71,5,12,4,28,76,63,5,64,9,9,17,25,21,8,30,1
1H6_Basset,8,16,65,18,4,15,15,6,31,26,19,12,5,7,7,9,38,24,2,16,24,24,37,11,6,0,6,39,34,3,35,3,2,11,17,14,6,18,0
1H6_Bastard,11,16,60,14,8,12,16,5,40,22,16,19,10,17,6,22,42,30,5,14,26,12,45,8,10,0,12,37,41,7,33,7,3,10,13,18,7,21,1
1H6_Bedford,30,44,137,50,22,53,36,8,90,62,72,43,45,55,17,40,98,65,13,35,95,67,125,16,27,2,25,123,99,10,124,15,2,30,45,50,8,77,0
1H6_Boy,3,2,7,3,0,7,1,1,1,4,4,3,3,5,0,1,2,0,0,2,2,6,7,0,2,0,1,4,2,1,8,0,0,3,2,1,3,0,0
1H6_Burgundy,31,28,83,23,11,30,20,6,52,39,27,36,21,18,9,24,43,52,2,31,47,43,78,8,15,0,17,63,46,8,72,5,6,12,27,28,8,34,0
1H6_CardinalBeaufort,30,60,212,58,32,55,48,16,99,89,55,55,31,46,26,47,143,87,13,59,94,73,149,20,25,2,48,131,119,25,167,11,9,47,48,51,15,57,0
1H6_Charles,55,89,267,67,58,87,62,17,132,139,99,84,53,82,30,56,166,116,10,72,141,99,238,25,40,5,56,171,175,33,212,8,13,38,73,90,8,80,1
1H6_Countess,18,36,87,23,16,38,25,8,39,54,27,24,17,19,11,28,63,45,3,22,35,41,79,6,10,1,17,61,57,11,74,11,4,12,16,19,7,45,0
1H6_Exeter,18,37,121,41,14,34,36,11,81,50,48,40,21,38,10,29,113,54,6,40,64,40,106,16,17,1,21,91,68,15,83,12,7,20,36,50,10,50,2
1H6_Fastolf,3,4,16,4,0,9,3,0,7,4,3,6,8,5,4,3,5,2,0,3,9,6,8,0,3,0,0,12,8,2,13,1,0,8,7,5,2,3,0
