play|code|genre|url_code|style
Titus Andronicus|Tit|T|Tit_F1|inline
Romeo and Juliet|RJ|T|Rom_Q2M|inline
Julius Caesar|JC|T|JC_M|following
Hamlet|Ham|T|Ham_EM|following
Troilus and Cressida|TC|T|Tro_M|following
Othello|Oth|T|Oth_M|following
King Lear|KL|T|Lr_Q1Me|following
Timon of Athens|Tim|T|Tim_F1|inline
Antony and Cleopatra|AC|T|Ant_M|following
Macbeth|Mac|T|Mac_M|following
Coriolanus|Cor|T|Cor_F1|inline
Henry VI, Part 2|2H6|H|2H6_F1|inline
Henry VI, Part 3|3H6|H|3H6_F1|inline
Henry VI, Part 1|1H6|H|1H6_M|following
Richard III|R3|H|R3_M|following
Richard II|R2|H|R2_M|following
King John|KJ|H|Jn_M|following
Henry IV, Part 1|1H4|H|1H4_M|following
Henry IV, Part 2|2H4|H|2H4_M|following
Henry V|H5|H|H5_FM|following
Henry VIII|H8|H|H8_M|following
Much Ado About Nothing|MA|C|Ado_F1|inline
Two Gentlemen of Verona|TGV|C|TGV_M|following
The Taming of the Shrew|TS|C|Shr_F1|inline
The Comedy of Errors|CE|C|Err_F1|inline
Love's Labor's Lost|LLL|C|LLL_F1|inline
A Midsummer Night's Dream|MND|C|MND_M|following
The Merchant of Venice|MV|C|MV_F1|inline
The Merry Wives of Windsor|MW|C|Wiv_FM|following
As You Like It|AYL|C|AYL_M|following
Twelfth Night|TN|C|TN_M|following
All's Well That Ends Well|AW|C|AWW_M|following
Measure for Measure|MM|C|MM_F1|inline
Pericles|Per|C|Per_M|following
The Winter's Tale|WT|C|WT_M|following
Cymbeline|Cym|C|Cym_M|following
The Tempest|Tem|C|Tmp_M|following
Two Noble Kinsmen|TNK|C|TNK_Q1|inline
