orig,eos
1H4_Bedford,1H4_Lancaster
1H4_HenryIV,1H4_King
1H4_HenryV,1H4_Prince
1H4_LadyPercy,1H4_Lady Percy
1H4_MESSENGERS.1,1H4_Messenger
1H4_MESSENGERS.2,1H4_Messenger
1H4_MESSENGERS.X,1H4_Messenger
1H4_MistressQuickly,1H4_Hostess
1H4_SERVANTS.HOTSPUR.1,1H4_Servant
1H4_SirMichael,1H4_Sir Michael
1H4_TRAVELERS.CARRIERS.1,1H4_First Carrier
1H4_TRAVELERS.CARRIERS.2,1H4_Second Carrier
1H4_TRAVELERS.CARRIERS.X,1H4_Carrier
1H4_Westmoreland,1H4_Westmorland
1H6_Alanson,1H6_Alencon
1H6_Fastolf,1H6_Falstaff
1H6_HenryVI,1H6_King
1H6_JAILERS.0.1,1H6_Keeper
1H6_JohnTalbot,1H6_John
1H6_MESSENGERS.ENGLISH.1,1H6_1 Messenger
1H6_MESSENGERS.ENGLISH.2,1H6_2 Messenger
1H6_MESSENGERS.ENGLISH.3,1H6_3 Messenger
1H6_MESSENGERS.ENGLISH.X.1,1H6_Messenger
1H6_MESSENGERS.ENGLISH.X.2,1H6_Messenger
1H6_MESSENGERS.FRENCH.1,1H6_Messenger
1H6_QueenMargaret,1H6_Margaret
1H6_SERVANTS.1,1H6_1 Servingman
1H6_SERVANTS.3,1H6_3 Servingman
1H6_SERVANTS.GLOUCESTER,1H6_Servingmen
1H6_SERVANTS.GLOUCESTER.0.1,1H6_1 Servingman
1H6_SERVANTS.GLOUCESTER.0.2,1H6_Servingmen
1H6_SERVANTS.TALBOT.1,1H6_Servant
1H6_SERVANTS.WINCHESTER.0.1,1H6_1 Servingman
1H6_SOLDIERS.ENGLISH.0.1,1H6_Captain
1H6_SOLDIERS.ENGLISH.1,1H6_Soldier
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,1H6_Captain
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,1H6_Soldier
1H6_SOLDIERS.FRENCH.Scout,1H6_Scout
1H6_SOLDIERS.FRENCH.Sergeant,1H6_Sergeant
1H6_WARDERS.1,1H6_1 Warder
1H6_WARDERS.2,1H6_2 Warder
1H6_Watchman,1H6_Watch
1H6_York,1H6_Plantagenet
2H4_BEADLES.0.1,2H4_Beadle
2H4_Bedford,2H4_Lancaster
2H4_ChiefJustice,2H4_Justice
2H4_DRAWERS.1,2H4_Drawer
2H4_DRAWERS.Francis,2H4_Francis
2H4_DRAWERS.X,2H4_Drawer
2H4_GROOMS.1,2H4_Groom 1
2H4_GROOMS.2,2H4_Groom 2
2H4_LadyNorthumberland,2H4_Lady Northumberland
2H4_LadyPercy,2H4_Lady Percy
2H4_LordBardolph,2H4_Lord Bardolph
2H4_MESSENGERS.1,2H4_Messenger
2H4_MESSENGERS.Gower,2H4_Gower
2H4_MistressQuickly,2H4_Hostess
2H4_Mouldy,2H4_Moldy
2H4_OFFICERS.Fang,2H4_Fang
2H4_OFFICERS.Snare,2H4_Snare
2H4_SERVANTS.FALSTAFF.1,2H4_Page
2H4_Westmoreland,2H4_Westmorland
